PLAYER,TYPE,PRICE PAID,TEAM
Kagiso Rabada,Bowler,"5,00,00,000",Delhi Daredevils
Patrick Cummins,Bowler,"4,50,00,000",Delhi Daredevils
Angelo Mathews,All-Rounder,"2,00,00,000",Delhi Daredevils
Corey Anderson,All-Rounder,"1,00,00,000",Delhi Daredevils
M. Ashwin,Bowler,"1,00,00,000",Delhi Daredevils
Aditya Tare,Wicket Keeper,"25,00,000",Delhi Daredevils
Ankeet Bawane,Batsman,"10,00,000",Delhi Daredevils
Navdeep Saini,Bowler,"10,00,000",Delhi Daredevils
Shashank Singh,All-Rounder,"10,00,000",Delhi Daredevils
Jason Roy,Batsman,"1,00,00,000",Gujarat Lions
Basil Thampi,Bowler,"85,00,000",Gujarat Lions
Manpreet Gony,Bowler,"60,00,000",Gujarat Lions
Nathu Singh,Bowler,"50,00,000",Gujarat Lions
Munaf Patel,Bowler,"30,00,000",Gujarat Lions
Akshdeep Nath,All-Rounder,"10,00,000",Gujarat Lions
Shubam Agrawal,All-Rounder,"10,00,000",Gujarat Lions
Tejas Singh Baroka,Bowler,"10,00,000",Gujarat Lions
Chirag Suri,Batsman,"10,00,000",Gujarat Lions
Pratham Singh,All-Rounder,"10,00,000",Gujarat Lions
Shelley Shaurya,Bowler,"10,00,000",Gujarat Lions
T Natarajan,Bowler,"3,00,00,000",Kings XI Punjab
Varun Aaron,Bowler,"2,80,00,000",Kings XI Punjab
Eoin Morgan,Batsman,"2,00,00,000",Kings XI Punjab
Matt Henry,Bowler,"50,00,000",Kings XI Punjab
Martin Guptill,Batsman,"50,00,000",Kings XI Punjab
Darren Sammy,All-Rounder,"30,00,000",Kings XI Punjab
Rahul Tewatia,All-Rounder,"25,00,000",Kings XI Punjab
Rinku Singh,Batsman,"10,00,000",Kings XI Punjab
Trent Boult,Bowler,"5,00,00,000",Kolkata Knight Riders
Chris Woakes,All-Rounder,"4,20,00,000",Kolkata Knight Riders
Nathan Coulter-Nile,Bowler,"3,50,00,000",Kolkata Knight Riders
Rishi Dhawan,All-Rounder,"55,00,000",Kolkata Knight Riders
Darren Bravo,Batsman,"50,00,000",Kolkata Knight Riders
Rovman Powell,All-Rounder,"30,00,000",Kolkata Knight Riders
Sayan Ghosh,Bowler,"10,00,000",Kolkata Knight Riders
R. Sanjay Yadav,All-Rounder,"10,00,000",Kolkata Knight Riders
Ishank Jaggi,Batsman,"10,00,000",Kolkata Knight Riders
Karn Sharma,All-Rounder,"3,20,00,000",Mumbai Indians
Krishnappa Gowtham,All-Rounder,"2,00,00,000",Mumbai Indians
Mitchell Johnson,Bowler,"2,00,00,000",Mumbai Indians
Asela Gunarathna,Batsman,"30,00,000",Mumbai Indians
Saurabh Tiwary,Batsman,"30,00,000",Mumbai Indians
Nicolas Pooran,Wicket Keeper,"30,00,000",Mumbai Indians
Kulwant Khejroliya,Bowler,"10,00,000",Mumbai Indians
Benjamin Stokes,All-Rounder,"14,50,00,000",Rising Pune Supergiant
Daniel Christian,All-Rounder,"1,00,00,000",Rising Pune Supergiant
Manoj Tiwary,Batsman,"50,00,000",Rising Pune Supergiant
Lockie Ferguson,Bowler,"50,00,000",Rising Pune Supergiant
Jaydev Unadkat,Bowler,"30,00,000",Rising Pune Supergiant
Rahul Chahar,Bowler,"10,00,000",Rising Pune Supergiant
Saurabh Kumar,Bowler,"10,00,000",Rising Pune Supergiant
Milind Tandon,All-Rounder,"10,00,000",Rising Pune Supergiant
Rahul Ajay Tripathi,All-Rounder,"10,00,000",Rising Pune Supergiant
Tymal Mills,Bowler,"12,00,00,000",Royal Challengers Bangalore
Aniket Choudhary,Bowler,"2,00,00,000",Royal Challengers Bangalore
Pawan Negi,All-Rounder,"1,00,00,000",Royal Challengers Bangalore
Billy Stanlake,Bowler,"30,00,000",Royal Challengers Bangalore
Praveen Dubey,All-Rounder,"10,00,000",Royal Challengers Bangalore
Rashid Khan Arman,Bowler,"4,00,00,000",Sunrisers Hyderabad
Mohammed Siraj,Bowler,"2,60,00,000",Sunrisers Hyderabad
Eklavya Dwivedi,Wicket Keeper,"75,00,000",Sunrisers Hyderabad
Chris Jordan,All-Rounder,"50,00,000",Sunrisers Hyderabad
Mohammad Nabi,All-Rounder,"30,00,000",Sunrisers Hyderabad
Ben Laughlin,Bowler,"30,00,000",Sunrisers Hyderabad
Pravin Tambe,Bowler,"10,00,000",Sunrisers Hyderabad
Tanmay Agarwal,Batsman,"10,00,000",Sunrisers Hyderabad
