PLAYER,TYPE,PRICE PAID,TEAM
Kedar Jadhav,All-Rounder,"7,80,00,000",Chennai Super Kings
Dwayne Bravo,All-Rounder,"6,40,00,000",Chennai Super Kings
Karn Sharma,Bowler,"5,00,00,000",Chennai Super Kings
Shane Watson,All-Rounder,"4,00,00,000",Chennai Super Kings
Shardul Narendra Thakur,Bowler,"2,60,00,000",Chennai Super Kings
Ambati Rayudu,Wicket Keeper,"2,20,00,000",Chennai Super Kings
Murali Vijay,Batsman,"2,00,00,000",Chennai Super Kings
Harbhajan Singh,Bowler,"2,00,00,000",Chennai Super Kings
Faf Du Plessis,Batsman,"1,60,00,000",Chennai Super Kings
Mark Wood,Bowler,"1,50,00,000",Chennai Super Kings
Sam Billings,Wicket Keeper,"1,00,00,000",Chennai Super Kings
Imran Tahir,Bowler,"1,00,00,000",Chennai Super Kings
Deepak Chahar,All-Rounder,"80,00,000",Chennai Super Kings
Mitchell Santner,All-Rounder,"50,00,000",Chennai Super Kings
Lungisani Ngidi,Bowler,"50,00,000",Chennai Super Kings
Asif K M,Bowler,"40,00,000",Chennai Super Kings
N Jagadeesan,Wicket Keeper,"20,00,000",Chennai Super Kings
Kanishk Seth,All-Rounder,"20,00,000",Chennai Super Kings
Monu Singh,Bowler,"20,00,000",Chennai Super Kings
Dhruv Shorey,All-Rounder,"20,00,000",Chennai Super Kings
Kshitiz Sharma,All-Rounder,"20,00,000",Chennai Super Kings
Chaitanya Bishnoi,All-Rounder,"20,00,000",Chennai Super Kings
Glenn Maxwell,All-Rounder,"9,00,00,000",Delhi Daredevils
Kagiso Rabada,Bowler,"4,20,00,000",Delhi Daredevils
Amit Mishra,Bowler,"4,00,00,000",Delhi Daredevils
Shahbaz Nadeem,Bowler,"3,20,00,000",Delhi Daredevils
Vijay Shankar,All-Rounder,"3,20,00,000",Delhi Daredevils
Rahul Tewatia,All-Rounder,"3,00,00,000",Delhi Daredevils
Mohammad Shami,Bowler,"3,00,00,000",Delhi Daredevils
Gautam Gambhir,Batsman,"2,80,00,000",Delhi Daredevils
Trent Boult,Bowler,"2,20,00,000",Delhi Daredevils
Colin Munro,All-Rounder,"1,90,00,000",Delhi Daredevils
Daniel Christian,All-Rounder,"1,50,00,000",Delhi Daredevils
Jason Roy,Batsman,"1,50,00,000",Delhi Daredevils
Naman Ojha,Wicket Keeper,"1,40,00,000",Delhi Daredevils
Prithvi Shaw,Batsman,"1,20,00,000",Delhi Daredevils
Gurkeerat Singh Mann,All-Rounder,"75,00,000",Delhi Daredevils
Avesh Khan,Bowler,"70,00,000",Delhi Daredevils
Abhishek Sharma,All-Rounder,"55,00,000",Delhi Daredevils
Jayant Yadav,All-Rounder,"50,00,000",Delhi Daredevils
Harshal Patel,All-Rounder,"20,00,000",Delhi Daredevils
Manjot Kalra,Batsman,"20,00,000",Delhi Daredevils
Sandeep Lamichhane,Bowler,"20,00,000",Delhi Daredevils
Sayan Ghosh,Bowler,"20,00,000",Delhi Daredevils
KL Rahul,Batsman,"11,00,00,000",Kings XI Punjab
Ravichandran Ashwin,All-Rounder,"7,60,00,000",Kings XI Punjab
Andrew Tye,Bowler,"7,20,00,000",Kings XI Punjab
Aaron Finch,Batsman,"6,20,00,000",Kings XI Punjab
Marcus Stoinis,All-Rounder,"6,20,00,000",Kings XI Punjab
Karun Nair,Batsman,"5,60,00,000",Kings XI Punjab
Mujeeb Zadran,Bowler,"4,00,00,000",Kings XI Punjab
Ankit Singh Rajpoot,Bowler,"3,00,00,000",Kings XI Punjab
David Miller,Batsman,"3,00,00,000",Kings XI Punjab
Mohit Sharma,Bowler,"2,40,00,000",Kings XI Punjab
Barinder Singh Sran,Bowler,"2,20,00,000",Kings XI Punjab
Yuvraj Singh,All-Rounder,"2,00,00,000",Kings XI Punjab
Christopher Gayle,Batsman,"2,00,00,000",Kings XI Punjab
Ben Dwarshuis,Bowler,"1,40,00,000",Kings XI Punjab
Akshdeep Nath,All-Rounder,"1,00,00,000",Kings XI Punjab
Manoj Tiwary,Batsman,"1,00,00,000",Kings XI Punjab
Mayank Agarwal,Batsman,"1,00,00,000",Kings XI Punjab
Manzoor Dar,All-Rounder,"20,00,000",Kings XI Punjab
Pardeep Sahu,Bowler,"20,00,000",Kings XI Punjab
Mayank Dagar,All-Rounder,"20,00,000",Kings XI Punjab
Chris Lynn,Batsman,"9,60,00,000",Kolkata Knight Riders
Mitchell Starc,Bowler,"9,40,00,000",Kolkata Knight Riders
Dinesh Karthik,Wicket Keeper,"7,40,00,000",Kolkata Knight Riders
Robin Uthappa,Wicket Keeper,"6,40,00,000",Kolkata Knight Riders
Kuldeep Singh Yadav,Bowler,"5,80,00,000",Kolkata Knight Riders
Piyush Chawla,Bowler,"4,20,00,000",Kolkata Knight Riders
Nitish Rana,All-Rounder,"3,40,00,000",Kolkata Knight Riders
Kamlesh Nagarkoti,All-Rounder,"3,20,00,000",Kolkata Knight Riders
Shivam Mavi,All-Rounder,"3,00,00,000",Kolkata Knight Riders
Mitchell Johnson,Bowler,"2,00,00,000",Kolkata Knight Riders
Shubman Gill,Batsman,"1,80,00,000",Kolkata Knight Riders
Ranganath Vinay Kumar,Bowler,"1,00,00,000",Kolkata Knight Riders
Rinku Singh,Batsman,"80,00,000",Kolkata Knight Riders
Cameron Delport,All-Rounder,"30,00,000",Kolkata Knight Riders
Javon Searless,All-Rounder,"30,00,000",Kolkata Knight Riders
Apoorv Vijay Wankhade,Batsman,"20,00,000",Kolkata Knight Riders
Ishank Jaggi,Batsman,"20,00,000",Kolkata Knight Riders
Krunal Pandya,All-Rounder,"8,80,00,000",Mumbai Indians
Ishan Kishan,Wicket Keeper,"6,20,00,000",Mumbai Indians
Kieron Pollard,All-Rounder,"5,40,00,000",Mumbai Indians
Pat Cummins,Bowler,"5,40,00,000",Mumbai Indians
Evin Lewis,Batsman,"3,80,00,000",Mumbai Indians
Suryakumar Yadav,Batsman,"3,20,00,000",Mumbai Indians
Ben Cutting,All-Rounder,"2,20,00,000",Mumbai Indians
Mustafizur Rahman,Bowler,"2,20,00,000",Mumbai Indians
Rahul Chahar,Bowler,"1,90,00,000",Mumbai Indians
Pradeep Sangwan,Bowler,"1,50,00,000",Mumbai Indians
