PLAYER,TYPE,PRICE PAID,TEAM
Faf Du Plessis,Batsman,"4,75,00,000",Chennai Super Kings
Dwayne Smith,Batsman,"4,50,00,000",Chennai Super Kings
Brendon McCullum,Wicket Keeper,"3,25,00,000",Chennai Super Kings
Ashish Nehra,Bowler,"2,00,00,000",Chennai Super Kings
Mohit Sharma,Bowler,"2,00,00,000",Chennai Super Kings
Ishwar Chandra Pandey,Bowler,"1,50,00,000",Chennai Super Kings
Ben Hilfenhaus,Bowler,"1,00,00,000",Chennai Super Kings
John Hastings,All-Rounder,"50,00,000",Chennai Super Kings
Samuel Badree,Bowler,"30,00,000",Chennai Super Kings
Matt Henry,Bowler,"30,00,000",Chennai Super Kings
Mithun Manhas,All-Rounder,"30,00,000",Chennai Super Kings
Vijay Shankar,All-Rounder,"10,00,000",Chennai Super Kings
Ronit More,Bowler,"10,00,000",Chennai Super Kings
Baba Aparajith,Batsman,"10,00,000",Chennai Super Kings
Pawan Negi,Bowler,"10,00,000",Chennai Super Kings
Dinesh Karthik,Wicket Keeper,"12,50,00,000",Delhi Daredevils
Kevin Pietersen,Batsman,"9,00,00,000",Delhi Daredevils
Murali Vijay,Batsman,"5,00,00,000",Delhi Daredevils
Mohammad Shami,Bowler,"4,25,00,000",Delhi Daredevils
Nathan Coulter-Nile,Bowler,"4,25,00,000",Delhi Daredevils
Quinton De Kock,Wicket Keeper,"3,50,00,000",Delhi Daredevils
Manoj Tiwary,Batsman,"2,80,00,000",Delhi Daredevils
Jaydev Unadkat,Bowler,"2,80,00,000",Delhi Daredevils
Jean-Paul Duminy,Batsman,"2,20,00,000",Delhi Daredevils
Ross Taylor,Batsman,"2,00,00,000",Delhi Daredevils
Kedar Jadhav,Batsman,"2,00,00,000",Delhi Daredevils
Rahul Sharma,Bowler,"1,90,00,000",Delhi Daredevils
Mayank Agarwal,Batsman,"1,60,00,000",Delhi Daredevils
Laxmi Ratan Shukla,All-Rounder,"1,50,00,000",Delhi Daredevils
James Neesham,All-Rounder,"1,00,00,000",Delhi Daredevils
Wayne Parnell,Bowler,"1,00,00,000",Delhi Daredevils
Shahbaz Nadeem,Bowler,"85,00,000",Delhi Daredevils
Saurabh Tiwary,Batsman,"70,00,000",Delhi Daredevils
Siddarth Kaul,Bowler,"45,00,000",Delhi Daredevils
Rahul Shukla,Bowler,"40,00,000",Delhi Daredevils
Jayant Yadav,All-Rounder,"10,00,000",Delhi Daredevils
HS Sharath,Bowler,"10,00,000",Delhi Daredevils
Milind Kumar,Batsman,"10,00,000",Delhi Daredevils
Mitchell Johnson,All-Rounder,"6,50,00,000",Kings XI Punjab
Glenn Maxwell,All-Rounder,"6,00,00,000",Kings XI Punjab
George Bailey,Batsman,"3,25,00,000",Kings XI Punjab
Virender Sehwag,Batsman,"3,20,00,000",Kings XI Punjab
Rishi Dhawan,All-Rounder,"3,00,00,000",Kings XI Punjab
Wriddhiman Saha,Wicket Keeper,"2,20,00,000",Kings XI Punjab
Shaun Marsh,Batsman,"2,20,00,000",Kings XI Punjab
Cheteshwar Pujara,Batsman,"1,90,00,000",Kings XI Punjab
Beuran Hendricks,Bowler,"1,80,00,000",Kings XI Punjab
Lakshmipathy Balaji,Bowler,"1,80,00,000",Kings XI Punjab
Thisara Perera,All-Rounder,"1,60,00,000",Kings XI Punjab
Gurkirat Singh Mann,Batsman,"1,30,00,000",Kings XI Punjab
Murali Kartik,Bowler,"1,00,00,000",Kings XI Punjab
Sandeep Sharma,Bowler,"85,00,000",Kings XI Punjab
Mandeep Hardev Singh,All-Rounder,"80,00,000",Kings XI Punjab
Akshar Rajesh Patel,All-Rounder,"75,00,000",Kings XI Punjab
Parvinder Awana,Bowler,"65,00,000",Kings XI Punjab
Shardul Narendra Thakur,Bowler,"20,00,000",Kings XI Punjab
Anureet Singh,Bowler,"20,00,000",Kings XI Punjab
Shivam Sharma,Bowler,"10,00,000",Kings XI Punjab
Karanveer Singh,All-Rounder,"10,00,000",Kings XI Punjab
Jacques Kallis,All-Rounder,"5,50,00,000",Kolkata Knight Riders
Robin Uthappa,Batsman,"5,00,00,000",Kolkata Knight Riders
Piyush Chawla,Bowler,"4,25,00,000",Kolkata Knight Riders
Yusuf Pathan,All-Rounder,"3,25,00,000",Kolkata Knight Riders
Shakib Al Hasan,All-Rounder,"2,80,00,000",Kolkata Knight Riders
Morne Morkel,Bowler,"2,80,00,000",Kolkata Knight Riders
Ranganath Vinay Kumar,Bowler,"2,80,00,000",Kolkata Knight Riders
Umesh Yadav,Bowler,"2,60,00,000",Kolkata Knight Riders
Manish Pandey,Batsman,"1,70,00,000",Kolkata Knight Riders
Chris Lynn,Batsman,"1,30,00,000",Kolkata Knight Riders
