PLAYER,TYPE,PRICE PAID,TEAM
Piyush Chawla,Bowler,"6,75,00,000",Chennai Super Kings
Sam Curran,All-Rounder,"5,50,00,000",Chennai Super Kings
Josh Hazlewood,Bowler,"2,00,00,000",Chennai Super Kings
R. Sai Kishore,Bowler,"20,00,000",Chennai Super Kings
Shimron Hetmyer,Batsman,"7,75,00,000",Delhi Capitals
Marcus Stoinis,All-Rounder,"4,80,00,000",Delhi Capitals
Alex Carey,Wicket Keeper,"2,40,00,000",Delhi Capitals
Jason Roy,Batsman,"1,50,00,000",Delhi Capitals
Chris Woakes,All-Rounder,"1,50,00,000",Delhi Capitals
Mohit Sharma,Bowler,"50,00,000",Delhi Capitals
Tushar Deshpande,Bowler,"20,00,000",Delhi Capitals
Lalit Yadav,All-Rounder,"20,00,000",Delhi Capitals
Glenn Maxwell,All-Rounder,"10,75,00,000",Kings XI Punjab
Sheldon Cottrell,Bowler,"8,50,00,000",Kings XI Punjab
Chris Jordan,All-Rounder,"3,00,00,000",Kings XI Punjab
Ravi Bishnoi,Bowler,"2,00,00,000",Kings XI Punjab
Prabhsimran Singh,Wicket Keeper,"55,00,000",Kings XI Punjab
Deepak Hooda,All-Rounder,"50,00,000",Kings XI Punjab
James Neesham,All-Rounder,"50,00,000",Kings XI Punjab
Tajinder Dhillon,All-Rounder,"20,00,000",Kings XI Punjab
Ishan Porel,Bowler,"20,00,000",Kings XI Punjab
Robin Uthappa,Batsman,"3,00,00,000",Kolkata Knight Riders
Jaydev Unadkat,Bowler,"3,00,00,000",Kolkata Knight Riders
Yashasvi Jaiswal,All-Rounder,"2,40,00,000",Kolkata Knight Riders
Kartik Tyagi,Bowler,"1,30,00,000",Kolkata Knight Riders
Tom Curran,All-Rounder,"1,00,00,000",Kolkata Knight Riders
Andrew Tye,Bowler,"1,00,00,000",Kolkata Knight Riders
Anuj Rawat,Wicket Keeper,"80,00,000",Kolkata Knight Riders
David Miller,Batsman,"75,00,000",Kolkata Knight Riders
Oshane Thomas,Bowler,"50,00,000",Kolkata Knight Riders
Anirudha Ashok Joshi,All-Rounder,"20,00,000",Kolkata Knight Riders
Akash Singh,Bowler,"20,00,000",Kolkata Knight Riders
Christopher Morris,All-Rounder,"10,00,00,000",Mumbai Indians
Aaron Finch,Batsman,"4,40,00,000",Mumbai Indians
Kane Richardson,Bowler,"4,00,00,000",Mumbai Indians
Dale Steyn,Bowler,"2,00,00,000",Mumbai Indians
Isuru Udana,All-Rounder,"50,00,000",Mumbai Indians
Shahbaz Ahamad,Wicket Keeper,"20,00,000",Mumbai Indians
Joshua Philippe,Wicket Keeper,"20,00,000",Mumbai Indians
Pavan Deshpande,All-Rounder,"20,00,000",Mumbai Indians
Mitchell Marsh,All-Rounder,"2,00,00,000",Rajasthan Royals
Priyam Garg,Batsman,"1,90,00,000",Rajasthan Royals
Virat Singh,Batsman,"1,90,00,000",Rajasthan Royals
Fabian Allen,All-Rounder,"50,00,000",Rajasthan Royals
Sandeep Bavanaka,All-Rounder,"20,00,000",Rajasthan Royals
Sanjay Yadav,All-Rounder,"20,00,000",Rajasthan Royals
Abdul Samad,All-Rounder,"20,00,000",Rajasthan Royals
