PLAYER,TYPE,PRICE PAID,TEAM
Michael Hussey,Batsman,"1,50,00,000",Chennai Super Kings
Irfan Pathan,All-Rounder,"1,50,00,000",Chennai Super Kings
Rahul Sharma,Bowler,"30,00,000",Chennai Super Kings
Kyle Abbott,Bowler,"30,00,000",Chennai Super Kings
Andrew Tye,Bowler,"20,00,000",Chennai Super Kings
Pratyush Singh,All-Rounder,"10,00,000",Chennai Super Kings
Ankush Bains,Wicket Keeper,"10,00,000",Chennai Super Kings
Eklavya Dwivedi,Wicket Keeper,"10,00,000",Chennai Super Kings
Yuvraj Singh,Batsman,"16,00,00,000",Delhi Daredevils
Angelo Mathews,All-Rounder,"7,50,00,000",Delhi Daredevils
Zaheer Khan,Bowler,"4,00,00,000",Delhi Daredevils
Amit Mishra,Bowler,"3,50,00,000",Delhi Daredevils
Shreyas Iyer,Batsman,"2,60,00,000",Delhi Daredevils
Gurinder Sandhu,Bowler,"1,70,00,000",Delhi Daredevils
Jaydev Unadkat,Bowler,"1,10,00,000",Delhi Daredevils
Domnic Joseph Muthuswamy,Bowler,"75,00,000",Delhi Daredevils
Albie Morkel,All-Rounder,"30,00,000",Delhi Daredevils
Travis Head,Batsman,"30,00,000",Delhi Daredevils
Marcus Stoinis,All-Rounder,"25,00,000",Delhi Daredevils
C.M. Gautam,Wicket Keeper,"20,00,000",Delhi Daredevils
Kona Srikar Bharat,Wicket Keeper,"10,00,000",Delhi Daredevils
K.K. Jiyaz,Bowler,"10,00,000",Delhi Daredevils
Murali Vijay,Batsman,"3,00,00,000",Kings XI Punjab
Nikhil Shankar Naik,Wicket Keeper,"30,00,000",Kings XI Punjab
Yogesh Gowalkar,All-Rounder,"10,00,000",Kings XI Punjab
K.C. Cariappa,Bowler,"2,40,00,000",Kolkata Knight Riders
James Neesham,All-Rounder,"50,00,000",Kolkata Knight Riders
Brad Hogg,Bowler,"50,00,000",Kolkata Knight Riders
Aditya Garhwal,All-Rounder,"25,00,000",Kolkata Knight Riders
Sheldon Jackson,Batsman,"15,00,000",Kolkata Knight Riders
Sumit Narwal,All-Rounder,"10,00,000",Kolkata Knight Riders
Vaibhav Rawal,All-Rounder,"10,00,000",Kolkata Knight Riders
Aaron Finch,Batsman,"3,20,00,000",Mumbai Indians
Pragyan Ojha,Bowler,"50,00,000",Mumbai Indians
Abhimanyu Mithun,Bowler,"30,00,000",Mumbai Indians
Mitchell McClenaghan,Bowler,"30,00,000",Mumbai Indians
Aiden Blizzard,Batsman,"30,00,000",Mumbai Indians
Hardik Pandya,All-Rounder,"10,00,000",Mumbai Indians
Akshay Wakhare,Bowler,"10,00,000",Mumbai Indians
Nitish Rana,All-Rounder,"10,00,000",Mumbai Indians
Siddhesh Dinesh Lad,All-Rounder,"10,00,000",Mumbai Indians
J. Suchitch,All-Rounder,"10,00,000",Mumbai Indians
Christopher Morris,All-Rounder,"1,40,00,000",Rajasthan Royals
Juan Theron,Bowler,"30,00,000",Rajasthan Royals
Barinder Singh Saran,Bowler,"10,00,000",Rajasthan Royals
Dinesh Salunkhe,All-Rounder,"10,00,000",Rajasthan Royals
Sagar Trivedi,All-Rounder,"10,00,000",Rajasthan Royals
Pardeep Sahu,All-Rounder,"10,00,000",Rajasthan Royals
Dinesh Karthik,Wicket Keeper,"10,50,00,000",Royal Challengers Bangalore
Darren Sammy,All-Rounder,"2,80,00,000",Royal Challengers Bangalore
David Wiese,All-Rounder,"2,80,00,000",Royal Challengers Bangalore
Sean Abbott,Bowler,"1,00,00,000",Royal Challengers Bangalore
Adam Milne,Bowler,"70,00,000",Royal Challengers Bangalore
Sarfaraz Naushad Khan,Batsman,"50,00,000",Royal Challengers Bangalore
Subramaniam Badrinath,Batsman,"30,00,000",Royal Challengers Bangalore
Jalaj Saxena,All-Rounder,"10,00,000",Royal Challengers Bangalore
Shishir Bhavane,Batsman,"10,00,000",Royal Challengers Bangalore
Trent Boult,Bowler,"3,80,00,000",Sunrisers Hyderabad
Praveen Kumar,Bowler,"2,20,00,000",Sunrisers Hyderabad
Kevin Pietersen,Batsman,"2,00,00,000",Sunrisers Hyderabad
Eoin Morgan,Batsman,"1,50,00,000",Sunrisers Hyderabad
Ravi Bopara,All-Rounder,"1,00,00,000",Sunrisers Hyderabad
Kane Williamson,All-Rounder,"60,00,000",Sunrisers Hyderabad
Laxmi Ratan Shukla,All-Rounder,"30,00,000",Sunrisers Hyderabad
Prasanth Padmanabhan,All-Rounder,"10,00,000",Sunrisers Hyderabad
Hanuma Vihari,Batsman,"10,00,000",Sunrisers Hyderabad
Siddarth Kaul,Bowler,"10,00,000",Sunrisers Hyderabad
