PLAYER,TYPE,PRICE PAID,TEAM
Rajat Bhatia,All-Rounder,"60,00,000",Rising Pune Supergiant
Ashok Dinda,Bowler,"50,00,000",Rising Pune Supergiant
Scott Boland,Bowler,"50,00,000",Rising Pune Supergiant
Peter Handscomb,Wicket Keeper,"30,00,000",Rising Pune Supergiant
Rudra Pratap Singh,Bowler,"30,00,000",Rising Pune Supergiant
Adam Zampa,Bowler,"30,00,000",Rising Pune Supergiant
Ishwar Chandra Pandey,Bowler,"20,00,000",Rising Pune Supergiant
Deepak Chahar,All-Rounder,"10,00,000",Rising Pune Supergiant
Jaskaran Singh,Bowler,"10,00,000",Rising Pune Supergiant
Baba Aparajith,All-Rounder,"10,00,000",Rising Pune Supergiant
Ankush Bains,Wicket Keeper,"10,00,000",Rising Pune Supergiant
Ankit Sharma,All-Rounder,"10,00,000",Rising Pune Supergiant
Shane Watson,All-Rounder,"9,50,00,000",Royal Challengers Bangalore
Stuart Binny,All-Rounder,"2,00,00,000",Royal Challengers Bangalore
Kane Richardson,Bowler,"2,00,00,000",Royal Challengers Bangalore
Samuel Badree,Bowler,"50,00,000",Royal Challengers Bangalore
Travis Head,Batsman,"50,00,000",Royal Challengers Bangalore
Praveen Dubey,All-Rounder,"35,00,000",Royal Challengers Bangalore
Vikramjeet Malik,Bowler,"20,00,000",Royal Challengers Bangalore
Akshay Karnewar,All-Rounder,"10,00,000",Royal Challengers Bangalore
Iqbal Abdullah,All-Rounder,"10,00,000",Royal Challengers Bangalore
Sachin Baby,Batsman,"10,00,000",Royal Challengers Bangalore
Vikas Tokas,Bowler,"10,00,000",Royal Challengers Bangalore
Yuvraj Singh,All-Rounder,"7,00,00,000",Sunrisers Hyderabad
Ashish Nehra,Bowler,"5,50,00,000",Sunrisers Hyderabad
Deepak Hooda,All-Rounder,"4,20,00,000",Sunrisers Hyderabad
Mustafizur Rahman,Bowler,"1,40,00,000",Sunrisers Hyderabad
Aditya Tare,Wicket Keeper,"1,20,00,000",Sunrisers Hyderabad
Barinder Singh Sran,Bowler,"1,20,00,000",Sunrisers Hyderabad
Ben Cutting,All-Rounder,"50,00,000",Sunrisers Hyderabad
Vijay Shankar,All-Rounder,"35,00,000",Sunrisers Hyderabad
Abhimanyu Mithun,Bowler,"30,00,000",Sunrisers Hyderabad
Tirumalasetti Suman,Batsman,"10,00,000",Sunrisers Hyderabad
