PLAYER,TYPE,PRICE PAID,TEAM
Pawan Negi,All-Rounder,"8,50,00,000",Delhi Daredevils
Christopher Morris,All-Rounder,"7,00,00,000",Delhi Daredevils
Sanju Samson,Wicket Keeper,"4,20,00,000",Delhi Daredevils
Carlos Brathwaite,All-Rounder,"4,20,00,000",Delhi Daredevils
Karun Nair,Batsman,"4,00,00,000",Delhi Daredevils
Rishabh Pant,Wicket Keeper,"1,90,00,000",Delhi Daredevils
Joel Paris,Bowler,"30,00,000",Delhi Daredevils
Sam Billings,Wicket Keeper,"30,00,000",Delhi Daredevils
Chama Milind,Bowler,"10,00,000",Delhi Daredevils
Pratyush Singh,All-Rounder,"10,00,000",Delhi Daredevils
Mahipal Lomror,All-Rounder,"10,00,000",Delhi Daredevils
Syed Khaleel Ahmed,All-Rounder,"10,00,000",Delhi Daredevils
Akhil Arvind Herwadkar,All-Rounder,"10,00,000",Delhi Daredevils
Pawan Suyal,Bowler,"10,00,000",Delhi Daredevils
Praveen Kumar,Bowler,"3,50,00,000",Gujarat Lions
Dale Steyn,Bowler,"2,30,00,000",Gujarat Lions
Dinesh Karthik,Wicket Keeper,"2,30,00,000",Gujarat Lions
Dwayne Smith,All-Rounder,"2,30,00,000",Gujarat Lions
Dhawal Kulkarni,Bowler,"2,00,00,000",Gujarat Lions
Aaron Finch,Batsman,"1,00,00,000",Gujarat Lions
Eklavya Dwivedi,Wicket Keeper,"1,00,00,000",Gujarat Lions
Andrew Tye,All-Rounder,"50,00,000",Gujarat Lions
Ishan Kishan,Wicket Keeper,"35,00,000",Gujarat Lions
Jaydev Shah,All-Rounder,"20,00,000",Gujarat Lions
Shadab Jakati,All-Rounder,"20,00,000",Gujarat Lions
Pravin Tambe,Bowler,"20,00,000",Gujarat Lions
Pradeep Sangwan,All-Rounder,"20,00,000",Gujarat Lions
Amit Mishra,Bowler,"10,00,000",Gujarat Lions
Shivil Kaushik,Bowler,"10,00,000",Gujarat Lions
Akshdeep Nath,All-Rounder,"10,00,000",Gujarat Lions
Sarabjit Ladda,Bowler,"10,00,000",Gujarat Lions
Umang Sharma,Batsman,"10,00,000",Gujarat Lions
Paras Dogra,Batsman,"10,00,000",Gujarat Lions
Mohit Sharma,Bowler,"6,50,00,000",Kings XI Punjab
Kyle Abbott,Bowler,"2,10,00,000",Kings XI Punjab
K.C. Cariappa,Bowler,"80,00,000",Kings XI Punjab
Marcus Stoinis,All-Rounder,"55,00,000",Kings XI Punjab
Farhaan Behardien,All-Rounder,"30,00,000",Kings XI Punjab
Pardeep Sahu,All-Rounder,"10,00,000",Kings XI Punjab
Armaan Jaffer,Batsman,"10,00,000",Kings XI Punjab
Swapnil Singh,All-Rounder,"10,00,000",Kings XI Punjab
Jaydev Unadkat,Bowler,"1,60,00,000",Kolkata Knight Riders
Ankit Singh Rajpoot,Bowler,"1,50,00,000",Kolkata Knight Riders
John Hastings,Bowler,"1,30,00,000",Kolkata Knight Riders
Jason Holder,All-Rounder,"70,00,000",Kolkata Knight Riders
Colin Munro,All-Rounder,"30,00,000",Kolkata Knight Riders
Rajagopal Sathish,All-Rounder,"20,00,000",Kolkata Knight Riders
Manan Ajay Sharma,All-Rounder,"10,00,000",Kolkata Knight Riders
Jos Buttler,Wicket Keeper,"3,80,00,000",Mumbai Indians
Nathu Singh,Bowler,"3,20,00,000",Mumbai Indians
Tim Southee,Bowler,"2,50,00,000",Mumbai Indians
Krunal Pandya,All-Rounder,"2,00,00,000",Mumbai Indians
Kishore Pramod Kamath,All-Rounder,"1,40,00,000",Mumbai Indians
Deepak Punia,All-Rounder,"10,00,000",Mumbai Indians
Jitesh Sharma,Wicket Keeper,"10,00,000",Mumbai Indians
Mitchell Marsh,All-Rounder,"4,80,00,000",Rising Pune Supergiant
M. Ashwin,Bowler,"4,50,00,000",Rising Pune Supergiant
Ishant Sharma,Bowler,"3,80,00,000",Rising Pune Supergiant
Kevin Pietersen,Batsman,"3,50,00,000",Rising Pune Supergiant
Irfan Pathan,All-Rounder,"1,00,00,000",Rising Pune Supergiant
Thisara Perera,All-Rounder,"1,00,00,000",Rising Pune Supergiant
