PLAYER,TYPE,PRICE PAID,TEAM
Mohit Sharma,Bowler,"5,00,00,000",Chennai Super Kings
Ruturaj Gaikwad,Batsman,"20,00,000",Chennai Super Kings
Colin Ingram,Batsman,"6,40,00,000",Delhi Capitals
Axar Rajesh Patel,All-Rounder,"5,00,00,000",Delhi Capitals
Hanuma Vihari,Batsman,"2,00,00,000",Delhi Capitals
Sherfane Rutherford,All-Rounder,"2,00,00,000",Delhi Capitals
Ishant Sharma,Bowler,"1,10,00,000",Delhi Capitals
Keemo Paul,All-Rounder,"50,00,000",Delhi Capitals
Jalaj Saxena,All-Rounder,"20,00,000",Delhi Capitals
Ankush Bains,Wicket Keeper,"20,00,000",Delhi Capitals
Nathu Singh,Bowler,"20,00,000",Delhi Capitals
Bandaru Ayyappa,Bowler,"20,00,000",Delhi Capitals
Varun Chakaravarthy,All-Rounder,"8,40,00,000",Kings XI Punjab
Sam Curran,All-Rounder,"7,20,00,000",Kings XI Punjab
Mohammad Shami,Bowler,"4,80,00,000",Kings XI Punjab
Prabhsimran Singh,Wicket Keeper,"4,80,00,000",Kings XI Punjab
Nicolas Pooran,Wicket Keeper,"4,20,00,000",Kings XI Punjab
Moises Henriques,All-Rounder,"1,00,00,000",Kings XI Punjab
Hardus Viljoen,Bowler,"75,00,000",Kings XI Punjab
Darshan Nalkande,All-Rounder,"30,00,000",Kings XI Punjab
Sarfaraz Naushad Khan,All-Rounder,"25,00,000",Kings XI Punjab
Arshdeep Singh,Bowler,"20,00,000",Kings XI Punjab
Agnivesh Ayachi,All-Rounder,"20,00,000",Kings XI Punjab
Harpreet Brar,All-Rounder,"20,00,000",Kings XI Punjab
M. Ashwin,Bowler,"20,00,000",Kings XI Punjab
Carlos Brathwaite,All-Rounder,"5,00,00,000",Kolkata Knight Riders
Lockie Ferguson,Bowler,"1,60,00,000",Kolkata Knight Riders
Joe Denly,Batsman,"1,00,00,000",Kolkata Knight Riders
Harry Gurney,Bowler,"75,00,000",Kolkata Knight Riders
Nikhil Shankar Naik,Wicket Keeper,"20,00,000",Kolkata Knight Riders
Shrikant Mundhe,All-Rounder,"20,00,000",Kolkata Knight Riders
Prithvi Raj Yarra,Bowler,"20,00,000",Kolkata Knight Riders
Anrich Nortje,Bowler,"20,00,000",Kolkata Knight Riders
Barinder Singh Sran,Bowler,"3,40,00,000",Mumbai Indians
Lasith Malinga,Bowler,"2,00,00,000",Mumbai Indians
Yuvraj Singh,All-Rounder,"1,00,00,000",Mumbai Indians
Anmolpreet Singh,Batsman,"80,00,000",Mumbai Indians
Pankaj Jaswal,All-Rounder,"20,00,000",Mumbai Indians
Rasikh Dar,Bowler,"20,00,000",Mumbai Indians
Jaydev Unadkat,Bowler,"8,40,00,000",Rajasthan Royals
Varun Aaron,Bowler,"2,40,00,000",Rajasthan Royals
Oshane Thomas,Bowler,"1,10,00,000",Rajasthan Royals
Ashton Turner,All-Rounder,"50,00,000",Rajasthan Royals
Liam Livingstone,All-Rounder,"50,00,000",Rajasthan Royals
Shashank Singh,All-Rounder,"30,00,000",Rajasthan Royals
Riyan Parag,All-Rounder,"20,00,000",Rajasthan Royals
Manan Vohra,Batsman,"20,00,000",Rajasthan Royals
Shubham Ranjane,All-Rounder,"20,00,000",Rajasthan Royals
Shivam Dube,All-Rounder,"5,00,00,000",Royal Challengers Bangalore
Shimron Hetmyer,Batsman,"4,20,00,000",Royal Challengers Bangalore
Akshdeep Nath,All-Rounder,"3,60,00,000",Royal Challengers Bangalore
Prayas Ray Barman,All-Rounder,"1,50,00,000",Royal Challengers Bangalore
Himmat Singh,Batsman,"65,00,000",Royal Challengers Bangalore
Gurkeerat Singh Mann,All-Rounder,"50,00,000",Royal Challengers Bangalore
Heinrich Klaasen,Wicket Keeper,"50,00,000",Royal Challengers Bangalore
Devdutt Padikkal,Batsman,"20,00,000",Royal Challengers Bangalore
Milind Kumar,All-Rounder,"20,00,000",Royal Challengers Bangalore
Jonny Bairstow,Wicket Keeper,"2,20,00,000",Sunrisers Hyderabad
Wriddhiman Saha,Wicket Keeper,"1,20,00,000",Sunrisers Hyderabad
Martin Guptill,Batsman,"1,00,00,000",Sunrisers Hyderabad
