PLAYER,NATIONALITY,TYPE,PRICE PAID,TEAM
Robin Uthappa,Indian,Batsman,"2,00,00,000",Chennai Super Kings
Dwayne Bravo,Overseas,All-Rounder,"4,40,00,000",Chennai Super Kings
Ambati Rayudu,Indian,Wicket Keeper,"6,75,00,000",Chennai Super Kings
Deepak Chahar,Indian,Bowler,"14,00,00,000",Chennai Super Kings
C.Hari Nishaanth,Indian,Batsman,"20,00,000",Chennai Super Kings
N. Jagadeesan,Indian,Wicket Keeper,"20,00,000",Chennai Super Kings
K.M. Asif,Indian,Bowler,"20,00,000",Chennai Super Kings
Tushar Deshpande,Indian,Bowler,"20,00,000",Chennai Super Kings
Shivam Dube,Indian,All-Rounder,"4,00,00,000",Chennai Super Kings
Chris Jordan,Overseas,All-Rounder,"3,60,00,000",Chennai Super Kings
Maheesh Theekshana,Overseas,Bowler,"70,00,000",Chennai Super Kings
Rajvardhan Hangargekar,Indian,All-Rounder,"1,50,00,000",Chennai Super Kings
Simarjeet Singh,Indian,Bowler,"20,00,000",Chennai Super Kings
Devon Conway,Overseas,Batsman,"1,00,00,000",Chennai Super Kings
Dwaine Pretorius,Overseas,All-Rounder,"50,00,000",Chennai Super Kings
Mitchell Santner,Overseas,All-Rounder,"1,90,00,000",Chennai Super Kings
Adam Milne,Overseas,Bowler,"1,90,00,000",Chennai Super Kings
Subhranshu Senapati,Indian,Batsman,"20,00,000",Chennai Super Kings
Mukesh Choudhary,Indian,Bowler,"20,00,000",Chennai Super Kings
Prashant Solanki,Indian,Bowler,"1,20,00,000",Chennai Super Kings
K.Bhagath Varma,Indian,All-Rounder,"20,00,000",Chennai Super Kings
David Warner,Overseas,Batsman,"6,25,00,000",Delhi Capitals
Mitchell Marsh,Overseas,All-Rounder,"6,50,00,000",Delhi Capitals
Mustafizur Rahman,Overseas,Bowler,"2,00,00,000",Delhi Capitals
Shardul Thakur,Indian,Bowler,"10,75,00,000",Delhi Capitals
Kuldeep Yadav,Indian,Bowler,"2,00,00,000",Delhi Capitals
Ashwin Hebbar,Indian,Batsman,"20,00,000",Delhi Capitals
Sarfaraz Khan,Indian,All-Rounder,"20,00,000",Delhi Capitals
Kamlesh Nagarkoti,Indian,All-Rounder,"1,10,00,000",Delhi Capitals
K.S. Bharat,Indian,Wicket Keeper,"2,00,00,000",Delhi Capitals
Mandeep Singh,Indian,Batsman,"1,10,00,000",Delhi Capitals
Syed Khaleel Ahmed,Indian,Bowler,"5,25,00,000",Delhi Capitals
Lungisani Ngidi,Overseas,Bowler,"50,00,000",Delhi Capitals
Chetan Sakariya,Indian,Bowler,"4,20,00,000",Delhi Capitals
Yash Dhull,Indian,All-Rounder,"50,00,000",Delhi Capitals
Vicky Ostwal,Indian,All-Rounder,"20,00,000",Delhi Capitals
Ripal Patel,Indian,All-Rounder,"20,00,000",Delhi Capitals
Lalit Yadav,Indian,All-Rounder,"65,00,000",Delhi Capitals
Rovman Powell,Overseas,Batsman,"2,80,00,000",Delhi Capitals
Tim Seifert,Overseas,Wicket Keeper,"50,00,000",Delhi Capitals
Pravin Dubey,Indian,All-Rounder,"50,00,000",Delhi Capitals
Mohammad Shami,Indian,Bowler,"6,25,00,000",Gujarat Titans
David Miller,Overseas,Batsman,"3,00,00,000",Gujarat Titans
Jason Roy,Overseas,Batsman,"2,00,00,000",Gujarat Titans
Wriddhiman  Saha,Indian,Wicket Keeper,"1,90,00,000",Gujarat Titans
Matthew Wade,Overseas,Wicket Keeper,"2,40,00,000",Gujarat Titans
