StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Ruturaj Gaikwad,102,16,31-1-1997,CSK,Chennai Super Kings,16,635,466,136.26,64,23,14,2,4,1,101*,45.35,India,rhb,Indian,True
Faf du Plessis,94,16,13-7-1984,CSK,Chennai Super Kings,16,633,458,138.2,60,23,14,2,6,0,95*,45.21,South Africa,rhb,Overseas,True
KL Rahul,19,13,18-4-1992,PBKS,Punjab Kings,13,626,451,138.8,48,30,10,3,6,0,98*,62.6,India,rhb,Indian,True
Shikhar Dhawan,11,16,5-12-1985,DC,Delhi Capitals,16,587,471,124.62,63,16,15,1,3,0,92,39.13,India,lhb,Indian,False
Glenn Maxwell,28,15,14-10-1988,RCB,Royal Challengers Bangalore,14,513,356,144.1,48,21,12,2,6,0,78,42.75,Australia,rhb,Overseas,True
Sanju Samson,190,14,11-11-1994,RR,Rajasthan Royals,14,484,354,136.72,45,17,12,2,2,1,119,40.33,India,rhb,Indian,True
Prithvi Shaw,51,15,9-11-1999,DC,Delhi Capitals,15,479,301,159.13,56,18,15,0,4,0,82,31.93,India,rhb,Indian,True
Shubman Gill,62,17,8-9-1999,KKR,Kolkata Knight Riders,17,478,402,118.9,50,12,17,0,3,0,57,28.11,India,rhb,Indian,True
Mayank Agarwal,55,12,16-2-1991,PBKS,Punjab Kings,12,441,314,140.44,42,18,11,1,4,0,99*,40.09,India,rhb,Indian,True
Rishabh Pant,18,16,4-10-1997,DC,Delhi Capitals,16,419,326,128.52,42,10,12,4,3,0,58*,34.91,India,lhb,Indian,False
Devdutt Padikkal,200,14,7-7-2000,RCB,Royal Challengers Bangalore,14,411,328,125.3,44,14,13,1,1,1,101*,31.61,India,lhb,Indian,False
Virat Kohli,2,15,5-11-1988,RCB,Royal Challengers Bangalore,15,405,339,119.46,43,9,14,1,3,0,72*,28.92,India,rhb,Indian,True
Rahul Tripathi,188,17,2-3-1991,KKR,Kolkata Knight Riders,16,397,283,140.28,41,11,14,2,2,0,74*,28.35,India,rhb,Indian,True
Nitish Rana,148,17,27-12-1993,KKR,Kolkata Knight Riders,16,383,314,121.97,34,17,13,3,2,0,80,29.46,India,lhb,Indian,False
Rohit Sharma,6,13,30-4-1987,MI,Mumbai Indians,13,381,299,127.42,33,14,13,0,1,0,63,29.3,India,rhb,Indian,True
Venkatesh Iyer,584,10,25-12-1994,KKR,Kolkata Knight Riders,10,370,288,128.47,37,14,9,1,4,0,67,41.11,India,lhb,Indian,False
Moeen Ali,206,15,18-6-1987,CSK,Chennai Super Kings,15,357,260,137.3,31,19,14,1,1,0,58,25.5,England,lhb,Overseas,False
Suryakumar Yadav,174,14,14-9-1990,MI,Mumbai Indians,14,317,221,143.43,40,10,14,0,2,0,82,22.64,India,rhb,Indian,True
AB de Villiers,198,15,17-2-1984,RCB,Royal Challengers Bangalore,14,313,211,148.34,23,16,10,4,2,0,76*,31.3,South Africa,rhb,Overseas,True
Quinton de Kock,170,11,17-12-1992,MI,Mumbai Indians,11,297,256,116.01,29,7,10,1,2,0,70*,29.7,South Africa,lhb,Overseas,False
