StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Kane Williamson,65,17,8-8-1990,SRH,Sunrisers Hyderabad,17,735,516,142.44,64,28,14,3,8,0,84,52.5,New Zealand,rhb,Overseas,True
Rishabh Pant,18,14,4-10-1997,DC,Delhi Capitals,14,684,394,173.6,68,37,13,1,5,1,128*,52.61,India,lhb,Indian,False
KL Rahul,19,14,18-4-1992,PBKS,Punjab Kings,14,659,416,158.41,66,32,12,2,6,0,95*,54.91,India,rhb,Indian,True
Ambati Rayudu,60,16,23-9-1985,CSK,Chennai Super Kings,16,602,402,149.75,53,34,14,2,3,1,100*,43.0,India,rhb,Indian,True
Shane Watson,104,15,17-6-1981,CSK,Chennai Super Kings,15,555,359,154.59,44,35,14,1,2,2,117*,39.64,Australia,rhb,Overseas,True
Jos Buttler,182,13,8-9-1990,RR,Rajasthan Royals,13,548,353,155.24,52,21,10,3,5,0,95*,54.8,England,rhb,Overseas,True
Virat Kohli,2,14,5-11-1988,RCB,Royal Challengers Bangalore,14,530,381,139.1,52,18,11,3,4,0,92*,48.18,India,rhb,Indian,True
Suryakumar Yadav,174,14,14-9-1990,MI,Mumbai Indians,14,512,384,133.33,61,16,14,0,4,0,72,36.57,India,rhb,Indian,True
Dinesh Karthik,13,16,1-6-1985,KKR,Kolkata Knight Riders,16,498,337,147.77,49,16,10,6,2,0,52,49.8,India,rhb,Indian,True
Shikhar Dhawan,11,16,5-12-1985,SRH,Sunrisers Hyderabad,16,497,363,136.91,59,14,13,3,4,0,92*,38.23,India,lhb,Indian,False
Chris Lynn,27,16,10-4-1990,KKR,Kolkata Knight Riders,16,491,377,130.23,56,18,15,1,3,0,74,32.73,Australia,rhb,Overseas,True
AB de Villiers,198,12,17-2-1984,RCB,Royal Challengers Bangalore,11,480,275,174.54,39,30,9,2,6,0,90*,53.33,South Africa,rhb,Overseas,True
MS Dhoni,57,16,7-7-1981,CSK,Chennai Super Kings,15,455,302,150.66,24,30,6,9,3,0,79*,75.83,India,rhb,Indian,True
Suresh Raina,106,15,27-11-1986,CSK,Chennai Super Kings,15,445,336,132.44,46,12,12,3,4,0,75*,37.08,India,lhb,Indian,False
Sanju Samson,190,15,11-11-1994,RR,Rajasthan Royals,15,441,320,137.81,30,19,14,1,3,0,92*,31.5,India,rhb,Indian,True
Shreyas Iyer,12,14,6-12-1994,DC,Delhi Capitals,14,411,310,132.58,29,21,11,3,4,0,93*,37.36,India,rhb,Indian,True
Evin Lewis,163,13,27-12-1991,MI,Mumbai Indians,13,382,276,138.4,32,24,13,0,2,0,65,29.38,West Indies,lhb,Overseas,False
Ajinkya Rahane,44,15,6-6-1988,RR,Rajasthan Royals,14,370,313,118.21,39,5,13,1,1,0,65*,28.46,India,rhb,Indian,True
Chris Gayle,126,11,21-9-1979,PBKS,Punjab Kings,11,368,252,146.03,30,27,9,2,3,1,104*,40.88,West Indies,lhb,Overseas,False
Sunil Narine,156,16,26-5-1988,KKR,Kolkata Knight Riders,16,357,188,189.89,40,23,16,0,2,0,75,22.31,West Indies,lhb,Overseas,False
Robin Uthappa,153,16,11-11-1985,KKR,Kolkata Knight Riders,16,351,265,132.45,30,21,16,0,1,0,54,21.93,India,rhb,Indian,True
Andre Russell,141,16,29-4-1988,KKR,Kolkata Knight Riders,14,316,171,184.79,17,31,11,3,1,0,88*,28.72,West Indies,rhb,Overseas,True
Nitish Rana,148,15,27-12-1993,KKR,Kolkata Knight Riders,15,304,232,131.03,26,14,13,2,1,0,59,23.38,India,lhb,Indian,False
Karun Nair,131,13,6-12-1991,PBKS,Punjab Kings,12,301,221,136.19,23,13,12,0,2,0,54,25.08,India,rhb,Indian,True
Rohit Sharma,6,14,30-4-1987,MI,Mumbai Indians,14,286,215,133.02,25,12,12,2,2,0,94,23.83,India,rhb,Indian,True
Manish Pandey,16,15,10-9-1989,SRH,Sunrisers Hyderabad,13,284,246,115.44,22,5,11,2,3,0,62*,25.81,India,rhb,Indian,True
Ishan Kishan,164,14,18-7-1998,MI,Mumbai Indians,12,275,184,149.45,22,17,12,0,2,0,62,22.91,India,lhb,Indian,False
Hardik Pandya,54,13,11-10-1993,MI,Mumbai Indians,13,260,195,133.33,20,11,9,4,1,0,50,28.88,India,rhb,Indian,True
Yusuf Pathan,226,15,17-11-1982,SRH,Sunrisers Hyderabad,13,260,200,130.0,22,11,9,4,0,0,45*,28.88,India,rhb,Indian,True
Mandeep Singh,132,14,18-12-1991,RCB,Royal Challengers Bangalore,13,252,186,135.48,16,11,10,3,0,0,47*,25.2,India,rhb,Indian,True
Prithvi Shaw,51,9,9-11-1999,DC,Delhi Capitals,9,245,160,153.12,27,10,9,0,2,0,65,27.22,India,rhb,Indian,True
Shakib Al Hasan,222,17,24-3-1987,SRH,Sunrisers Hyderabad,13,239,197,121.31,26,5,11,2,0,0,35,21.72,Bangladesh,lhb,Overseas,False
Krunal Pandya,17,14,24-3-1991,MI,Mumbai Indians,13,228,157,145.22,22,10,10,3,0,0,41*,22.8,India,lhb,Indian,False
Rahul Tripathi,188,12,2-3-1991,RR,Rajasthan Royals,12,226,167,135.32,18,8,9,3,1,0,80*,25.11,India,rhb,Indian,True
Vijay Shankar,61,13,26-1-1991,DC,Delhi Capitals,11,212,148,143.24,11,11,4,7,1,0,54*,53.0,India,rhb,Indian,True
Shubman Gill,62,13,8-9-1999,KKR,Kolkata Knight Riders,11,203,139,146.04,22,5,6,5,1,0,57*,33.83,India,rhb,Indian,True
Quinton de Kock,170,8,17-12-1992,RCB,Royal Challengers Bangalore,8,201,162,124.07,20,8,8,0,1,0,53,25.12,South Africa,lhb,Overseas,False
Ben Stokes,177,13,4-6-1991,RR,Rajasthan Royals,13,196,161,121.73,13,6,12,1,0,0,45,16.33,England,lhb,Overseas,False
