StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
David Warner,214,14,27-10-1986,SRH,Sunrisers Hyderabad,14,641,452,141.81,63,26,11,3,4,1,126,58.27,Australia,lhb,Overseas,False
Gautam Gambhir,0,16,14-10-1981,KKR,Kolkata Knight Riders,16,498,389,128.02,61,7,12,4,4,0,76*,41.5,India,lhb,Indian,False
Shikhar Dhawan,11,14,5-12-1985,SRH,Sunrisers Hyderabad,14,479,376,127.39,53,9,13,1,3,0,77,36.84,India,lhb,Indian,False
Steve Smith,0,15,2-6-1989,RPS,Rising Pune Supergiant,15,472,387,121.96,38,12,12,3,3,0,84*,39.33,Australia,rhb,Overseas,True
Suresh Raina,106,14,27-11-1986,GL,Gujarat Lions,14,442,307,143.97,42,13,11,3,3,0,84,40.18,India,lhb,Indian,False
Hashim Amla,285,10,31-3-1983,PBKS,Punjab Kings,10,420,288,145.83,40,17,7,3,2,2,104*,60.0,South Africa,rhb,Overseas,True
Manish Pandey,16,14,10-9-1989,KKR,Kolkata Knight Riders,13,396,308,128.57,28,12,8,5,2,0,81*,49.5,India,rhb,Indian,True
Parthiv Patel,48,16,9-3-1985,MI,Mumbai Indians,16,395,293,134.81,49,8,16,0,2,0,70,24.68,India,lhb,Indian,False
Rahul Tripathi,188,14,2-3-1991,RPS,Rising Pune Supergiant,14,391,267,146.44,43,17,14,0,2,0,93,27.92,India,rhb,Indian,True
Robin Uthappa,153,14,11-11-1985,KKR,Kolkata Knight Riders,13,388,235,165.1,36,21,13,0,5,0,87,29.84,India,rhb,Indian,True
Sanju Samson,190,14,11-11-1994,DC,Delhi Capitals,14,386,273,141.39,32,19,14,0,2,1,102,27.57,India,rhb,Indian,True
Kieron Pollard,166,17,12-5-1987,MI,Mumbai Indians,16,385,276,139.49,26,22,13,3,3,0,70,29.61,West Indies,rhb,Overseas,True
Ajinkya Rahane,44,16,6-6-1988,RPS,Rising Pune Supergiant,16,382,323,118.26,35,9,15,1,2,0,60,25.46,India,rhb,Indian,True
Rishabh Pant,18,14,4-10-1997,DC,Delhi Capitals,14,366,221,165.61,28,24,14,0,2,0,97,26.14,India,lhb,Indian,False
Dinesh Karthik,13,14,1-6-1985,GL,Gujarat Lions,13,361,259,139.38,30,11,10,3,2,0,65,36.1,India,rhb,Indian,True
Shreyas Iyer,12,12,6-12-1994,DC,Delhi Capitals,12,338,243,139.09,36,10,10,2,2,0,96,33.8,India,rhb,Indian,True
Nitish Rana,148,13,27-12-1993,MI,Mumbai Indians,12,333,264,126.13,24,17,11,1,3,0,62*,30.27,India,lhb,Indian,False
