StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Jos Buttler,182,17,8-9-1990,RR,Rajasthan Royals,17,863,579,149.05,83,45,15,2,4,4,116,57.53,England,rhb,Overseas,True
K L Rahul,19,15,18-4-1992,LSG,Lucknow Super Giants,15,616,455,135.38,45,30,12,3,4,2,103*,51.33,India,rhb,Indian,True
Quinton De Kock,170,15,17-12-1992,LSG,Lucknow Super Giants,15,508,341,148.97,47,23,14,1,3,1,140*,36.29,South Africa,lhb,Overseas,False
Hardik Pandya,54,15,11-10-1993,GT,Gujarat Titans,15,487,371,131.26,49,12,11,4,4,0,87*,44.27,India,rhb,Indian,True
Shubman Gill,62,16,8-9-1999,GT,Gujarat Titans,16,483,365,132.32,51,11,14,2,4,0,96,34.50,India,rhb,Indian,True
David Miller,128,16,10-6-1989,GT,Gujarat Titans,16,481,337,142.72,32,23,7,9,2,0,94*,68.71,South Africa,lhb,Overseas,False
Faf Du Plessis,94,16,13-7-1984,RCB,Royal Challengers Bangalore,16,468,367,127.52,49,13,15,1,3,0,96,31.20,South Africa,rhb,Overseas,True
Shikhar Dhawan,11,14,5-12-1985,PBKS,Punjab Kings,14,460,375,122.66,47,12,12,2,3,0,88*,38.33,India,lhb,Indian,False
Sanju Samson,190,17,11-11-1994,RR,Rajasthan Royals,17,458,312,146.79,43,26,16,1,2,0,55,28.63,India,rhb,Indian,True
Deepak Hooda,215,15,19-4-1995,LSG,Lucknow Super Giants,14,451,330,136.66,36,18,14,0,4,0,59,32.21,India,rhb,Indian,True
Liam Livingstone,183,14,4-8-1993,PBKS,Punjab Kings,14,437,240,182.08,29,34,12,2,4,0,70,36.42,England,rhb,Overseas,True
David Warner,214,12,27-10-1986,DC,Delhi Capitals,12,432,287,150.52,52,15,9,3,5,0,92*,48.00,Australia,lhb,Overseas,False
Abhishek Sharma,212,14,4-9-2000,SRH,Sunrisers Hyderabad,14,426,320,133.12,47,13,14,0,2,0,75,30.43,India,lhb,Indian,False
Ishan Kishan,164,14,18-7-1998,MI,Mumbai Indians,14,418,348,120.11,45,11,13,1,3,0,81*,32.15,India,lhb,Indian,False
Rahul Tripathi,188,14,2-3-1991,SRH,Sunrisers Hyderabad,14,413,261,158.23,40,20,11,3,3,0,76,37.55,India,rhb,Indian,True
Shreyas Iyer,12,14,6-12-1994,KKR,Kolkata Knight Riders,14,401,298,134.56,41,11,13,1,3,0,85,30.85,India,rhb,Indian,True
Tilak Varma,993,14,8-11-2002,MI,Mumbai Indians,14,397,303,131.02,29,16,11,3,2,0,61,36.09,India,lhb,Indian,False
Aiden Markram,287,14,4-10-1994,SRH,Sunrisers Hyderabad,12,381,274,139.05,25,19,8,4,3,0,68*,47.63,South Africa,rhb,Overseas,True
Devdutt Padikkal,200,17,7-7-2000,RR,Rajasthan Royals,17,376,306,122.87,40,14,17,0,1,0,54,22.12,India,lhb,Indian,False
Ruturaj  Gaikwad,102,14,31-1-1997,CSK,Chennai Super Kings,14,368,291,126.46,33,14,14,0,3,0,99,26.29,India,rhb,Indian,True
Nitish Rana,148,14,27-12-1993,KKR,Kolkata Knight Riders,14,361,251,143.82,29,22,13,1,2,0,57,27.77,India,lhb,Indian,False
Virat Kohli,2,16,5-11-1988,RCB,Royal Challengers Bangalore,16,341,294,115.98,32,8,15,1,2,0,73,22.73,India,rhb,Indian,True
Rishabh Pant,18,14,4-10-1997,DC,Delhi Capitals,13,340,224,151.78,35,16,11,2,0,0,44,30.91,India,lhb,Indian,False
Andre Russell,141,14,29-4-1988,KKR,Kolkata Knight Riders,12,335,192,174.47,18,32,9,3,1,0,70*,37.22,West Indies,rhb,Overseas,True
Rajat Patidar,597,8,1-6-1993,RCB,Royal Challengers Bangalore,7,333,218,152.75,27,18,6,1,2,1,112*,55.50,India,rhb,Indian,True
Dinesh Karthik,13,16,1-6-1985,RCB,Royal Challengers Bangalore,16,330,180,183.33,27,22,6,10,1,0,66*,55.00,India,rhb,Indian,True
Wriddhiman Saha,225,11,24-10-1984,GT,Gujarat Titans,11,317,259,122.39,40,7,10,1,3,0,68,31.70,India,rhb,Indian,True
Shimron Hetmyer,210,15,26-12-1996,RR,Rajasthan Royals,15,314,204,153.92,21,21,7,8,1,0,59*,44.86,West Indies,lhb,Overseas,False
Nicholas Pooran,136,14,2-10-1995,SRH,Sunrisers Hyderabad,13,306,212,144.33,16,21,8,5,2,0,64*,38.25,West Indies,lhb,Overseas,False
Suryakumar Yadav,174,8,14-9-1990,MI,Mumbai Indians,8,303,208,145.67,23,16,7,1,3,0,68*,43.29,India,rhb,Indian,True
Glenn Maxwell,28,13,14-10-1988,RCB,Royal Challengers Bangalore,13,301,178,169.1,31,15,11,2,1,0,55,27.36,Australia,rhb,Overseas,True
Shivam Dube,211,11,26-6-1993,CSK,Chennai Super Kings,11,289,185,156.21,22,16,10,1,2,0,95*,28.90,India,lhb,Indian,False
Prithvi Shaw,51,10,9-11-1999,DC,Delhi Capitals,10,283,185,152.97,37,10,10,0,2,0,61,28.30,India,rhb,Indian,True
Ambati Rayudu,60,13,23-9-1985,CSK,Chennai Super Kings,11,274,224,122.32,25,15,11,0,1,0,78,24.91,India,rhb,Indian,True
Rohit Sharma,6,14,30-4-1987,MI,Mumbai Indians,14,268,223,120.17,28,13,14,0,0,0,48,19.14,India,rhb,Indian,True
Yashasvi Jaiswal,533,10,28-12-2001,RR,Rajasthan Royals,10,258,194,132.98,28,10,10,0,2,0,68,25.80,India,lhb,Indian,False
Jonny Bairstow,216,11,26-9-1989,PBKS,Punjab Kings,11,253,175,144.57,34,9,11,0,2,0,66,23.00,England,rhb,Overseas,True
Devon Conway,601,7,8-7-1991,CSK,Chennai Super Kings,7,252,173,145.66,22,12,6,1,3,0,87,42.00,New Zealand,lhb,Overseas,False
Mitchell Marsh,40,8,20-10-1991,DC,Delhi Capitals,8,251,189,132.8,19,14,8,0,2,0,89,31.38,Australia,rhb,Overseas,True
Rovman Powell,329,14,23-7-1993,DC,Delhi Capitals,12,250,167,149.7,10,22,10,2,1,0,67*,25.00,West Indies,rhb,Overseas,True
Moeen Ali,206,10,18-6-1987,CSK,Chennai Super Kings,10,244,177,137.85,24,11,10,0,1,0,93,24.40,England,lhb,Overseas,False
Jitesh Sharma,1000,12,22-10-1993,PBKS,Punjab Kings,10,234,143,163.63,22,12,8,2,0,0,44,29.25,India,rhb,Indian,True
MS Dhoni,57,14,7-7-1981,CSK,Chennai Super Kings,13,232,188,123.4,21,10,7,6,1,0,50*,33.14,India,rhb,Indian,True
Robin Uthappa,153,12,11-11-1985,CSK,Chennai Super Kings,11,230,171,134.5,19,14,11,0,2,0,88,20.91,India,rhb,Indian,True
Shahbaz Ahmed,523,16,11-12-1994,RCB,Royal Challengers Bangalore,11,219,181,120.99,14,9,8,3,0,0,45,27.38,India,lhb,Indian,False
Rahul Tewatia,120,16,20-5-1993,GT,Gujarat Titans,12,217,147,147.61,22,9,7,5,0,0,43*,31.00,India,lhb,Indian,False
Kane Williamson,65,13,8-8-1990,SRH,Sunrisers Hyderabad,13,216,231,93.5,16,8,11,2,1,0,57,19.64,New Zealand,rhb,Overseas,True
Bhanuka Rajapaksa,372,9,24-10-1991,PBKS,Punjab Kings,9,206,129,159.68,16,13,9,0,0,0,43,22.89,Sri Lanka,lhb,Overseas,False
Mayank Agarwal,55,13,16-2-1991,PBKS,Punjab Kings,12,196,160,122.5,23,6,12,0,1,0,52,16.33,India,rhb,Indian,True
Ravichandran Ashwin,45,17,17-9-1986,RR,Rajasthan Royals,12,191,135,141.48,14,9,7,5,1,0,50,27.29,India,rhb,Indian,True
Tim David,636,8,16-3-1996,MI,Mumbai Indians,8,186,86,216.27,12,16,5,3,0,0,46,37.20,Australia,rhb,Overseas,True
Riyan Parag,189,17,10-11-2001,RR,Rajasthan Royals,14,183,132,138.63,11,10,11,3,1,0,56*,16.64,India,rhb,Indian,True
Krunal Pandya,17,14,24-3-1991,LSG,Lucknow Super Giants,13,183,145,126.2,16,4,9,4,0,0,42,20.33,India,lhb,Indian,False
Axar Patel,110,13,20-1-1994,DC,Delhi Capitals,10,182,120,151.66,12,10,4,6,0,0,42*,45.50,India,lhb,Indian,False
Venkatesh Iyer,584,12,25-12-1994,KKR,Kolkata Knight Riders,12,182,169,107.69,17,7,11,1,1,0,50*,16.55,India,lhb,Indian,False
Rinku Singh,152,7,12-10-1997,KKR,Kolkata Knight Riders,7,174,117,148.71,17,7,5,2,0,0,42*,34.80,India,lhb,Indian,False
Sam Billings,103,8,15-6-1991,KKR,Kolkata Knight Riders,8,169,138,122.46,9,10,7,1,0,0,36,24.14,England,rhb,Overseas,True
