StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Sachin Tendulkar,233,15,24-4-1973,MI,Mumbai Indians,15,618,466,132.61,86,3,13,2,5,0,89*,47.53,India,rhb,Indian,True
Jacques Kallis,0,16,16-10-1975,RCB,Royal Challengers Bangalore,16,572,494,115.78,67,9,12,4,6,0,89*,47.66,South Africa,rhb,Overseas,True
Suresh Raina,106,16,27-11-1986,CSK,Chennai Super Kings,16,520,364,142.85,45,22,11,5,4,0,83*,47.27,India,lhb,Indian,False
Sourav Ganguly,0,14,8-7-1972,KKR,Kolkata Knight Riders,14,493,419,117.66,58,15,13,1,4,0,88,37.92,India,lhb,Indian,False
Murali Vijay,53,15,1-4-1984,CSK,Chennai Super Kings,15,458,292,156.84,36,26,13,2,2,1,127,35.23,India,rhb,Indian,True
Mahela Jayawardena,0,13,27-5-1977,PBKS,Punjab Kings,13,439,298,147.31,55,11,10,3,1,1,110*,43.9,Sri Lanka,rhb,Overseas,True
Andrew Symonds,0,16,9-6-1975,DEC,Deccan Chargers,16,429,341,125.8,35,18,14,2,4,0,54,30.64,Australia,rhb,Overseas,True
Saurabh Tiwary,540,16,30-12-1989,MI,Mumbai Indians,15,419,309,135.59,29,18,14,1,3,0,61,29.92,India,lhb,Indian,False
Rohit Sharma,6,16,30-4-1987,DEC,Deccan Chargers,16,404,302,133.77,36,14,14,2,3,0,73,28.85,India,rhb,Indian,True
Naman Ojha,0,14,20-7-1983,RR,Rajasthan Royals,14,377,285,132.28,42,15,12,2,2,0,94*,31.41,India,rhb,Indian,True
Robin Uthappa,153,16,11-11-1985,RCB,Royal Challengers Bangalore,14,374,218,171.55,21,27,12,2,3,0,68*,31.16,India,rhb,Indian,True
Kumar Sangakkara,0,13,27-10-1977,PBKS,Punjab Kings,12,357,257,138.91,47,5,12,0,2,0,56,29.75,Sri Lanka,lhb,Overseas,False
Ambati Rayudu,60,14,23-9-1985,MI,Mumbai Indians,14,356,246,144.71,34,13,13,1,2,0,55*,27.38,India,rhb,Indian,True
Virender Sehwag,461,14,20-10-1978,DC,Delhi Capitals,14,356,218,163.3,47,14,14,0,3,0,75,25.42,India,rhb,Indian,True
Subramaniam Badrinath,0,16,30-8-1980,CSK,Chennai Super Kings,15,356,303,117.49,41,5,11,4,2,0,55*,32.36,India,rhb,Indian,True
Matthew Hayden,0,16,29-10-1971,CSK,Chennai Super Kings,16,346,279,124.01,37,16,16,0,1,0,93,21.62,Australia,lhb,Overseas,False
Yusuf Pathan,226,14,17-11-1982,RR,Rajasthan Royals,14,333,201,165.67,22,24,12,2,1,1,100,27.75,India,rhb,Indian,True
Tirumalasetti Suman,0,14,15-12-1983,DEC,Deccan Chargers,14,307,257,119.45,23,12,9,5,2,0,78*,34.11,India,rhb,Indian,True
Virat Kohli,2,16,5-11-1988,RCB,Royal Challengers Bangalore,13,307,212,144.81,26,12,11,2,1,0,58,27.9,India,rhb,Indian,True
Chris Gayle,126,9,21-9-1979,KKR,Kolkata Knight Riders,9,292,184,158.69,30,16,9,0,2,0,88,32.44,West Indies,lhb,Overseas,False
Adam Gilchrist,0,16,14-11-1971,DEC,Deccan Chargers,16,289,185,156.21,31,16,16,0,1,0,54,18.06,Australia,lhb,Overseas,False
MS Dhoni,57,13,7-7-1981,CSK,Chennai Super Kings,11,287,210,136.66,26,8,9,2,2,0,66*,31.88,India,rhb,Indian,True
David Warner,214,11,27-10-1986,DC,Delhi Capitals,11,282,191,147.64,27,14,10,1,1,1,107*,28.2,Australia,lhb,Overseas,False
Michael Lumb,0,11,12-2-1980,RR,Rajasthan Royals,11,278,192,144.79,45,6,11,0,1,0,83,25.27,England,lhb,Overseas,False
Dinesh Karthik,13,14,1-6-1985,DC,Delhi Capitals,14,278,237,117.29,26,6,13,1,1,0,69,21.38,India,rhb,Indian,True
Gautam Gambhir,0,11,14-10-1981,DC,Delhi Capitals,10,277,217,127.64,32,2,9,1,2,0,72,30.77,India,lhb,Indian,False
Irfan Pathan,458,14,27-10-1984,PBKS,Punjab Kings,13,276,186,148.38,21,10,8,5,1,0,60,34.5,India,lhb,Indian,False
Kieron Pollard,166,14,12-5-1987,MI,Mumbai Indians,14,273,147,185.71,23,17,12,2,0,0,45*,22.75,West Indies,rhb,Overseas,True
Herschelle Gibbs,471,10,23-2-1974,DEC,Deccan Chargers,10,267,235,113.61,26,9,10,0,1,0,50,26.7,South Africa,rhb,Overseas,True
Rahul Dravid,0,16,11-1-1973,RCB,Royal Challengers Bangalore,11,256,199,128.64,34,3,9,2,1,0,52,28.44,India,rhb,Indian,True
Yuvraj Singh,175,14,12-12-1981,PBKS,Punjab Kings,14,255,199,128.14,20,14,12,2,0,0,43,21.25,India,lhb,Indian,False
Manish Pandey,16,13,10-9-1989,RCB,Royal Challengers Bangalore,13,249,226,110.17,27,7,12,1,0,0,42*,20.75,India,rhb,Indian,True
Ravi Bopara,0,10,4-5-1985,PBKS,Punjab Kings,9,248,214,115.88,25,3,8,1,2,0,77,31.0,England,rhb,Overseas,True
Manoj Tiwary,0,13,14-11-1985,KKR,Kolkata Knight Riders,11,237,186,127.41,23,5,9,2,2,0,75*,26.33,India,rhb,Indian,True
Kevin Pietersen,0,7,27-6-1980,RCB,Royal Challengers Bangalore,7,236,157,150.31,23,8,4,3,2,0,66*,59.0,England,rhb,Overseas,True
Angelo Mathews,275,14,2-6-1987,KKR,Kolkata Knight Riders,11,233,184,126.63,18,8,7,4,1,0,65*,33.28,Sri Lanka,rhb,Overseas,True
Manvinder Bisla,0,10,27-12-1984,PBKS,Punjab Kings,10,218,178,122.47,27,6,10,0,1,0,75,21.8,India,rhb,Indian,True
Paul Collingwood,0,8,26-5-1976,DC,Delhi Capitals,7,203,156,130.12,9,13,5,2,3,0,75*,40.6,England,rhb,Overseas,True
Albie Morkel,481,14,10-6-1981,CSK,Chennai Super Kings,11,198,131,151.14,10,13,8,3,1,0,62,24.75,South Africa,lhb,Overseas,False
Shikhar Dhawan,11,10,5-12-1985,MI,Mumbai Indians,10,191,170,112.35,23,3,10,0,2,0,56,19.1,India,lhb,Indian,False
Shane Watson,104,6,17-6-1981,RR,Rajasthan Royals,5,185,114,162.28,18,9,5,0,2,0,60,37.0,Australia,rhb,Overseas,True
