StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
David Warner,214,12,27-10-1986,SRH,Sunrisers Hyderabad,12,692,481,143.86,57,21,10,2,8,1,100*,69.2,Australia,lhb,Overseas,False
KL Rahul,19,14,18-4-1992,PBKS,Punjab Kings,14,593,438,135.38,49,25,11,3,6,1,100*,53.9,India,rhb,Indian,True
Quinton de Kock,170,16,17-12-1992,MI,Mumbai Indians,16,529,398,132.91,45,25,15,1,4,0,81,35.26,South Africa,lhb,Overseas,False
Shikhar Dhawan,11,16,5-12-1985,DC,Delhi Capitals,16,521,384,135.67,64,11,15,1,5,0,97*,34.73,India,lhb,Indian,False
Andre Russell,141,14,29-4-1988,KKR,Kolkata Knight Riders,13,510,249,204.81,31,52,9,4,4,0,80*,56.66,West Indies,rhb,Overseas,True
Chris Gayle,126,13,21-9-1979,PBKS,Punjab Kings,13,490,319,153.6,45,34,12,1,4,0,99*,40.83,West Indies,lhb,Overseas,False
Rishabh Pant,18,16,4-10-1997,DC,Delhi Capitals,16,488,300,162.66,37,27,13,3,3,0,78*,37.53,India,lhb,Indian,False
Virat Kohli,2,14,5-11-1988,RCB,Royal Challengers Bangalore,14,464,328,141.46,46,13,14,0,2,1,100,33.14,India,rhb,Indian,True
Shreyas Iyer,12,16,6-12-1994,DC,Delhi Capitals,16,463,386,119.94,41,14,15,1,3,0,67,30.86,India,rhb,Indian,True
Jonny Bairstow,216,10,26-9-1989,SRH,Sunrisers Hyderabad,10,445,283,157.24,48,18,8,2,2,1,114,55.62,England,rhb,Overseas,True
AB de Villiers,198,13,17-2-1984,RCB,Royal Challengers Bangalore,13,442,287,154.0,31,26,10,3,5,0,82*,44.2,South Africa,rhb,Overseas,True
Suryakumar Yadav,174,16,14-9-1990,MI,Mumbai Indians,15,424,324,130.86,45,10,13,2,2,0,71*,32.61,India,rhb,Indian,True
MS Dhoni,57,15,7-7-1981,CSK,Chennai Super Kings,12,416,309,134.62,22,23,5,7,3,0,84*,83.2,India,rhb,Indian,True
Chris Lynn,27,13,10-4-1990,KKR,Kolkata Knight Riders,13,405,290,139.65,41,22,13,0,4,0,82,31.15,Australia,rhb,Overseas,True
Rohit Sharma,6,15,30-4-1987,MI,Mumbai Indians,15,405,315,128.57,52,10,14,1,2,0,67,28.92,India,rhb,Indian,True
Hardik Pandya,54,16,11-10-1993,MI,Mumbai Indians,15,402,210,191.42,28,29,9,6,1,0,91,44.66,India,rhb,Indian,True
Shane Watson,104,17,17-6-1981,CSK,Chennai Super Kings,17,398,312,127.56,42,20,17,0,3,0,96,23.41,Australia,rhb,Overseas,True
Faf du Plessis,94,12,13-7-1984,CSK,Chennai Super Kings,12,396,321,123.36,36,15,11,1,3,0,96,36.0,South Africa,rhb,Overseas,True
