StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Michael Hussey,0,17,27-5-1975,CSK,Chennai Super Kings,17,733,566,129.5,81,17,14,3,6,0,95,52.35,Australia,lhb,Overseas,False
Chris Gayle,126,16,21-9-1979,RCB,Royal Challengers Bangalore,16,708,453,156.29,57,51,12,4,4,1,175*,59.0,West Indies,lhb,Overseas,False
Virat Kohli,2,16,5-11-1988,RCB,Royal Challengers Bangalore,16,634,457,138.73,64,22,14,2,6,0,99,45.28,India,rhb,Indian,True
Suresh Raina,106,18,27-11-1986,CSK,Chennai Super Kings,17,548,365,150.13,50,18,13,4,4,1,100*,42.15,India,lhb,Indian,False
Shane Watson,104,16,17-6-1981,RR,Rajasthan Royals,16,543,380,142.89,59,22,14,2,2,1,101,38.78,Australia,rhb,Overseas,True
Rohit Sharma,6,19,30-4-1987,MI,Mumbai Indians,19,538,409,131.54,35,28,14,5,4,0,79*,38.42,India,rhb,Indian,True
Dinesh Karthik,13,19,1-6-1985,MI,Mumbai Indians,19,510,411,124.08,54,14,18,1,2,0,86,28.33,India,rhb,Indian,True
Ajinkya Rahane,44,18,6-6-1988,RR,Rajasthan Royals,18,488,458,106.55,42,11,14,4,4,0,68*,34.85,India,rhb,Indian,True
Rahul Dravid,0,18,11-1-1973,RR,Rajasthan Royals,17,471,425,110.82,64,5,16,1,4,0,65,29.43,India,rhb,Indian,True
MS Dhoni,57,18,7-7-1981,CSK,Chennai Super Kings,16,461,283,162.89,32,25,11,5,4,0,67*,41.9,India,rhb,Indian,True
Aaron Finch,3,14,17-11-1986,PWI,Pune Warriors India,14,456,336,135.71,54,16,14,0,4,0,67,32.57,Australia,rhb,Overseas,True
Robin Uthappa,153,16,11-11-1985,PWI,Pune Warriors India,16,434,371,116.98,42,12,16,0,2,0,75,27.12,India,rhb,Indian,True
Kieron Pollard,166,18,12-5-1987,MI,Mumbai Indians,18,420,281,149.46,27,29,10,8,3,0,66*,42.0,West Indies,rhb,Overseas,True
David Miller,128,12,10-6-1989,PBKS,Punjab Kings,12,418,254,164.56,28,24,7,5,3,1,101*,59.71,South Africa,lhb,Overseas,False
Dwayne Smith,0,13,12-4-1983,MI,Mumbai Indians,13,418,341,122.58,40,19,13,0,4,0,68,32.15,West Indies,rhb,Overseas,True
David Warner,214,16,27-10-1986,DC,Delhi Capitals,16,410,323,126.93,41,14,13,3,4,0,77,31.53,Australia,lhb,Overseas,False
Gautam Gambhir,0,16,14-10-1981,KKR,Kolkata Knight Riders,16,406,343,118.36,51,5,16,0,4,0,60,25.37,India,lhb,Indian,False
AB de Villiers,198,14,17-2-1984,RCB,Royal Challengers Bangalore,14,360,219,164.38,34,15,10,4,2,0,64,36.0,South Africa,rhb,Overseas,True
