StrikerName,PlayerId,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Virat Kohli,2,16,5-11-1988,RCB,Royal Challengers Bangalore,16,973,640,152.03,83,38,12,4,7,4,113,81.08,India,rhb,Indian,True
David Warner,214,17,27-10-1986,SRH,Sunrisers Hyderabad,17,848,560,151.42,88,31,14,3,9,0,93*,60.57,Australia,lhb,Overseas,False
AB de Villiers,198,16,17-2-1984,RCB,Royal Challengers Bangalore,16,687,407,168.79,57,37,13,3,6,1,129*,52.84,South Africa,rhb,Overseas,True
Gautam Gambhir,0,15,14-10-1981,KKR,Kolkata Knight Riders,15,501,411,121.89,54,6,13,2,5,0,90*,38.53,India,lhb,Indian,False
Shikhar Dhawan,11,17,5-12-1985,SRH,Sunrisers Hyderabad,17,501,429,116.78,51,8,13,4,4,0,82*,38.53,India,lhb,Indian,False
Rohit Sharma,6,14,30-4-1987,MI,Mumbai Indians,14,489,368,132.88,49,16,11,3,5,0,85*,44.45,India,rhb,Indian,True
Ajinkya Rahane,44,14,6-6-1988,RPS,Rising Pune Supergiant,14,480,379,126.64,54,9,11,3,6,0,74,43.63,India,rhb,Indian,True
Murali Vijay,53,14,1-4-1984,PBKS,Punjab Kings,14,453,364,124.45,50,10,13,1,5,0,89,34.84,India,rhb,Indian,True
Quinton de Kock,170,13,17-12-1992,DC,Delhi Capitals,13,445,327,136.08,52,13,12,1,3,1,108,37.08,South Africa,lhb,Overseas,False
Suresh Raina,106,15,27-11-1986,GL,Gujarat Lions,15,399,312,127.88,39,10,14,1,3,0,75,28.5,India,lhb,Indian,False
KL Rahul,19,14,18-4-1992,RCB,Royal Challengers Bangalore,12,397,271,146.49,37,16,9,3,4,0,68*,44.11,India,rhb,Indian,True
Robin Uthappa,153,15,11-11-1985,KKR,Kolkata Knight Riders,15,394,289,136.33,45,8,15,0,3,0,72,26.26,India,rhb,Indian,True
Aaron Finch,3,13,17-11-1986,GL,Gujarat Lions,12,393,299,131.43,45,11,10,2,5,0,74,39.3,Australia,rhb,Overseas,True
Yusuf Pathan,226,15,17-11-1982,KKR,Kolkata Knight Riders,13,361,248,145.56,33,13,5,8,3,0,63*,72.2,India,rhb,Indian,True
Karun Nair,131,14,6-12-1991,DC,Delhi Capitals,12,357,297,120.2,40,6,10,2,3,0,83*,35.7,India,rhb,Indian,True
Brendon McCullum,0,16,27-9-1981,GL,Gujarat Lions,16,354,262,135.11,38,16,16,0,1,0,60,22.12,New Zealand,rhb,Overseas,True
Dinesh Karthik,13,16,1-6-1985,GL,Gujarat Lions,15,335,266,125.93,38,3,13,2,3,0,53,25.76,India,rhb,Indian,True
