Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Shardul Thakur,1,16-10-1991,PBKS,Punjab Kings,1,7,6,116.66,1,0,0,1,0,0,7*,0.0,India,rhb,Indian,True
Ankit Sharma,4,20-4-1991,RR,Rajasthan Royals,2,7,6,116.66,1,0,1,1,0,0,7*,7.0,India,lhb,Indian,False
Brad Hogg,6,6-2-1971,KKR,Kolkata Knight Riders,2,7,6,116.66,0,0,1,1,0,0,5,7.0,Australia,lhb,Overseas,False
Azhar Mahmood,1,28-2-1975,KKR,Kolkata Knight Riders,1,6,7,85.71,1,0,1,0,0,0,6,6.0,Pakistan,rhb,Overseas,True
Varun Aaron,6,29-10-1989,RCB,Royal Challengers Bangalore,1,6,3,200.0,0,1,1,0,0,0,6,6.0,India,rhb,Indian,True
Lasith Malinga,15,28-8-1983,MI,Mumbai Indians,1,6,10,60.0,1,0,0,1,0,0,6*,0.0,Sri Lanka,rhb,Overseas,True
Imran Tahir,10,27-3-1979,DC,Delhi Capitals,2,5,6,83.33,0,0,1,1,0,0,3*,5.0,South Africa,rhb,Overseas,True
Chidhambaram Gautam,1,8-3-1986,DC,Delhi Capitals,1,4,5,80.0,0,0,1,0,0,0,4,4.0,India,rhb,Indian,True
Nic Maddinson,1,21-12-1991,RCB,Royal Challengers Bangalore,1,4,7,57.14,1,0,1,0,0,0,4,4.0,Australia,lhb,Overseas,False
Morne Morkel,7,6-10-1984,KKR,Kolkata Knight Riders,1,4,3,133.33,0,0,0,1,0,0,4*,0.0,South Africa,lhb,Overseas,False
Dhawal Kulkarni,11,10-12-1988,RR,Rajasthan Royals,2,4,11,36.36,0,0,2,0,0,0,3,2.0,India,rhb,Indian,True
Pravin Tambe,10,8-10-1971,RR,Rajasthan Royals,2,3,5,60.0,0,0,0,2,0,0,2*,0.0,India,rhb,Indian,True
Parveez Rasool,2,13-2-1989,SRH,Sunrisers Hyderabad,1,2,2,100.0,0,0,0,1,0,0,2*,0.0,India,rhb,Indian,True
Ronit More,2,2-2-1992,CSK,Chennai Super Kings,1,2,2,100.0,0,0,0,1,0,0,2*,0.0,India,rhb,Indian,True
Shahbaz Nadeem,4,12-8-1989,DC,Delhi Capitals,1,2,7,28.57,0,0,1,0,0,0,2,2.0,India,rhb,Indian,True
Juan Theron,1,24-7-1985,RR,Rajasthan Royals,1,1,1,100.0,0,0,0,1,0,0,1*,0.0,United States of America,rhb,Overseas,True
Shreyas Gopal,1,4-9-1993,MI,Mumbai Indians,1,1,1,100.0,0,0,0,1,0,0,1*,0.0,India,rhb,Indian,True
Beuran Hendricks,4,8-6-1990,PBKS,Punjab Kings,2,1,2,50.0,0,0,0,2,0,0,1*,0.0,South Africa,lhb,Overseas,False
Bipul Sharma,4,28-9-1983,SRH,Sunrisers Hyderabad,1,1,2,50.0,0,0,1,0,0,0,1,1.0,India,lhb,Indian,False
Domnic Joseph,6,9-3-1981,DC,Delhi Capitals,2,1,3,33.33,0,0,1,1,0,0,1,1.0,India,rhb,Indian,True
Yuzvendra Chahal,15,23-7-1990,RCB,Royal Challengers Bangalore,2,1,1,100.0,0,0,0,2,0,0,1*,0.0,India,rhb,Indian,True
Ashish Nehra,16,29-4-1979,CSK,Chennai Super Kings,4,1,7,14.28,0,0,1,3,0,0,1*,1.0,India,rhb,Indian,True
Rajat Bhatia,2,22-10-1979,RR,Rajasthan Royals,1,0,1,0.0,0,0,1,0,0,0,0*,0.0,India,rhb,Indian,True
Pat Cummins,3,8-5-1993,KKR,Kolkata Knight Riders,1,0,2,0.0,0,0,1,0,0,0,0*,0.0,Australia,rhb,Overseas,True
Sreenath Aravind,5,8-4-1984,RCB,Royal Challengers Bangalore,1,0,1,0.0,0,0,0,1,0,0,0*,0.0,India,lhb,Indian,False
Sunil Narine,8,26-5-1988,KKR,Kolkata Knight Riders,1,0,1,0.0,0,0,0,1,0,0,0*,0.0,West Indies,lhb,Overseas,False
Vinay Kumar,13,12-2-1984,MI,Mumbai Indians,3,0,2,0.0,0,0,1,2,0,0,0*,0.0,India,rhb,Indian,True
