Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Robin Uthappa,16,11-11-1985,KKR,Kolkata Knight Riders,16,660,479,137.78,74,18,15,1,5,0,83*,44.0,India,rhb,Indian,True
Dwayne Smith,16,12-4-1983,CSK,Chennai Super Kings,16,566,416,136.05,50,34,16,0,5,0,79,35.37,West Indies,rhb,Overseas,True
Glenn Maxwell,16,14-10-1988,PBKS,Punjab Kings,16,552,294,187.75,48,36,16,0,4,0,95,34.5,Australia,rhb,Overseas,True
David Warner,14,27-10-1986,SRH,Sunrisers Hyderabad,14,528,375,140.8,39,24,11,3,6,0,90,48.0,Australia,lhb,Overseas,False
Suresh Raina,16,27-11-1986,CSK,Chennai Super Kings,16,523,358,146.08,51,19,13,3,5,0,87,40.23,India,lhb,Indian,False
Virender Sehwag,17,20-10-1978,PBKS,Punjab Kings,17,455,315,144.44,56,18,17,0,1,1,122,26.76,India,rhb,Indian,True
David Miller,16,10-6-1989,PBKS,Punjab Kings,16,446,299,149.16,34,21,10,6,3,0,66,44.6,South Africa,lhb,Overseas,False
JP Duminy,14,14-4-1984,DC,Delhi Capitals,14,410,305,134.42,22,20,8,6,2,0,67*,51.25,South Africa,lhb,Overseas,False
Brendon McCullum,14,27-9-1981,CSK,Chennai Super Kings,14,405,333,121.62,32,19,13,1,3,0,71*,31.15,New Zealand,rhb,Overseas,True
Manish Pandey,16,10-9-1989,KKR,Kolkata Knight Riders,16,401,340,117.94,35,10,13,3,2,0,94,30.84,India,rhb,Indian,True
AB de Villiers,14,17-2-1984,RCB,Royal Challengers Bangalore,13,395,249,158.63,26,24,11,2,3,0,89*,35.9,South Africa,rhb,Overseas,True
Lendl Simmons,8,25-1-1985,MI,Mumbai Indians,8,394,291,135.39,43,14,7,1,3,1,100*,56.28,West Indies,rhb,Overseas,True
Rohit Sharma,15,30-4-1987,MI,Mumbai Indians,15,390,302,129.13,31,16,13,2,3,0,59*,30.0,India,rhb,Indian,True
Shikhar Dhawan,14,5-12-1985,SRH,Sunrisers Hyderabad,14,377,319,118.18,49,7,13,1,2,0,64*,29.0,India,lhb,Indian,False
Yuvraj Singh,14,12-12-1981,RCB,Royal Challengers Bangalore,14,376,278,135.25,22,28,11,3,3,0,83,34.18,India,lhb,Indian,False
MS Dhoni,16,7-7-1981,CSK,Chennai Super Kings,15,371,250,148.4,22,20,5,10,1,0,57*,74.2,India,rhb,Indian,True
Wriddhiman Saha,17,24-10-1984,PBKS,Punjab Kings,13,362,249,145.38,33,18,11,2,2,1,115*,32.9,India,rhb,Indian,True
Ambati Rayudu,15,23-9-1985,MI,Mumbai Indians,14,361,287,125.78,31,8,14,0,2,0,68,25.78,India,rhb,Indian,True
Virat Kohli,14,5-11-1988,RCB,Royal Challengers Bangalore,14,359,294,122.1,23,16,13,1,2,0,73,27.61,India,rhb,Indian,True
Ajinkya Rahane,13,6-6-1988,RR,Rajasthan Royals,12,339,291,116.49,38,3,12,0,3,0,72,28.25,India,rhb,Indian,True
