Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Shaun Marsh,11,9-7-1983,PBKS,Punjab Kings,11,616,441,139.68,59,26,9,2,5,1,115,68.44,Australia,lhb,Overseas,False
Gautam Gambhir,14,14-10-1981,DC,Delhi Capitals,14,534,379,140.89,68,8,13,1,5,0,86,41.07,India,lhb,Indian,False
Sanath Jayasuriya,14,30-6-1969,MI,Mumbai Indians,14,518,309,167.63,58,31,12,2,2,1,114*,43.16,Sri Lanka,lhb,Overseas,False
Shane Watson,15,17-6-1981,RR,Rajasthan Royals,15,472,311,151.76,47,19,10,5,4,0,76*,47.2,Australia,rhb,Overseas,True
Graeme Smith,11,1-2-1981,RR,Rajasthan Royals,11,441,362,121.82,54,8,9,2,3,0,91,49.0,South Africa,lhb,Overseas,False
Adam Gilchrist,14,14-11-1971,PBKS,Punjab Kings,14,436,318,137.1,51,19,13,1,3,1,109*,33.53,Australia,lhb,Overseas,False
Yusuf Pathan,16,17-11-1982,RR,Rajasthan Royals,15,435,243,179.01,43,25,14,1,4,0,68,31.07,India,rhb,Indian,True
Suresh Raina,16,27-11-1986,CSK,Chennai Super Kings,14,421,296,142.22,35,18,11,3,3,0,55*,38.27,India,lhb,Indian,False
MS Dhoni,16,7-7-1981,CSK,Chennai Super Kings,14,414,310,133.54,38,15,10,4,2,0,65,41.4,India,rhb,Indian,True
Virender Sehwag,14,20-10-1978,DC,Delhi Capitals,14,406,220,184.54,46,21,12,2,3,0,94*,33.83,India,rhb,Indian,True
Rohit Sharma,13,30-4-1987,DEC,Deccan Chargers,12,404,273,147.98,38,19,11,1,4,0,76*,36.72,India,rhb,Indian,True
Rahul Dravid,14,11-1-1973,RCB,Royal Challengers Bangalore,14,371,298,124.49,35,11,13,1,2,0,75*,28.53,India,rhb,Indian,True
Sourav Ganguly,13,8-7-1972,KKR,Kolkata Knight Riders,13,349,307,113.68,33,15,12,1,3,0,91,29.08,India,lhb,Indian,False
Shikhar Dhawan,14,5-12-1985,DC,Delhi Capitals,14,340,295,115.25,35,8,9,5,4,0,68*,37.77,India,lhb,Indian,False
Kumar Sangakkara,10,27-10-1977,PBKS,Punjab Kings,9,320,198,161.61,41,8,9,0,4,0,94,35.55,Sri Lanka,lhb,Overseas,False
Robin Uthappa,14,11-11-1985,MI,Mumbai Indians,14,320,279,114.69,34,9,9,5,0,0,48,35.55,India,rhb,Indian,True
David Hussey,13,15-7-1977,KKR,Kolkata Knight Riders,13,319,259,123.16,19,17,11,2,2,0,71,29.0,Australia,rhb,Overseas,True
Swapnil Asnodkar,9,29-3-1984,RR,Rajasthan Royals,9,311,233,133.47,43,6,9,0,2,0,60,34.55,India,rhb,Indian,True
Parthiv Patel,13,9-3-1985,CSK,Chennai Super Kings,13,302,297,101.68,42,3,11,2,2,0,54,27.45,India,lhb,Indian,False
Yuvraj Singh,15,12-12-1981,PBKS,Punjab Kings,14,299,184,162.5,24,19,13,1,1,0,57,23.0,India,lhb,Indian,False
Venugopal Rao,11,26-2-1982,DEC,Deccan Chargers,10,288,210,137.14,22,15,8,2,2,0,71*,36.0,India,rhb,Indian,True
Albie Morkel,13,10-6-1981,CSK,Chennai Super Kings,10,241,163,147.85,18,14,7,3,1,0,71,34.42,South Africa,lhb,Overseas,False
Mark Boucher,10,3-12-1976,RCB,Royal Challengers Bangalore,10,225,177,127.11,24,6,7,3,1,0,50*,32.14,South Africa,rhb,Overseas,True
James Hopes,11,24-10-1978,PBKS,Punjab Kings,11,221,148,149.32,27,8,11,0,2,0,71,20.09,Australia,rhb,Overseas,True
Abhishek Nayar,14,8-10-1983,MI,Mumbai Indians,10,206,138,149.27,16,9,8,2,0,0,45*,25.75,India,lhb,Indian,False
Jacques Kallis,11,16-10-1975,RCB,Royal Challengers Bangalore,11,199,183,108.74,23,4,11,0,1,0,54,18.09,South Africa,rhb,Overseas,True
Stephen Fleming,10,1-4-1973,CSK,Chennai Super Kings,10,196,164,119.51,27,3,9,1,0,0,45,21.77,New Zealand,lhb,Overseas,False
Salman Butt,7,7-10-1984,KKR,Kolkata Knight Riders,7,193,161,119.87,30,2,7,0,1,0,73,27.57,Pakistan,lhb,Overseas,False
