Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Shubman Gill,17,8-9-1999,GT,Gujarat Titans,17,890,564,157.8,85,33,15,2,4,3,129,59.33,India,rhb,Indian,True
Faf Du Plessis,14,13-7-1984,RCB,Royal Challengers Bangalore,14,730,475,153.68,60,36,13,1,8,0,84,56.15,South Africa,rhb,Overseas,True
Devon Conway,16,8-7-1991,CSK,Chennai Super Kings,15,672,481,139.7,77,18,13,2,6,0,92*,51.69,New Zealand,lhb,Overseas,False
Virat Kohli,14,5-11-1988,RCB,Royal Challengers Bangalore,14,639,457,139.82,65,16,12,2,6,2,101*,53.25,India,rhb,Indian,True
Yashasvi Jaiswal,14,28-12-2001,RR,Rajasthan Royals,14,625,382,163.61,82,26,13,1,5,1,124,48.08,India,lhb,Indian,False
Suryakumar Yadav,16,14-9-1990,MI,Mumbai Indians,16,605,334,181.13,65,28,14,2,5,1,103*,43.21,India,rhb,Indian,True
Ruturaj Gaikwad,16,31-1-1997,CSK,Chennai Super Kings,15,590,400,147.5,46,30,14,1,4,0,92,42.14,India,rhb,Indian,True
David Warner,14,27-10-1986,DC,Delhi Capitals,14,516,392,131.63,69,10,14,0,6,0,86,36.86,Australia,lhb,Overseas,False
Rinku Singh,14,12-10-1997,KKR,Kolkata Knight Riders,14,474,317,149.52,31,29,8,6,4,0,67*,59.25,India,lhb,Indian,False
Ishan Kishan,15,18-7-1998,MI,Mumbai Indians,15,454,318,142.76,54,18,15,0,3,0,75,30.27,India,lhb,Indian,False
Cameron Green,16,3-6-1999,MI,Mumbai Indians,16,452,282,160.28,40,22,9,7,2,1,100*,50.22,Australia,rhb,Overseas,True
Heinrich Klaasen,12,30-7-1991,SRH,Sunrisers Hyderabad,11,448,253,177.07,32,25,9,2,2,1,104,49.78,South Africa,rhb,Overseas,True
Shivam Dube,16,26-6-1993,CSK,Chennai Super Kings,14,418,264,158.33,12,35,11,3,3,0,52,38.00,India,lhb,Indian,False
Nitish Rana,14,27-12-1993,KKR,Kolkata Knight Riders,14,413,293,140.95,39,20,13,1,3,0,75,31.77,India,lhb,Indian,False
Marcus Stoinis,15,16-8-1989,LSG,Lucknow Super Giants,15,408,272,150.0,28,27,13,2,3,0,89*,31.38,Australia,rhb,Overseas,True
Venkatesh Iyer,14,25-12-1994,KKR,Kolkata Knight Riders,14,404,277,145.84,32,21,14,0,2,1,104,28.86,India,lhb,Indian,False
Glenn Maxwell,14,14-10-1988,RCB,Royal Challengers Bangalore,14,400,218,183.48,29,31,12,2,5,0,77,33.33,Australia,rhb,Overseas,True
Jos Buttler,14,8-9-1990,RR,Rajasthan Royals,14,392,282,139.0,42,14,14,0,4,0,95,28.00,England,rhb,Overseas,True
Kyle Mayers,13,8-9-1992,LSG,Lucknow Super Giants,13,379,263,144.1,38,22,13,0,4,0,73,29.15,West Indies,lhb,Overseas,False
Shikhar Dhawan,11,5-12-1985,PBKS,Punjab Kings,11,373,261,142.91,49,12,9,2,3,0,99*,41.44,India,lhb,Indian,False
Wriddhiman Saha,17,24-10-1984,GT,Gujarat Titans,17,371,287,129.26,47,8,16,1,2,0,81,23.19,India,rhb,Indian,True
Sanju Samson,14,11-11-1994,RR,Rajasthan Royals,14,362,236,153.38,25,24,12,2,3,0,66*,30.17,India,rhb,Indian,True
Sai Sudharsan,8,15-10-2001,GT,Gujarat Titans,8,362,256,141.4,33,12,7,1,3,0,96,51.71,India,lhb,Indian,False
Nicholas Pooran,15,2-10-1995,LSG,Lucknow Super Giants,15,358,207,172.94,26,26,12,3,2,0,62,29.83,West Indies,lhb,Overseas,False
Simran Singh,14,0000-00-00,PBKS,Punjab Kings,14,358,238,150.42,38,19,14,0,1,1,103,25.57,,,Overseas,False
Hardik Pandya,16,11-10-1993,GT,Gujarat Titans,15,346,253,136.75,26,15,11,4,2,0,66,31.45,India,rhb,Indian,True
Tilak Varma,11,8-11-2002,MI,Mumbai Indians,11,343,209,164.11,26,23,8,3,1,0,84*,42.88,India,lhb,Indian,False
Rohit Sharma,16,30-4-1987,MI,Mumbai Indians,16,332,250,132.8,35,17,16,0,2,0,65,20.75,India,rhb,Indian,True
Ajinkya Rahane,14,6-6-1988,CSK,Chennai Super Kings,11,326,189,172.48,24,16,10,1,2,0,71*,32.60,India,rhb,Indian,True
Jitesh Sharma,14,22-10-1993,PBKS,Punjab Kings,14,309,198,156.06,22,21,13,1,0,0,49*,23.77,India,rhb,Indian,True
Vijay Shankar,14,26-1-1991,GT,Gujarat Titans,10,301,188,160.1,27,15,8,2,3,0,63*,37.63,India,rhb,Indian,True
Shimron Hetmyer,14,26-12-1996,RR,Rajasthan Royals,13,300,197,152.28,12,23,8,5,1,0,56*,37.50,West Indies,lhb,Overseas,False
