MatchRow,TossTeam,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Year,MatchName1,MatchName2,Winner,WinDetails,Runs1,Wickets1,Overs1,Runs2,Wickets2,Overs2
17.0,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,154/7 (20.0 Overs),Chennai Super Kings,0.0,0.0,155/2 (17.4 Overs),Sunrisers Hyderabad,DY Patil Stadium,Navi Mumbai,2022-04-09T15:30:00,15:30,2022-04-09,19:30,2022,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,won by 8  wickets,154.0,7.0,20.0,155.0,2.0,17.4
16.0,Gujarat Titans,Punjab Kings,Gujarat Titans,189/9 (20.0 Overs),Punjab Kings,0.0,0.0,190/4 (20.0 Overs),Gujarat Titans,Brabourne Stadium,Mumbai,2022-04-08T19:30:00,19:30,2022-04-08,23:30,2022,Punjab Kings,Gujarat Titans,Gujarat Titans,won by 6 wickets,189.0,9.0,20.0,190.0,4.0,20.0
15.0,Lucknow Super Giants,Lucknow Super Giants,Delhi Capitals,149/3 (20.0 Overs),Delhi Capitals,0.0,0.0,155/4 (19.4 Overs),Lucknow Super Giants,DY Patil Stadium,Navi Mumbai,2022-04-07T19:30:00,19:30,2022-04-07,23:30,2022,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,won by 6  wickets,149.0,3.0,20.0,155.0,4.0,19.4
14.0,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,161/4 (20.0 Overs),Mumbai Indians,0.0,0.0,162/5 (16.0 Overs),Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Pune,2022-04-06T19:30:00,19:30,2022-04-06,23:30,2022,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,won by 5 wickets,161.0,4.0,20.0,162.0,5.0,16.0
13.0,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,169/3 (20.0 Overs),Rajasthan Royals,0.0,0.0,173/6 (19.1 Overs),Royal Challengers Bangalore,Wankhede Stadium,Mumbai,2022-04-05T19:30:00,19:30,2022-04-05,23:30,2022,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,won by 4  wickets,169.0,3.0,20.0,173.0,6.0,19.1
12.0,Sunrisers Hyderabad,Sunrisers Hyderabad,Lucknow Super Giants,169/7 (20.0 Overs),Lucknow Super Giants,0.0,0.0,157/9 (20.0 Overs),Sunrisers Hyderabad,DY Patil Stadium,Navi Mumbai,2022-04-04T19:30:00,19:30,2022-04-04,23:30,2022,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants,won by 12  runs,169.0,7.0,20.0,157.0,9.0,20.0
11.0,Chennai Super Kings,Chennai Super Kings,Punjab Kings,180/8 (20.0 Overs),Punjab Kings,0.0,0.0,126/10 (18.0 Overs),Chennai Super Kings,Brabourne Stadium,Mumbai,2022-04-03T19:30:00,19:30,2022-04-03,23:30,2022,Chennai Super Kings,Punjab Kings,Punjab Kings,won by 54  runs,180.0,8.0,20.0,126.0,10.0,18.0
10.0,Delhi Capitals,Gujarat Titans,Delhi Capitals,171/6 (20.0 Overs),Gujarat Titans,0.0,0.0,157/9 (20.0 Overs),Delhi Capitals,Maharashtra Cricket Association Stadium,Pune,2022-04-02T19:30:00,19:30,2022-04-02,23:30,2022,Gujarat Titans,Delhi Capitals,Gujarat Titans,won by 14  runs,171.0,6.0,20.0,157.0,9.0,20.0
9.0,Mumbai Indians,Mumbai Indians,Rajasthan Royals,193/8 (20.0 Overs),Rajasthan Royals,0.0,0.0,170/8 (20.0 Overs),Mumbai Indians,DY Patil Stadium,Navi Mumbai,2022-04-02T15:30:00,15:30,2022-04-02,19:30,2022,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,won by 23  runs,193.0,8.0,20.0,170.0,8.0,20.0
8.0,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,137/10 (18.2 Overs),Punjab Kings,0.0,0.0,141/4 (14.3 Overs),Kolkata Knight Riders,Wankhede Stadium,Mumbai,2022-04-01T19:30:00,19:30,2022-04-01,23:30,2022,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,won by 6  wickets,137.0,10.0,18.2,141.0,4.0,14.3
