Name,Matches,PlayerDOB,TeamCode,TeamName,Innings,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,Nationality,RightHandedBat
Kedar Jadhav,6,26-3-1985,KTK,Kochi Tuskers Kerala,4,18,23,78.26,1,0,3,1,0,0,12,6.0,India,rhb,Indian,True
Dishant Yagnik,7,22-6-1983,RR,Rajasthan Royals,4,16,22,72.72,1,0,1,3,0,0,10*,16.0,India,lhb,Indian,False
Syed Mohammad,5,3-6-1983,RCB,Royal Challengers Bangalore,2,15,12,125.0,2,0,0,2,0,0,13*,0.0,India,lhb,Indian,False
Iqbal Abdulla,15,2-12-1989,KKR,Kolkata Knight Riders,2,15,12,125.0,1,0,0,2,0,0,12*,0.0,India,lhb,Indian,False
Laxmi Ratan Shukla,1,6-5-1981,KKR,Kolkata Knight Riders,1,14,10,140.0,2,0,1,0,0,0,14,14.0,India,rhb,Indian,True
Harpreet Singh,2,11-8-1991,PWI,Pune Warriors India,2,14,20,70.0,0,0,1,1,0,0,13,14.0,India,lhb,Indian,False
Roelof van der Merwe,4,31-12-1984,DC,Delhi Capitals,4,14,16,87.5,1,0,0,4,0,0,8*,0.0,Netherlands,rhb,Overseas,True
Balachandra Akhil,1,7-10-1977,KTK,Kochi Tuskers Kerala,1,13,9,144.44,0,1,1,0,0,0,13,13.0,India,rhb,Indian,True
Sreenath Aravind,13,8-4-1984,RCB,Royal Challengers Bangalore,2,13,8,162.5,2,0,0,2,0,0,11*,0.0,India,lhb,Indian,False
Murali Kartik,6,11-9-1976,PWI,Pune Warriors India,3,12,15,80.0,1,0,1,2,0,0,11,12.0,India,lhb,Indian,False
Ramesh Powar,5,20-5-1978,KTK,Kochi Tuskers Kerala,3,11,13,84.61,0,0,1,2,0,0,8*,11.0,India,rhb,Indian,True
Dwayne Bravo,6,7-10-1983,CSK,Chennai Super Kings,2,11,6,183.33,1,1,1,1,0,0,6*,11.0,West Indies,rhb,Overseas,True
Tim Paine,2,8-12-1984,PWI,Pune Warriors India,2,10,26,38.46,0,0,2,0,0,0,8,5.0,Australia,rhb,Overseas,True
Abhishek Jhunjhunwala,3,1-12-1982,PWI,Pune Warriors India,2,10,18,55.55,2,0,2,0,0,0,10,5.0,India,rhb,Indian,True
Shaun Tait,4,22-2-1983,RR,Rajasthan Royals,2,10,10,100.0,1,0,1,1,0,0,10*,10.0,Australia,rhb,Overseas,True
Shane Warne,13,13-9-1969,RR,Rajasthan Royals,4,10,20,50.0,1,0,2,2,0,0,5*,5.0,Australia,rhb,Overseas,True
Siddharth Chitnis,1,6-5-1987,PBKS,Punjab Kings,1,9,9,100.0,1,0,1,0,0,0,9,9.0,India,rhb,Indian,True
Swapnil Asnodkar,1,29-3-1984,RR,Rajasthan Royals,1,9,9,100.0,1,0,1,0,0,0,9,9.0,India,rhb,Indian,True
