MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
59,59th  T20I,Royal Challengers Bangalore VS Deccan Chargers,Deccan Chargers,Deccan Chargers won by 6 runs,Royal Challengers Bangalore,Deccan Chargers,143/6 (20 Overs),DEC,Deccan Chargers,,,137/9 (20 Overs),RCB,Royal Challengers Bangalore,New Wanderers Stadium,Johannesburg,2009-05-24 20:00:00,20:00,24 May 2009,23:00,Deccan Chargers
58,58th  T20I,Royal Challengers Bangalore VS Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore won by 6 wickets,Royal Challengers Bangalore,Chennai Super Kings,146/5 (20 Overs),CSK,Chennai Super Kings,,,149/4 (18.5 Overs),RCB,Royal Challengers Bangalore,New Wanderers Stadium,Johannesburg,2009-05-23 20:00:00,20:00,23 May 2009,23:00,Royal Challengers Bangalore
57,57th  T20I,Delhi Daredevils VS Deccan Chargers,Deccan Chargers,Deccan Chargers won by 6 wickets,Delhi Daredevils,Deccan Chargers,153/8 (20 Overs),DD,Delhi Daredevils,,,154/4 (17.4 Overs),DEC,Deccan Chargers,SuperSport Park,Centurion,2009-05-22 20:00:00,20:00,22 May 2009,23:00,Deccan Chargers
56,56th  T20I,Royal Challengers Bangalore VS Deccan Chargers,Deccan Chargers,Royal Challengers Bangalore won by 12 runs,Royal Challengers Bangalore,Deccan Chargers,170/4 (20 Overs),RCB,Royal Challengers Bangalore,,,158/6 (20 Overs),DEC,Deccan Chargers,SuperSport Park,Centurion,2009-05-21 20:00:00,20:00,21 May 2009,23:00,Royal Challengers Bangalore
55,55th  T20I,Delhi Daredevils VS Mumbai Indians,Mumbai Indians,Delhi Daredevils won by 4 wickets,Delhi Daredevils,Mumbai Indians,165/8 (20 Overs),MI,Mumbai Indians,,,166/6 (17.3 Overs),DD,Delhi Daredevils,SuperSport Park,Centurion,2009-05-21 16:00:00,16:00,21 May 2009,23:00,Delhi Daredevils
54,54th  T20I,Chennai Super Kings VS Punjab Kings,Punjab Kings,Chennai Super Kings won by 24 runs,Chennai Super Kings,Punjab Kings,116/9 (20 Overs),CSK,Chennai Super Kings,,,92/8 (20 Overs),PBKS,Punjab Kings,Kingsmead,Durban,2009-05-20 20:00:00,20:00,20 May 2009,23:00,Chennai Super Kings
53,53rd  T20I,Kolkata Knight Riders VS Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders won by 4 wickets,Kolkata Knight Riders,Rajasthan Royals,101/9 (20 Overs),RR,Rajasthan Royals,,,102/6 (19.3 Overs),KKR,Kolkata Knight Riders,Kingsmead,Durban,2009-05-20 16:00:00,16:00,20 May 2009,23:00,Kolkata Knight Riders
52,52nd  T20I,Royal Challengers Bangalore VS Delhi Daredevils,Delhi Daredevils,Royal Challengers Bangalore won by 7 wickets,Royal Challengers Bangalore,Delhi Daredevils,134/7 (20 Overs),DD,Delhi Daredevils,,,135/3 (19 Overs),RCB,Royal Challengers Bangalore,New Wanderers Stadium,Johannesburg,2009-05-19 20:00:00,20:00,19 May 2009,23:00,Royal Challengers Bangalore
51,51st T20I,Chennai Super Kings VS Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets,Chennai Super Kings,Kolkata Knight Riders,188/3 (20 Overs),CSK,Chennai Super Kings,,,189/3 (20 Overs),KKR,Kolkata Knight Riders,SuperSport Park,Centurion,2009-05-18 20:00:00,20:00,18 May 2009,23:00,Kolkata Knight Riders
50,50th  T20I,Delhi Daredevils VS Rajasthan Royals,Rajasthan Royals,Delhi Daredevils won by 14 runs,Delhi Daredevils,Rajasthan Royals,150/3 (20 Overs),DD,Delhi Daredevils,,,136/9 (20 Overs),RR,Rajasthan Royals,OUTsurance Oval,Bloemfontein,2009-05-17 20:00:00,20:00,17 May 2009,23:00,Delhi Daredevils
49,49th  T20I,Deccan Chargers VS Punjab Kings,Punjab Kings,Punjab Kings won by 1 run,Deccan Chargers,Punjab Kings,134/7 (20 Overs),PBKS,Punjab Kings,,,133/8 (20 Overs),DEC,Deccan Chargers,New Wanderers Stadium,Johannesburg,2009-05-17 16:00:00,16:00,17 May 2009,23:00,Punjab Kings
48,48th  T20I,Deccan Chargers VS Kolkata Knight Riders,Kolkata Knight Riders,Deccan Chargers won by 6 wickets,Deccan Chargers,Kolkata Knight Riders,160/5 (20 Overs),KKR,Kolkata Knight Riders,,,166/4 (20 Overs),DEC,Deccan Chargers,New Wanderers Stadium,Johannesburg,2009-05-16 20:00:00,20:00,16 May 2009,23:00,Deccan Chargers
47,47th  T20I,Chennai Super Kings VS Mumbai Indians,Mumbai Indians,Chennai Super Kings won by 7 wickets,Chennai Super Kings,Mumbai Indians,147/5 (20 Overs),MI,Mumbai Indians,,,151/3 (19.1 Overs),CSK,Chennai Super Kings,,Port Elizabeth,2009-05-16 16:00:00,16:00,16 May 2009,23:00,Chennai Super Kings
46,46th  T20I,Delhi Daredevils VS Punjab Kings,Punjab Kings,Punjab Kings won by 6 wickets,Delhi Daredevils,Punjab Kings,120/9 (20 Overs),DD,Delhi Daredevils,,,123/4 (19.1 Overs),PBKS,Punjab Kings,OUTsurance Oval,Bloemfontein,2009-05-15 20:00:00,20:00,15 May 2009,23:00,Punjab Kings
45,45th  T20I,Mumbai Indians VS Rajasthan Royals,Rajasthan Royals,Rajasthan Royals won by 2 runs,Mumbai Indians,Rajasthan Royals,145/7 (20 Overs),RR,Rajasthan Royals,,,143/10 (19.5 Overs),MI,Mumbai Indians,Kingsmead,Durban,2009-05-14 20:00:00,20:00,14 May 2009,23:00,Rajasthan Royals
44,44th  T20I,Royal Challengers Bangalore VS Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore won by 2 wickets,Royal Challengers Bangalore,Chennai Super Kings,129/10 (19.4 Overs),CSK,Chennai Super Kings,,,132/8 (19.4 Overs),RCB,Royal Challengers Bangalore,Kingsmead,Durban,2009-05-14 16:00:00,16:00,14 May 2009,23:00,Royal Challengers Bangalore
43,43rd  T20I,Deccan Chargers VS Delhi Daredevils,Delhi Daredevils,Delhi Daredevils won by 12 runs,Deccan Chargers,Delhi Daredevils,173/7 (20 Overs),DD,Delhi Daredevils,,,161/10 (19.4 Overs),DEC,Deccan Chargers,Kingsmead,Durban,2009-05-13 20:00:00,20:00,13 May 2009,23:00,Delhi Daredevils
42,42nd  T20I,Punjab Kings VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 8 wickets,Punjab Kings,Mumbai Indians,119/9 (20 Overs),PBKS,Punjab Kings,,,122/2 (16.2 Overs),MI,Mumbai Indians,SuperSport Park,Centurion,2009-05-12 20:00:00,20:00,12 May 2009,23:00,Mumbai Indians
41,41st T20I,Royal Challengers Bangalore VS Kolkata Knight Riders,Kolkata Knight Riders,Royal Challengers Bangalore won by 6 wickets,Royal Challengers Bangalore,Kolkata Knight Riders,173/4 (20 Overs),KKR,Kolkata Knight Riders,,,176/4 (19.2 Overs),RCB,Royal Challengers Bangalore,SuperSport Park,Centurion,2009-05-12 16:00:00,16:00,12 May 2009,23:00,Royal Challengers Bangalore
40,40th  T20I,Deccan Chargers VS Rajasthan Royals,Rajasthan Royals,Deccan Chargers won by 53 runs,Deccan Chargers,Rajasthan Royals,166/7 (20 Overs),DEC,Deccan Chargers,,,113/10 (19.3 Overs),RR,Rajasthan Royals,De Beers Diamond Oval,Kimberley,2009-05-11 20:00:00,20:00,11 May 2009,23:00,Deccan Chargers
39,39th  T20I,Delhi Daredevils VS Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils won by 7 wickets,Delhi Daredevils,Kolkata Knight Riders,123/8 (20 Overs),KKR,Kolkata Knight Riders,,,125/3 (17.1 Overs),DD,Delhi Daredevils,New Wanderers Stadium,Johannesburg,2009-05-10 20:00:00,20:00,10 May 2009,23:00,Delhi Daredevils
38,38th  T20I,Royal Challengers Bangalore VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 16 runs,Royal Challengers Bangalore,Mumbai Indians,157/2 (20 Overs),MI,Mumbai Indians,,,141/7 (20 Overs),RCB,Royal Challengers Bangalore,,Port Elizabeth,2009-05-10 16:00:00,16:00,10 May 2009,23:00,Mumbai Indians
37,37th  T20I,Chennai Super Kings VS Rajasthan Royals,Rajasthan Royals,Chennai Super Kings won by 7 wickets,Chennai Super Kings,Rajasthan Royals,140/7 (20 Overs),RR,Rajasthan Royals,,,141/3 (18.2 Overs),CSK,Chennai Super Kings,De Beers Diamond Oval,Kimberley,2009-05-09 20:00:00,20:00,9 May 2009,23:00,Chennai Super Kings
36,36th  T20I,Deccan Chargers VS Punjab Kings,Punjab Kings,Punjab Kings won by 3 wickets,Deccan Chargers,Punjab Kings,168/5 (20 Overs),DEC,Deccan Chargers,,,169/7 (19.5 Overs),PBKS,Punjab Kings,De Beers Diamond Oval,Kimberley,2009-05-09 16:00:00,16:00,9 May 2009,23:00,Punjab Kings
35,35th  T20I,Delhi Daredevils VS Mumbai Indians,Mumbai Indians,Delhi Daredevils won by 7 wickets,Delhi Daredevils,Mumbai Indians,116/10 (20 Overs),MI,Mumbai Indians,,,118/3 (18.5 Overs),DD,Delhi Daredevils,Buffalo Park,East London,2009-05-08 20:00:00,20:00,8 May 2009,23:00,Delhi Daredevils
34,34th  T20I,Chennai Super Kings VS Punjab Kings,Punjab Kings,CSK won by 12 runs (D/L method),Chennai Super Kings,Punjab Kings,185/3 (18 Overs),CSK,Chennai Super Kings,,,174/3 (18 Overs),PBKS,Punjab Kings,SuperSport Park,Centurion,2009-05-07 20:00:00,20:00,7 May 2009,23:00,Csk
33,33rd  T20I,Royal Challengers Bangalore VS Rajasthan Royals,Rajasthan Royals,Rajasthan Royals won by 7 wickets,Royal Challengers Bangalore,Rajasthan Royals,105/10 (20 Overs),RCB,Royal Challengers Bangalore,,,107/3 (15 Overs),RR,Rajasthan Royals,SuperSport Park,Centurion,2009-05-07 16:00:00,16:00,7 May 2009,23:00,Rajasthan Royals
32,32nd  T20I,Deccan Chargers VS Mumbai Indians,Mumbai Indians,Deccan Chargers won by 19 runs,Deccan Chargers,Mumbai Indians,145/6 (20 Overs),DEC,Deccan Chargers,,,126/8 (20 Overs),MI,Mumbai Indians,SuperSport Park,Centurion,2009-05-06 20:00:00,20:00,6 May 2009,23:00,Deccan Chargers
31,31st T20I,Delhi Daredevils VS Kolkata Knight Riders,Kolkata Knight Riders,Delhi Daredevils won by 9 wickets,Delhi Daredevils,Kolkata Knight Riders,154/3 (20 Overs),KKR,Kolkata Knight Riders,,,157/1 (19 Overs),DD,Delhi Daredevils,Kingsmead,Durban,2009-05-05 20:00:00,20:00,5 May 2009,23:00,Delhi Daredevils
30,30th  T20I,Punjab Kings VS Rajasthan Royals,Rajasthan Royals,Rajasthan Royals won by 78 runs,Punjab Kings,Rajasthan Royals,211/4 (20 Overs),RR,Rajasthan Royals,,,133/8 (20 Overs),PBKS,Punjab Kings,Kingsmead,Durban,2009-05-05 16:00:00,16:00,5 May 2009,23:00,Rajasthan Royals
29,29th  T20I,Chennai Super Kings VS Deccan Chargers,Deccan Chargers,Chennai Super Kings won by 78 runs,Chennai Super Kings,Deccan Chargers,178/3 (20 Overs),CSK,Chennai Super Kings,,,100/10 (14.4 Overs),DEC,Deccan Chargers,Buffalo Park,East London,2009-05-04 20:00:00,20:00,4 May 2009,23:00,Chennai Super Kings
28,28th  T20I,Royal Challengers Bangalore VS Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore won by 9 wickets,Royal Challengers Bangalore,Mumbai Indians,149/4 (20 Overs),MI,Mumbai Indians,,,150/1 (18.1 Overs),RCB,Royal Challengers Bangalore,New Wanderers Stadium,Johannesburg,2009-05-03 20:00:00,20:00,3 May 2009,23:00,Royal Challengers Bangalore
27,27th  T20I,Punjab Kings VS Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings won by 6 wickets,Punjab Kings,Kolkata Knight Riders,153/3 (20 Overs),KKR,Kolkata Knight Riders,,,154/4 (20 Overs),PBKS,Punjab Kings,,Port Elizabeth,2009-05-03 16:00:00,16:00,3 May 2009,23:00,Punjab Kings
