MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
60,60th  T20I,Rising Pune Supergiant VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 1 run,Rising Pune Supergiant,Mumbai Indians,129/8 (20 Overs),MI,Mumbai Indians,,,128/6 (20 Overs),RPS,Rising Pune Supergiant,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,2017-05-21 20:00:00,20:00,21 May 2017,23:00,Mumbai Indians
59,59th  T20I,Mumbai Indians VS Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians won by 6 wickets,Mumbai Indians,Kolkata Knight Riders,107/10 (18.5 Overs),KKR,Kolkata Knight Riders,,,111/4 (14.3 Overs),MI,Mumbai Indians,M. Chinnaswamy Stadium,Bengaluru,2017-05-19 20:00:00,20:00,19 May 2017,23:00,Mumbai Indians
58,58th  T20I,Sunrisers Hyderabad VS Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets (DLS Method),Sunrisers Hyderabad,Kolkata Knight Riders,128/7 (20 Overs),SRH,Sunrisers Hyderabad,,,48/3 (5.2 Overs),KKR,Kolkata Knight Riders,M. Chinnaswamy Stadium,Bengaluru,2017-05-17 20:00:00,20:00,17 May 2017,23:00,Kolkata Knight Riders
57,57th  T20I,Mumbai Indians VS Rising Pune Supergiant,Rising Pune Supergiant,Rising Pune Supergiant won by 20 runs,Mumbai Indians,Rising Pune Supergiant,162/4 (20 Overs),RPS,Rising Pune Supergiant,,,142/9 (20 Overs),MI,Mumbai Indians,Wankhede Stadium,Mumbai,2017-05-16 20:00:00,20:00,16 May 2017,23:00,Rising Pune Supergiant
56,56th  T20I,Delhi Daredevils VS Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore won by 10 runs,Delhi Daredevils,Royal Challengers Bangalore,161/6 (20 Overs),RCB,Royal Challengers Bangalore,,,151/10 (20 Overs),DD,Delhi Daredevils,Arun Jaitley Stadium,Delhi,2017-05-14 20:00:00,20:00,14 May 2017,23:00,Royal Challengers Bangalore
55,55th  T20I,Rising Pune Supergiant VS Punjab Kings,Punjab Kings,Rising Pune Supergiant won by 9 wickets,Rising Pune Supergiant,Punjab Kings,73/10 (15.5 Overs),PBKS,Punjab Kings,,,78/1 (12 Overs),RPS,Rising Pune Supergiant,,Pune,2017-05-14 16:00:00,16:00,14 May 2017,23:00,Rising Pune Supergiant
54,54th  T20I,Kolkata Knight Riders VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 9 runs,Kolkata Knight Riders,Mumbai Indians,173/5 (20 Overs),MI,Mumbai Indians,,,164/8 (20 Overs),KKR,Kolkata Knight Riders,Eden Gardens,Kolkata,2017-05-13 20:00:00,20:00,13 May 2017,23:00,Mumbai Indians
53,53rd  T20I,Gujarat Lions VS Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad won by 8 wickets,Gujarat Lions,Sunrisers Hyderabad,154/10 (19.2 Overs),GL,Gujarat Lions,,,158/2 (18.1 Overs),SRH,Sunrisers Hyderabad,Green Park,Kanpur,2017-05-13 16:00:00,16:00,13 May 2017,23:00,Sunrisers Hyderabad
52,52nd  T20I,Delhi Daredevils VS Rising Pune Supergiant,Rising Pune Supergiant,Delhi Daredevils won by 7 runs,Delhi Daredevils,Rising Pune Supergiant,168/8 (20 Overs),DD,Delhi Daredevils,,,161/7 (20 Overs),RPS,Rising Pune Supergiant,Arun Jaitley Stadium,Delhi,2017-05-12 20:00:00,20:00,12 May 2017,23:00,Delhi Daredevils
51,51st T20I,Mumbai Indians VS Punjab Kings,Punjab Kings,Punjab Kings won by 7 runs,Mumbai Indians,Punjab Kings,230/3 (20 Overs),PBKS,Punjab Kings,,,223/6 (20 Overs),MI,Mumbai Indians,Wankhede Stadium,Mumbai,2017-05-11 20:00:00,20:00,11 May 2017,23:00,Punjab Kings
50,50th  T20I,Gujarat Lions VS Delhi Daredevils,Delhi Daredevils,Delhi Daredevils won by 2 wickets,Gujarat Lions,Delhi Daredevils,195/5 (20 Overs),GL,Gujarat Lions,,,197/8 (19.4 Overs),DD,Delhi Daredevils,Green Park,Kanpur,2017-05-10 20:00:00,20:00,10 May 2017,23:00,Delhi Daredevils
49,49th  T20I,Punjab Kings VS Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings won by 14 runs,Punjab Kings,Kolkata Knight Riders,167/6 (20 Overs),PBKS,Punjab Kings,,,153/6 (20 Overs),KKR,Kolkata Knight Riders,IS Bindra Stadium,Mohali,2017-05-09 20:00:00,20:00,9 May 2017,23:00,Punjab Kings
