TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
Chennai Super Kings,"₹20,00,000",9,25
Delhi Daredevils,₹0,7,23
Kings XI Punjab,"₹4,10,00,000",7,23
Kolkata Knight Riders,"₹1,00,00,000",8,21
Mumbai Indians,"₹5,00,000",8,21
Rajasthan Royals,"₹5,55,00,000",8,25
Royal Challengers Bangalore,₹0,7,21
Sunrisers Hyderabad,"₹1,00,00,000",7,24
