TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
Delhi Daredevils,"6,15,00,000",9,27
Gujarat Lions,"10,35,00,000",7,24
Kings XI Punjab,"12,45,00,000",7,22
Kolkata Knight Riders,"12,25,00,000",9,22
Mumbai Indians,"1,30,50,000",8,26
Rising Pune Supergiant,"5,20,00,000",7,23
Royal Challengers Bangalore,"6,17,50,000",9,25
Sunrisers Hyderabad,"8,40,00,000",7,25
