TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
Chennai Super Kings,"₹3,20,00,000",8,25
Delhi Capitals,"₹7,70,00,000",8,25
Kings XI Punjab,"₹3,70,00,000",8,23
Kolkata Knight Riders,"₹6,05,00,000",8,21
Mumbai Indians,"₹3,55,00,000",8,24
Rajasthan Royals,"₹7,15,00,000",8,25
Royal Challengers Bangalore,"₹1,80,00,000",8,24
Sunrisers Hyderabad,"₹5,30,00,000",8,23
