TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
Chennai Super Kings,"₹2,55,00,000",8,25
Delhi Capitals,"₹2,15,00,000",8,25
Kolkata Knight Riders,"₹3,20,00,000",8,25
Mumbai Indians,"₹3,65,00,000",8,25
Punjab Kings,"₹18,80,00,000",8,25
Rajasthan Royals,"₹13,65,00,000",8,24
Royal Challengers Bangalore,"₹35,00,000",8,22
Sunrisers Hyderabad,"₹6,95,00,000",8,25
