TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
Chennai Super Kings,"₹6,50,00,000",8,25
Delhi Daredevils,"₹1,60,00,000",8,25
Kings XI Punjab,"₹10,00,000",7,21
Kolkata Knight Riders,₹0,7,19
Mumbai Indians,"₹65,00,000",8,25
Rajasthan Royals,"₹1,65,00,000",8,23
Royal Challengers Bangalore,"₹15,00,000",8,24
Sunrisers Hyderabad,"₹65,00,000",8,25
