TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
Chennai Super Kings,"₹1,50,00,000",8,25
Delhi Capitals,"₹4,45,00,000",8,25
Gujarat Titans,"₹4,45,00,000",8,25
Kolkata Knight Riders,"₹1,65,00,000",8,22
Lucknow Super Giants,"₹3,55,00,000",8,25
Mumbai Indians,"₹5,00,000",8,24
Punjab Kings,"₹12,20,00,000",7,22
Rajasthan Royals,"₹3,35,00,000",8,25
Royal Challengers Bangalore,"₹1,75,00,000",8,25
Sunrisers Hyderabad,"₹6,55,00,000",8,25
