TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
Chennai Super Kings,"$1,846,087",11,22
Delhi Daredevils,"$655,978",11,26
Kings XI Punjab,"$6,072,826",8,23
Kolkata Knight Riders,"$1,508,696",11,23
Mumbai Indians,"$341,739",11,28
Pune Warriors India,"$804,130",11,33
Rajasthan Royals,"$7,071,304",10,21
Royal Challengers Bangalore,"$711,522",10,31
Sunrisers Hyderabad,"$5,583,696",11,26
