TEAM,FUNDS REMAINING,OVERSEAS PLAYERS ,TOTAL PLAYERS
Chennai Super Kings,"₹70,00,000",9,25
Delhi Daredevils,"₹1,35,00,000",9,25
Kings XI Punjab,"₹9,20,00,000",7,22
Kolkata Knight Riders,"₹9,20,00,000",9,23
Mumbai Indians,"₹4,90,50,000",9,26
Rajasthan Royals,"₹10,65,00,000",8,25
Royal Challengers Bangalore,"₹2,00,00,000",9,26
Sunrisers Hyderabad,"₹9,35,00,000",8,23
