Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Lasith Malinga,False,,MI,Mumbai Indians,16,16,375,183,13.39,13.5,5.95,63,0,1,28,5/13,5/13,2,0,1,378
Munaf Patel,False,,MI,Mumbai Indians,15,15,358,145,16.27,14.81,6.58,54,0,0,22,5/21,5/21,1,0,1,324
Sreenath Aravind,False,,RCB,Royal Challengers Bangalore,13,13,368,115,17.52,13.14,8.0,46,2,0,21,4/14,4/14,0,1,0,276
Ravichandran Ashwin,False,,CSK,Chennai Super Kings,16,16,388,157,19.4,18.9,6.15,63,0,0,20,4/34,4/34,1,0,0,378
Amit Mishra,False,,DEC,Deccan Chargers,14,14,358,130,18.84,16.84,6.71,53,9,1,19,5/17,5/17,2,1,0,318
Doug Bollinger,False,,CSK,Chennai Super Kings,13,13,329,114,19.35,16.58,7.0,47,0,0,17,4/13,4/13,1,0,0,282
Iqbal Abdulla,False,,KKR,Kolkata Knight Riders,15,15,305,131,19.06,18.75,6.1,50,1,0,16,3/24,3/24,0,0,0,300
Ryan Harris,False,,PBKS,Punjab Kings,13,13,382,111,23.87,17.62,8.12,47,3,0,16,4/34,4/34,1,0,0,282
Rahul Sharma,False,,PWI,Pune Warriors India,14,14,273,128,17.06,18.75,5.46,50,1,2,16,3/13,3/13,1,0,0,300
Piyush Chawla,False,,PBKS,Punjab Kings,12,12,336,93,21.0,15.5,8.12,41,2,2,16,4/17,4/17,0,1,0,246
Albie Morkel,False,,CSK,Chennai Super Kings,15,14,382,102,25.46,18.0,8.48,45,8,8,15,4/32,4/32,1,0,0,270
Dale Steyn,False,,DEC,Deccan Chargers,12,12,299,134,21.35,19.5,6.57,45,3,0,14,3/11,3/11,1,0,0,270
Harbhajan Singh,False,,MI,Mumbai Indians,15,15,370,127,26.42,22.71,6.98,53,9,6,14,5/18,5/18,1,0,1,318
Zaheer Khan,False,,RCB,Royal Challengers Bangalore,15,15,455,141,32.5,25.28,7.71,59,2,0,14,4/17,4/17,1,0,0,354
RP Singh,False,,KTK,Kochi Tuskers Kerala,14,14,345,135,26.53,23.07,6.9,50,0,0,13,4/22,4/22,0,1,0,300
Shane Warne,False,,RR,Rajasthan Royals,13,12,297,117,22.84,21.69,6.31,47,1,0,13,4/21,4/21,0,0,0,282
Yusuf Pathan,False,,KKR,Kolkata Knight Riders,15,14,238,93,18.3,18.0,6.1,39,24,13,13,3/20,3/20,1,0,0,234
Morne Morkel,False,,DC,Delhi Capitals,11,11,325,115,25.0,19.84,7.55,43,3,2,13,4/20,4/20,0,0,0,258
Daniel Vettori,False,,RCB,Royal Challengers Bangalore,13,13,311,119,25.91,25.83,6.01,51,1,1,12,3/15,3/15,0,0,0,306
Vinay Kumar,False,,KTK,Kochi Tuskers Kerala,13,13,335,103,27.91,22.33,7.5,44,4,1,12,4/40,4/40,0,0,0,264
Dan Christian,False,,DEC,Deccan Chargers,14,14,350,109,31.81,24.9,7.66,45,9,7,11,2/10,2/10,0,0,0,270
Alfonso Thomas,False,,PWI,Pune Warriors India,11,11,297,96,27.0,21.0,7.71,38,0,0,11,3/22,3/22,2,0,0,228
Ishant Sharma,False,,DEC,Deccan Chargers,12,12,314,121,28.54,24.0,7.13,44,0,0,11,5/12,5/12,0,0,1,264
Shakib Al Hasan,False,,KKR,Kolkata Knight Riders,7,7,175,59,15.9,13.9,6.86,25,4,0,11,3/17,3/17,0,0,0,150
Irfan Pathan,False,,DC,Delhi Capitals,14,13,344,124,31.27,25.0,7.5,46,12,6,11,3/24,3/24,2,0,0,276
Shadab Jakati,False,,CSK,Chennai Super Kings,15,14,336,80,33.6,26.5,7.6,44,0,0,10,4/22,4/22,0,0,0,264
Kieron Pollard,False,,MI,Mumbai Indians,16,16,361,73,36.1,25.5,8.49,42,12,6,10,4/44,4/44,0,0,0,252
Lakshmipathy Balaji,False,,KKR,Kolkata Knight Riders,14,14,371,89,37.1,26.6,8.36,44,0,0,10,5/24,5/24,0,0,0,264
Pragyan Ojha,False,,DEC,Deccan Chargers,10,10,267,86,26.7,22.1,7.24,37,0,0,10,3/11,3/11,0,0,0,222
Praveen Kumar,False,,PBKS,Punjab Kings,13,13,345,137,34.5,27.6,7.5,46,2,1,10,3/18,3/18,5,0,0,276
Siddharth Trivedi,False,,RR,Rajasthan Royals,12,12,303,66,30.3,21.4,8.49,35,0,0,10,4/25,4/25,0,0,0,210
Amit Singh,False,,RR,Rajasthan Royals,9,9,215,75,23.88,19.0,7.54,28,0,0,9,4/19,4/19,1,0,0,168
Bhargav Bhatt,False,,PBKS,Punjab Kings,10,8,229,55,25.44,18.55,8.22,28,0,0,9,4/22,4/22,0,1,0,168
Wayne Parnell,False,,PWI,Pune Warriors India,8,8,213,76,23.66,19.55,7.26,29,2,1,9,3/27,3/27,0,0,0,174
Yuvraj Singh,False,,PWI,Pune Warriors India,14,13,192,61,21.33,19.33,6.62,29,24,18,9,4/29,4/29,0,1,0,174
Chris Gayle,False,,RCB,Royal Challengers Bangalore,12,12,244,80,30.5,27.0,6.77,36,57,44,8,3/21,3/21,0,0,0,216
Shalabh Srivastava,False,,PBKS,Punjab Kings,6,6,186,49,23.25,15.0,9.3,20,0,0,8,2/20,2/20,0,0,0,120
Ravindra Jadeja,False,,KTK,Kochi Tuskers Kerala,14,14,305,90,38.12,31.5,7.26,42,20,14,8,5/16,5/16,0,0,0,252
Rajat Bhatia,False,,KKR,Kolkata Knight Riders,14,12,210,56,26.25,24.0,6.56,32,3,0,8,4/15,4/15,0,0,0,192
