Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Bhuvneshwar Kumar,False,,SRH,Sunrisers Hyderabad,14,14,369,117,14.19,12.07,7.05,52,0,0,26,5/19,5/19,0,0,1,312
Jaydev Unadkat,False,,RPS,Rising Pune Supergiant,12,12,322,119,13.41,11.45,7.02,46,0,0,24,5/25,5/25,3,0,1,276
Jasprit Bumrah,False,,MI,Mumbai Indians,16,16,439,122,21.95,17.8,7.39,59,0,1,20,4/14,4/14,2,0,0,354
Mitchell McClenaghan,False,,MI,Mumbai Indians,14,14,507,119,26.68,17.05,9.38,54,0,1,19,4/21,4/21,0,0,0,324
Imran Tahir,False,,RPS,Rising Pune Supergiant,12,12,369,94,20.5,15.66,7.85,47,0,0,18,4/12,4/12,0,0,0,282
Chris Woakes,False,,KKR,Kolkata Knight Riders,13,13,386,87,22.7,15.52,8.77,44,4,1,17,3/36,3/36,0,0,0,264
Rashid Khan,False,,SRH,Sunrisers Hyderabad,14,14,358,121,21.05,19.05,6.62,54,0,1,17,3/19,3/19,0,0,0,324
Sandeep Sharma,False,,PBKS,Punjab Kings,13,13,398,115,23.41,16.94,8.29,48,0,0,17,4/20,4/20,0,1,0,288
Umesh Yadav,False,,KKR,Kolkata Knight Riders,14,14,410,117,24.11,17.11,8.45,48,0,0,17,4/24,4/24,0,1,0,288
Siddarth Kaul,False,,SRH,Sunrisers Hyderabad,10,10,300,65,18.75,13.37,8.41,35,0,0,16,4/29,4/29,0,1,0,210
Pawan Negi,False,,RCB,Royal Challengers Bangalore,12,12,197,80,12.31,12.06,6.12,32,10,7,16,4/18,4/18,0,0,0,192
Axar Patel,False,,PBKS,Punjab Kings,14,14,362,82,24.13,19.2,7.54,48,11,11,15,4/21,4/21,0,0,0,288
Nathan Coulter-Nile,False,,KKR,Kolkata Knight Riders,8,8,228,70,15.2,11.33,8.04,28,0,2,15,4/14,4/14,0,0,0,168
Pat Cummins,False,,DC,Delhi Capitals,12,12,373,84,24.86,18.46,8.07,46,5,4,15,4/34,4/34,0,0,0,276
Yuzvendra Chahal,False,,RCB,Royal Challengers Bangalore,13,13,333,92,23.78,18.64,7.65,43,0,0,14,4/25,4/25,0,0,0,258
Mohit Sharma,False,,PBKS,Punjab Kings,14,14,410,87,31.53,21.07,8.97,45,3,1,13,4/14,4/14,0,0,0,270
Karn Sharma,False,,MI,Mumbai Indians,9,9,214,75,16.46,14.15,6.97,30,5,2,13,4/16,4/16,0,1,0,180
Kuldeep Yadav,False,,KKR,Kolkata Knight Riders,12,11,340,74,28.33,20.5,8.29,41,2,0,12,4/20,4/20,0,0,0,246
Chris Morris,False,,DC,Delhi Capitals,9,9,240,71,20.0,15.5,7.74,31,15,6,12,4/23,4/23,0,1,0,186
Ben Stokes,False,,RPS,Rising Pune Supergiant,12,12,316,108,26.33,22.0,7.18,44,22,15,12,3/15,3/15,1,0,0,264
Andrew Tye,False,,GL,Gujarat Lions,6,6,141,44,11.75,10.5,6.71,21,4,3,12,5/17,5/17,0,0,1,126
Shardul Thakur,False,,RPS,Rising Pune Supergiant,12,12,315,85,28.63,20.81,8.25,38,0,0,11,3/19,3/19,0,0,0,228
Dan Christian,False,,RPS,Rising Pune Supergiant,13,13,298,74,27.09,21.81,7.45,40,5,5,11,2/10,2/10,0,0,0,240
Basil Thampi,False,,GL,Gujarat Lions,12,12,424,76,38.54,24.36,9.49,44,1,1,11,3/29,3/29,0,0,0,264
Lasith Malinga,False,,MI,Mumbai Indians,12,12,382,90,34.72,24.45,8.52,45,0,1,11,5/13,5/13,0,0,0,270
Zaheer Khan,False,,DC,Delhi Capitals,11,11,313,72,31.3,24.1,7.79,40,0,0,10,4/17,4/17,0,0,0,240
Sunil Narine,False,,KKR,Kolkata Knight Riders,16,15,412,133,41.2,35.4,6.98,59,34,10,10,5/19,5/19,0,0,0,354
Mohammed Siraj,False,,SRH,Sunrisers Hyderabad,6,6,212,48,21.2,13.8,9.21,23,0,0,10,4/32,4/32,0,1,0,138
Amit Mishra,False,,DC,Delhi Capitals,14,14,343,78,34.3,23.3,8.83,39,2,2,10,5/17,5/17,1,0,0,234
Krunal Pandya,False,,MI,Mumbai Indians,13,13,273,74,27.3,24.0,6.82,40,24,7,10,3/14,3/14,0,0,0,240
Samuel Badree,False,,RCB,Royal Challengers Bangalore,7,7,188,62,20.88,16.66,7.52,25,0,0,9,4/9,4/9,1,1,0,150
Washington Sundar,False,,RPS,Rising Pune Supergiant,11,10,185,81,23.12,22.5,6.16,30,0,0,8,3/16,3/16,0,0,0,180
Harbhajan Singh,False,,MI,Mumbai Indians,11,11,266,96,33.25,30.75,6.48,41,0,1,8,5/18,5/18,0,0,0,246
Ashish Nehra,False,,SRH,Sunrisers Hyderabad,6,6,197,47,24.62,15.87,9.3,21,0,0,8,4/10,4/10,0,0,0,126
Varun Aaron,False,,PBKS,Punjab Kings,6,6,163,51,23.28,17.14,8.15,20,0,0,7,3/16,3/16,0,0,0,120
Mitchell Johnson,False,,MI,Mumbai Indians,5,5,141,55,20.14,17.14,7.05,20,1,1,7,3/26,3/26,1,0,0,120
Adam Zampa,False,,RPS,Rising Pune Supergiant,6,6,163,38,23.28,17.0,8.21,20,1,0,7,6/19,6/19,0,0,0,120
Glenn Maxwell,False,,PBKS,Punjab Kings,14,8,125,38,17.85,16.28,6.57,19,19,26,7,2/15,2/15,0,0,0,114
James Faulkner,False,,GL,Gujarat Lions,8,8,258,34,43.0,26.33,9.79,26,4,0,6,5/16,5/16,0,0,0,156
Shahbaz Nadeem,False,,DC,Delhi Capitals,7,7,119,47,19.83,17.83,6.67,18,0,0,6,3/16,3/16,0,0,0,108
Praveen Kumar,False,,GL,Gujarat Lions,6,6,151,40,25.16,16.5,9.15,16,0,0,6,3/18,3/18,0,0,0,96
Piyush Chawla,False,,KKR,Kolkata Knight Riders,6,6,179,36,29.83,20.0,8.95,20,0,0,6,4/17,4/17,0,0,0,120
Kagiso Rabada,False,,DC,Delhi Capitals,6,6,188,48,31.33,21.33,8.81,21,5,1,6,4/21,4/21,0,0,0,126
Hardik Pandya,False,,MI,Mumbai Indians,17,13,213,45,35.5,26.0,8.19,26,11,20,6,3/20,3/20,0,0,0,156
Aniket Choudhary,False,,RCB,Royal Challengers Bangalore,5,5,144,42,28.8,20.2,8.55,17,1,1,5,2/17,2/17,2,0,0,102
Pradeep Sangwan,False,,GL,Gujarat Lions,5,5,181,44,36.2,21.6,10.05,18,0,0,5,3/18,3/18,0,0,0,108
Tymal Mills,False,,RCB,Royal Challengers Bangalore,5,5,153,41,30.6,21.4,8.57,18,0,1,5,2/31,2/31,0,0,0,108
Mohammad Shami,False,,DC,Delhi Capitals,8,8,243,55,48.6,31.2,9.34,26,4,2,5,3/15,3/15,0,0,0,156
Trent Boult,False,,KKR,Kolkata Knight Riders,6,6,216,53,43.2,28.6,9.06,24,0,0,5,4/18,4/18,0,0,0,144
Ravindra Jadeja,False,,GL,Gujarat Lions,12,12,349,57,69.8,45.6,9.18,38,13,4,5,5/16,5/16,0,0,0,228
Sreenath Aravind,False,,RCB,Royal Challengers Bangalore,10,10,275,58,55.0,36.6,9.01,30,2,0,5,4/14,4/14,0,0,0,180
Shane Watson,False,,RCB,Royal Challengers Bangalore,8,8,245,47,49.0,32.2,9.13,27,6,1,5,4/29,4/29,0,0,0,162
Stuart Binny,False,,RCB,Royal Challengers Bangalore,8,4,50,9,12.5,9.0,8.33,6,6,3,4,2/14,2/14,0,0,0,36
Colin de Grandhomme,False,,KKR,Kolkata Knight Riders,12,9,135,33,33.75,24.0,8.43,16,10,6,4,3/4,3/4,0,0,0,96
KC Cariappa,False,,PBKS,Punjab Kings,4,4,127,22,31.75,22.5,8.46,15,0,0,4,2/16,2/16,0,0,0,90
