Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Andrew Tye,False,,PBKS,Punjab Kings,14,14,448,116,18.66,14.0,8.0,56,2,1,24,5/17,5/17,0,3,0,336
Siddarth Kaul,False,,SRH,Sunrisers Hyderabad,17,17,547,131,26.04,18.85,8.28,66,0,0,21,4/29,4/29,0,0,0,396
Rashid Khan,False,,SRH,Sunrisers Hyderabad,17,17,458,167,21.8,19.42,6.73,68,3,6,21,3/19,3/19,1,0,0,408
Umesh Yadav,False,,RCB,Royal Challengers Bangalore,14,14,418,148,20.9,15.95,7.86,53,0,0,20,4/24,4/24,1,0,0,318
Hardik Pandya,False,,MI,Mumbai Indians,13,13,381,98,21.16,14.22,8.92,42,20,11,18,3/20,3/20,0,0,0,252
Trent Boult,False,,DC,Delhi Capitals,14,14,466,118,25.88,17.55,8.84,52,0,0,18,4/18,4/18,1,0,0,312
Jasprit Bumrah,False,,MI,Mumbai Indians,14,14,372,133,21.88,19.05,6.88,54,1,0,17,4/14,4/14,0,0,0,324
Sunil Narine,False,,KKR,Kolkata Knight Riders,16,16,467,137,27.47,21.52,7.65,61,40,23,17,5/19,5/19,0,0,0,366
Kuldeep Yadav,False,,KKR,Kolkata Knight Riders,16,16,418,94,24.58,18.11,8.14,51,1,0,17,4/20,4/20,0,1,0,306
Shardul Thakur,False,,CSK,Chennai Super Kings,13,13,431,113,26.93,17.5,9.23,46,3,0,16,3/19,3/19,1,0,0,276
Jofra Archer,False,,RR,Mumbai Indians,10,10,325,98,21.66,15.53,8.36,39,2,0,15,3/15,3/15,0,0,0,234
Mayank Markande,False,,MI,Mumbai Indians,14,14,368,87,24.53,17.6,8.36,44,2,0,15,4/23,4/23,0,1,0,264
Dwayne Bravo,False,,CSK,Chennai Super Kings,16,16,533,90,38.07,22.92,9.96,53,8,10,14,4/22,4/22,1,0,0,318
Mitchell McClenaghan,False,,MI,Mumbai Indians,11,11,332,103,23.71,17.14,8.3,40,1,1,14,4/21,4/21,0,0,0,240
Mujeeb Ur Rahman,False,,PBKS,Punjab Kings,11,11,289,93,20.64,17.71,6.99,41,2,0,14,3/27,3/27,0,0,0,246
Piyush Chawla,False,,KKR,Kolkata Knight Riders,15,15,412,110,29.42,21.0,8.4,49,1,1,14,4/17,4/17,0,0,0,294
Shakib Al Hasan,False,,SRH,Sunrisers Hyderabad,17,17,456,98,32.57,24.42,8.0,57,26,5,14,3/17,3/17,0,0,0,342
Andre Russell,False,,KKR,Kolkata Knight Riders,16,15,355,76,27.3,17.46,9.38,38,17,31,13,5/15,5/15,0,0,0,228
Sandeep Sharma,False,,SRH,Sunrisers Hyderabad,12,12,333,116,27.75,22.0,7.56,44,0,0,12,4/20,4/20,0,0,0,264
Krunal Pandya,False,,MI,Mumbai Indians,14,13,284,85,23.66,20.08,7.07,40,22,10,12,3/14,3/14,0,0,0,240
