Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
RP Singh,False,,DEC,Deccan Chargers,16,16,417,172,18.13,15.56,6.98,59,0,0,23,4/22,4/22,1,1,0,354
Anil Kumble,False,,RCB,Royal Challengers Bangalore,16,16,347,138,16.52,16.9,5.86,59,2,0,21,5/5,5/5,1,1,1,354
Pragyan Ojha,False,,DEC,Deccan Chargers,15,15,348,108,19.33,17.83,6.5,53,0,0,18,3/11,3/11,0,0,0,318
Lasith Malinga,False,,MI,Mumbai Indians,13,13,312,144,17.33,16.5,6.3,49,0,0,18,5/13,5/13,2,0,0,294
Irfan Pathan,False,,PBKS,Punjab Kings,14,14,390,121,22.94,17.76,7.74,50,17,6,17,3/24,3/24,1,0,0,300
Munaf Patel,False,,RR,Rajasthan Royals,11,11,241,110,15.06,13.06,6.91,35,5,0,16,5/21,5/21,1,0,0,210
Shane Warne,False,,RR,Rajasthan Royals,13,13,365,110,26.07,21.42,7.3,50,6,4,14,4/21,4/21,0,0,0,300
Muttiah Muralitharan,False,,CSK,Chennai Super Kings,13,13,261,146,18.64,21.42,5.22,50,1,0,14,3/11,3/11,1,0,0,300
Amit Mishra,False,,DC,Delhi Capitals,11,11,294,100,21.0,18.07,6.97,42,2,2,14,5/17,5/17,1,0,0,252
Yusuf Abdulla,False,,PBKS,Punjab Kings,9,9,241,75,17.21,12.0,8.6,28,0,0,14,4/31,4/31,1,2,0,168
Lakshmipathy Balaji,False,,CSK,Chennai Super Kings,13,13,316,70,24.3,17.23,8.46,37,0,0,13,5/24,5/24,0,1,0,222
Praveen Kumar,False,,RCB,Royal Challengers Bangalore,13,13,394,121,30.3,22.92,7.93,49,1,6,13,3/18,3/18,1,0,0,294
Shadab Jakati,False,,CSK,Chennai Super Kings,9,8,217,63,16.69,13.38,7.48,29,3,0,13,4/22,4/22,0,2,0,174
Albie Morkel,False,,CSK,Chennai Super Kings,12,12,324,101,24.92,18.46,8.1,40,8,4,13,4/32,4/32,1,0,0,240
Harbhajan Singh,False,,MI,Mumbai Indians,13,13,256,105,21.33,22.0,5.81,44,6,5,12,5/18,5/18,0,1,0,264
Piyush Chawla,False,,PBKS,Punjab Kings,14,14,308,113,25.66,22.41,6.86,45,3,0,12,4/17,4/17,1,0,0,270
Rohit Sharma,False,,DEC,Deccan Chargers,16,12,161,39,14.63,12.54,7.0,23,22,18,11,4/6,4/6,0,1,0,138
Ishant Sharma,False,,KKR,Kolkata Knight Riders,11,11,297,130,27.0,23.45,6.9,43,1,1,11,5/12,5/12,0,0,0,258
Dwayne Bravo,False,,MI,Mumbai Indians,11,11,259,91,23.54,18.09,7.8,33,15,8,11,4/22,4/22,0,0,0,198
Roelof van der Merwe,False,,RCB,Royal Challengers Bangalore,10,10,248,53,27.55,22.66,7.29,34,8,8,9,3/20,3/20,0,0,0,204
Vinay Kumar,False,,RCB,Royal Challengers Bangalore,11,11,271,65,30.11,21.55,8.38,32,4,1,9,4/40,4/40,0,0,0,192
Amit Singh,False,,RR,Rajasthan Royals,5,5,95,56,10.55,11.66,5.42,17,0,0,9,4/19,4/19,0,1,0,102
Suresh Raina,False,,CSK,Chennai Super Kings,14,10,164,57,23.42,23.71,5.92,27,37,21,7,2/0,2/0,0,0,0,162
Sanath Jayasuriya,False,,MI,Mumbai Indians,12,9,163,29,23.28,16.28,8.57,19,23,7,7,3/14,3/14,0,0,0,114
Brad Hodge,False,,KKR,Kolkata Knight Riders,12,9,161,34,23.0,17.14,8.05,20,34,9,7,4/13,4/13,0,0,0,120
Yusuf Pathan,False,,RR,Rajasthan Royals,13,11,243,84,34.71,30.0,6.94,35,24,12,7,3/20,3/20,0,0,0,210
Andrew Symonds,False,,DEC,Deccan Chargers,8,8,160,66,22.85,20.57,6.66,24,15,11,7,3/21,3/21,0,0,0,144
Ravindra Jadeja,False,,RR,Rajasthan Royals,13,10,151,44,25.16,23.33,6.47,23,21,6,6,5/16,5/16,0,0,0,138
Ryan Harris,False,,DEC,Deccan Chargers,8,8,230,84,38.33,31.0,7.41,31,0,0,6,4/34,4/34,2,0,0,186
Zaheer Khan,False,,MI,Mumbai Indians,6,6,142,51,23.66,21.0,6.76,21,0,0,6,4/17,4/17,0,0,0,126
Shanthakumaran Sreesanth,False,,PBKS,Punjab Kings,7,7,192,62,32.0,23.0,8.34,23,1,0,6,3/29,3/29,0,0,0,138
Kamran Khan,False,,RR,Rajasthan Royals,5,5,124,39,20.66,17.66,7.01,17,0,0,6,3/18,3/18,0,0,0,102
Ajit Agarkar,False,,KKR,Kolkata Knight Riders,11,11,284,67,47.33,31.0,9.16,31,3,3,6,3/25,3/25,0,0,0,186
Yuvraj Singh,False,,PBKS,Punjab Kings,14,9,142,48,23.66,20.0,7.1,20,25,16,6,4/29,4/29,0,0,0,120
