Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Rahul Chahar,True,Indian,PBKS,Punjab Kings,14,14,385,96,48.12,37.25,7.75,49.4,33,12,8,16/2,16/2,0,0,0,298
Adam Zampa,True,Indian,RR,Rajasthan Royals,6,6,188,40,23.5,16.5,8.54,22.0,15,8,8,22/3,22/3,0,0,0,132
Avesh Khan,True,Indian,LSG,Lucknow Super Giants,9,9,283,61,35.37,21.75,9.75,29.0,35,9,8,25/3,25/3,0,0,0,174
Amit Mishra,True,Indian,LSG,Lucknow Super Giants,7,7,149,32,21.28,16.28,7.84,19.0,10,6,7,21/2,21/2,0,0,0,114
Josh Little,True,Overseas,GT,Gujarat Titans,10,10,294,75,42.0,29.14,8.64,34.0,24,14,7,25/2,25/2,0,0,0,204
Alzarri Joseph,True,Overseas,GT,Gujarat Titans,7,7,225,57,32.14,20.57,9.37,24.0,12,17,7,27/2,27/2,0,0,0,144
Kagiso Rabada,False,Overseas,PBKS,Punjab Kings,6,6,232,62,33.14,19.71,10.08,23.0,20,17,7,34/2,34/2,0,0,0,138
Shardul Thakur,True,Indian,KKR,Kolkata Knight Riders,11,9,220,34,31.42,18.0,10.47,21.0,23,9,7,23/2,23/2,0,0,0,126
Mukesh Kumar,True,Indian,DC,Delhi Capitals,10,10,326,65,46.57,26.57,10.51,31.0,29,19,7,30/2,30/2,0,0,0,186
Riley Meredith,True,Overseas,MI,Mumbai Indians,5,5,207,42,29.57,16.85,10.52,19.4,24,9,7,33/2,33/2,0,0,0,118
Andre Russell,True,Overseas,KKR,Kolkata Knight Riders,14,9,172,32,24.57,13.0,11.34,15.1,18,8,7,22/3,22/3,0,0,0,91
Michael Bracewell,False,Overseas,RCB,Royal Challengers Bangalore,5,5,95,26,15.83,11.0,8.63,11.0,7,6,6,13/2,13/2,0,0,0,66
Cameron Green,True,Overseas,MI,Mumbai Indians,16,16,361,88,60.16,38.0,9.5,38.0,31,20,6,41/2,41/2,0,0,0,228
Harshit Rana,True,Indian,KKR,Kolkata Knight Riders,6,6,147,50,29.4,20.4,8.64,17.0,16,7,5,33/2,33/2,0,0,0,102
Kumar Kartikeya Singh,True,Indian,MI,Mumbai Indians,8,8,227,44,45.4,31.2,8.73,26.0,11,13,5,37/2,37/2,0,0,0,156
Vaibhav Arora,True,Indian,KKR,Kolkata Knight Riders,5,5,146,33,29.2,19.2,9.12,16.0,18,1,5,30/2,30/2,0,0,0,96
Marcus Stoinis,True,Overseas,LSG,Lucknow Super Giants,15,5,100,23,20.0,13.0,9.23,10.5,8,5,5,20/2,20/2,0,0,0,65
Akash Singh,True,Indian,CSK,Chennai Super Kings,6,6,188,46,37.6,22.8,9.89,19.0,19,11,5,40/2,40/2,0,0,0,114
Umran Malik,True,Indian,SRH,Sunrisers Hyderabad,8,8,217,43,43.4,24.0,10.85,20.0,28,9,5,32/2,32/2,0,0,0,120
Arshad Khan,False,Indian,MI,Mumbai Indians,6,6,190,27,38.0,17.0,13.41,14.1,22,10,5,39/3,39/3,0,0,0,85
