CompetitionID,MatchID,MatchTypeID,MatchType,MatchStatus,MatchDate,MatchDateNew,MatchName,MatchTime,GMTMatchTime,GMTMatchDate,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,Flag,FirstBattingSummary,SecondBattingSummary,ClientMatchID,MATCH_COMMENCE_START_DATE,city,FlickrAlbumID,LiveStream,FBURL,T20ProMatchID,Temperature,WeatherIcon,TempUpdatedDate,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,MatchTypeName,RowNo,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,MatchHomeTeamLogo,MatchAwayTeamLogo,VideoScorecard,TimeZone,CurrentStrikerID,CurrentStrikerName,StrikerRuns,StrikerBalls,StrikerFours,StrikerSixes,StrikerSR,StrikerImage,CurrentNonStrikerID,CurrentNonStrikerName,NonStrikerRuns,NonStrikerBalls,NonStrikerFours,NonStrikerSixes,NonStrikerSR,NonStrikerImage,CurrentBowlerID,CurrentBowlerName,BowlerOvers,BowlerRuns,BowlerMaidens,BowlerWickets,BowlerEconomy,BowlerSR,BowlerImage,ChasingText,MatchBreakComments,MatchProgress,CurrentInnings,1Summary,1FallScore,1FallWickets,1FallOvers,1RunRate,2Summary,2FallScore,2FallWickets,2FallOvers,2RunRate,3Summary,3FallScore,3FallWickets,3FallOvers,3RunRate,4Summary,4FallScore,4FallWickets,4FallOvers,4RunRate,DivisionID,SecondInningsFirstBattingID,SecondInningsFirstBattingName,SecondInningsSecondBattingID,SecondInningsSecondBattingName,WinningTeamID,MatchOrder,RevisedOver,RevisedTarget,MatchRow
10000,10058,2,T20,Post,2008-06-01,1 Jun 2008,Chennai Super Kings VS Rajasthan Royals,20:00,14:30 GMT,2008-06-01,13,Chennai Super Kings,18,Rajasthan Royals,CSK,RR,69,DY Patil Stadium,Rajasthan Royals won by 3 wickets,Rajasthan Royals,,,0,156/0 (20.1 Ov),150/0 (20.2 Ov),333,2008-06-01 20:00:00,NAVI MUMBAI,,,,,,,,115,115,115,0,13,Chennai Super Kings,18,Rajasthan Royals,Asia/Kolkata,1 Jun 2008,23:00,T20,59,Brian Jerling,Brian Jerling,Brian Jerling,Rajasthan Royals won by 3 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,163/5 (20 Overs),163,5,20,8.15,164/7 (20 Overs),164,7,20,8.20,,,,,,,,,,,,,,,,,59th  T20I,,,59
10000,10057,2,T20,Post,2008-05-31,31 May 2008,Chennai Super Kings VS Punjab Kings,20:00,14:30 GMT,2008-05-31,15,Punjab Kings,13,Chennai Super Kings,PBKS,CSK,21,Wankhede Stadium,Chennai Super Kings won by 9 wickets,Punjab Kings,,,0,108/0 (20.0 Ov),112/0 (14.5 Ov),332,2008-05-31 20:00:00,Mumbai,,,,,,,,115,115,115,0,13,Chennai Super Kings,15,Punjab Kings,Asia/Kolkata,31 May 2008,23:00,T20,58,Brian Jerling,Brian Jerling,Brian Jerling,Chennai Super Kings won by 9 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,112/8 (20 Overs),112,8,20,5.60,116/1 (14.5 Overs),116,1,14.5,7.82,,,,,,,,,,,,,,,,,58th  T20I,,,58
10000,10056,2,T20,Post,2008-05-30,30 May 2008,Delhi Daredevils VS Rajasthan Royals,20:00,14:30 GMT,2008-05-30,18,Rajasthan Royals,14,Delhi Daredevils,RR,DD,21,Wankhede Stadium,Rajasthan Royals won by 105 runs,Rajasthan Royals,,,0,188/0 (20.0 Ov),80/0 (16.1 Ov),331,2008-05-30 20:00:00,Mumbai,,,,,,,,115,115,115,0,14,Delhi Daredevils,18,Rajasthan Royals,Asia/Kolkata,30 May 2008,23:00,T20,57,Brian Jerling,Brian Jerling,Brian Jerling,Rajasthan Royals won by 105 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,192/9 (20 Overs),192,9,20,9.60,87/10 (16.1 Overs),87,10,16.1,5.38,,,,,,,,,,,,,,,,,57th  T20I,,,57
10000,10055,2,T20,Post,2008-05-28,28 May 2008,Punjab Kings VS Rajasthan Royals,20:00,14:30 GMT,2008-05-28,15,Punjab Kings,18,Rajasthan Royals,PBKS,RR,71,IS Bindra Stadium,Punjab Kings won by 41 runs,Rajasthan Royals,,,0,216/0 (20.1 Ov),176/0 (20.0 Ov),330,2008-05-28 20:00:00,Mohali,,,,,,,,115,115,115,0,15,Punjab Kings,18,Rajasthan Royals,Asia/Kolkata,28 May 2008,23:00,T20,56,Brian Jerling,Brian Jerling,Brian Jerling,Punjab Kings won by 41 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,221/3 (20 Overs),221,3,20,11.05,180/7 (20 Overs),180,7,20,9.00,,,,,,,,,,,,,,,,,56th  T20I,,,56
10000,10054,2,T20,Post,2008-05-28,28 May 2008,Royal Challengers Bangalore VS Mumbai Indians,16:00,10:30 GMT,2008-05-28,19,Royal Challengers Bangalore,17,Mumbai Indians,RCB,MI,70,M. Chinnaswamy Stadium,Mumbai Indians won by 9 wickets,Mumbai Indians,,,0,111/0 (18.1 Ov),113/0 (16.0 Ov),329,2008-05-28 16:00:00,Bengaluru,,,,,,,,115,115,115,0,19,Royal Challengers Bangalore,17,Mumbai Indians,Asia/Kolkata,28 May 2008,23:00,T20,55,Brian Jerling,Brian Jerling,Brian Jerling,Mumbai Indians won by 9 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,122/9 (18 Overs),122,9,18,6.77,126/1 (16 Overs),126,1,16,7.87,,,,,,,,,,,,,,,,,55th  T20I,,,55
10000,10053,2,T20,Post,2008-05-27,27 May 2008,Deccan Chargers VS Chennai Super Kings,20:00,14:30 GMT,2008-05-27,36,Deccan Chargers,13,Chennai Super Kings,DEC,CSK,72,Rajiv Gandhi Intl. Cricket Stadium,Chennai Super Kings won by 7 wickets,Chennai Super Kings,,,0,131/0 (20.0 Ov),137/0 (19.2 Ov),328,2008-05-27 20:00:00,Hyderabad,,,,,,,,115,115,115,0,36,Deccan Chargers,13,Chennai Super Kings,Asia/Kolkata,27 May 2008,23:00,T20,54,Brian Jerling,Brian Jerling,Brian Jerling,Chennai Super Kings won by 7 wickets,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,147/8 (20 Overs),147,8,20,7.35,148/3 (19.2 Overs),148,3,19.2,7.65,,,,,,,,,,,,,,,,,54th  T20I,,,54
10000,10052,2,T20,Post,2008-05-26,26 May 2008,Rajasthan Royals VS Mumbai Indians,20:00,14:30 GMT,2008-05-26,17,Mumbai Indians,18,Rajasthan Royals,MI,RR,20,Sawai Mansingh Stadium,Rajasthan Royals won by 5 wickets,Mumbai Indians,,,0,132/0 (20.1 Ov),130/0 (20.1 Ov),327,2008-05-26 20:00:00,Jaipur,,,,,,,,115,115,115,0,18,Rajasthan Royals,17,Mumbai Indians,Asia/Kolkata,26 May 2008,23:00,T20,53,Brian Jerling,Brian Jerling,Brian Jerling,Rajasthan Royals won by 5 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,145/7 (20 Overs),145,7,20,7.25,146/5 (20 Overs),146,5,20,7.30,,,,,,,,,,,,,,,,,53rd  T20I,,,53
10000,10051,2,T20,Post,2008-05-25,25 May 2008,Kolkata Knight Riders VS Punjab Kings,20:00,14:30 GMT,2008-05-25,15,Punjab Kings,16,Kolkata Knight Riders,PBKS,KKR,19,Eden Gardens,Kolkata Knight Riders won by 3 wickets,Punjab Kings,,,0,163/0 (20.0 Ov),166/0 (19.4 Ov),326,2008-05-25 20:00:00,Kolkata,,,,,,,,115,115,115,0,16,Kolkata Knight Riders,15,Punjab Kings,Asia/Kolkata,25 May 2008,23:00,T20,52,Brian Jerling,Brian Jerling,Brian Jerling,Kolkata Knight Riders won by 3 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,174/6 (20 Overs),174,6,20,8.70,175/7 (19.4 Overs),175,7,19.4,8.89,,,,,,,,,,,,,,,,,52nd  T20I,,,52
10000,10050,2,T20,Post,2008-05-25,25 May 2008,Deccan Chargers VS Royal Challengers Bangalore,16:00,10:30 GMT,2008-05-25,36,Deccan Chargers,19,Royal Challengers Bangalore,DEC,RCB,72,Rajiv Gandhi Intl. Cricket Stadium,Royal Challengers Bangalore won by 5 wickets,Royal Challengers Bangalore,,,0,152/0 (20.2 Ov),168/0 (19.0 Ov),325,2008-05-25 16:00:00,Hyderabad,,,,,,,,115,115,115,0,36,Deccan Chargers,19,Royal Challengers Bangalore,Asia/Kolkata,25 May 2008,23:00,T20,51,Brian Jerling,Brian Jerling,Brian Jerling,Royal Challengers Bangalore won by 5 wickets,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,165/10 (20 Overs),165,10,20,8.25,171/5 (19 Overs),171,5,19,9.00,,,,,,,,,,,,,,,,,51st T20I,,,51
10000,10049,2,T20,Post,2008-05-24,24 May 2008,Delhi Daredevils VS Mumbai Indians,20:00,14:30 GMT,2008-05-24,17,Mumbai Indians,14,Delhi Daredevils,MI,DD,17,Arun Jaitley Stadium,Delhi Daredevils won by 5 wickets,Mumbai Indians,,,0,171/0 (20.1 Ov),176/0 (19.5 Ov),324,2008-05-24 20:00:00,Delhi,,,,,,,,115,115,115,0,14,Delhi Daredevils,17,Mumbai Indians,Asia/Kolkata,24 May 2008,23:00,T20,50,Brian Jerling,Brian Jerling,Brian Jerling,Delhi Daredevils won by 5 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,180/8 (20 Overs),180,8,20,9.00,179/5 (19.5 Overs),179,5,19.5,9.02,,,,,,,,,,,,,,,,,50th  T20I,,,50
