CompetitionID,MatchID,MatchTypeID,MatchType,MatchStatus,MatchDate,MatchDateNew,MatchName,MatchTime,GMTMatchTime,GMTMatchDate,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,Flag,FirstBattingSummary,SecondBattingSummary,ClientMatchID,MATCH_COMMENCE_START_DATE,city,FlickrAlbumID,LiveStream,FBURL,T20ProMatchID,Temperature,WeatherIcon,TempUpdatedDate,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,MatchTypeName,RowNo,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,MatchHomeTeamLogo,MatchAwayTeamLogo,VideoScorecard,TimeZone,CurrentStrikerID,CurrentStrikerName,StrikerRuns,StrikerBalls,StrikerFours,StrikerSixes,StrikerSR,StrikerImage,CurrentNonStrikerID,CurrentNonStrikerName,NonStrikerRuns,NonStrikerBalls,NonStrikerFours,NonStrikerSixes,NonStrikerSR,NonStrikerImage,CurrentBowlerID,CurrentBowlerName,BowlerOvers,BowlerRuns,BowlerMaidens,BowlerWickets,BowlerEconomy,BowlerSR,BowlerImage,ChasingText,MatchBreakComments,MatchProgress,CurrentInnings,1Summary,1FallScore,1FallWickets,1FallOvers,1RunRate,2Summary,2FallScore,2FallWickets,2FallOvers,2RunRate,3Summary,3FallScore,3FallWickets,3FallOvers,3RunRate,4Summary,4FallScore,4FallWickets,4FallOvers,4RunRate,DivisionID,SecondInningsFirstBattingID,SecondInningsFirstBattingName,SecondInningsSecondBattingID,SecondInningsSecondBattingName,WinningTeamID,MatchOrder,RevisedOver,RevisedTarget,MatchRow
10002,10177,2,T20,Post,2010-04-25,25 Apr 2010,Chennai Super Kings VS Mumbai Indians,20:00,14:30 GMT,2010-04-25,13,Chennai Super Kings,17,Mumbai Indians,CSK,MI,69,DY Patil Stadium,Chennai Super Kings won by 22 runs,Mumbai Indians,,,0,157/0 (20.0 Ov),134/0 (20.0 Ov),215,2010-04-25 20:00:00,NAVI MUMBAI,,,,,,,,115,115,115,0,13,Chennai Super Kings,17,Mumbai Indians,Asia/Kolkata,25 Apr 2010,23:00,T20,60,Brian Jerling,Brian Jerling,Brian Jerling,Chennai Super Kings won by 22 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,168/5 (20 Overs),168,5,20,8.40,146/9 (20 Overs),146,9,20,7.30,,,,,,,,,,,,,,,,,60th  T20I,,,60
10002,10176,2,T20,Post,2010-04-24,24 Apr 2010,Royal Challengers Bangalore VS Deccan Chargers,20:00,14:30 GMT,2010-04-24,36,Deccan Chargers,19,Royal Challengers Bangalore,DEC,RCB,69,DY Patil Stadium,Royal Challengers Bangalore won by 9 wickets,Deccan Chargers,,,0,78/0 (18.3 Ov),83/0 (13.5 Ov),214,2010-04-24 20:00:00,NAVI MUMBAI,,,,,,,,115,115,115,0,19,Royal Challengers Bangalore,36,Deccan Chargers,Asia/Kolkata,24 Apr 2010,23:00,T20,59,Brian Jerling,Brian Jerling,Brian Jerling,Royal Challengers Bangalore won by 9 wickets,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,82/10 (18.3 Overs),82,10,18.3,4.43,86/1 (13.5 Overs),86,1,13.5,6.21,,,,,,,,,,,,,,,,,59th  T20I,,,59
10002,10175,2,T20,Post,2010-04-22,22 Apr 2010,Chennai Super Kings VS Deccan Chargers,20:00,14:30 GMT,2010-04-22,13,Chennai Super Kings,36,Deccan Chargers,CSK,DEC,69,DY Patil Stadium,Chennai Super Kings won by 38 runs,Deccan Chargers,,,0,126/0 (20.0 Ov),96/0 (19.2 Ov),213,2010-04-22 20:00:00,NAVI MUMBAI,,,,,,,,115,115,115,0,13,Chennai Super Kings,36,Deccan Chargers,Asia/Kolkata,22 Apr 2010,23:00,T20,58,Brian Jerling,Brian Jerling,Brian Jerling,Chennai Super Kings won by 38 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,142/7 (20 Overs),142,7,20,7.10,104/10 (19.2 Overs),104,10,19.2,5.37,,,,,,,,,,,,,,,,,58th  T20I,,,58
10002,10174,2,T20,Post,2010-04-21,21 Apr 2010,Royal Challengers Bangalore VS Mumbai Indians,20:00,14:30 GMT,2010-04-21,17,Mumbai Indians,19,Royal Challengers Bangalore,MI,RCB,69,DY Patil Stadium,Mumbai Indians won by 35 runs,Mumbai Indians,,,0,171/0 (20.2 Ov),139/0 (20.1 Ov),212,2010-04-21 20:00:00,NAVI MUMBAI,,,,,,,,115,115,115,0,19,Royal Challengers Bangalore,17,Mumbai Indians,Asia/Kolkata,21 Apr 2010,23:00,T20,57,Brian Jerling,Brian Jerling,Brian Jerling,Mumbai Indians won by 35 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,184/5 (20 Overs),184,5,20,9.20,149/9 (20 Overs),149,9,20,7.45,,,,,,,,,,,,,,,,,57th  T20I,,,57
10002,10173,2,T20,Post,2010-04-19,19 Apr 2010,Kolkata Knight Riders VS Mumbai Indians,20:00,14:30 GMT,2010-04-19,17,Mumbai Indians,16,Kolkata Knight Riders,MI,KKR,19,Eden Gardens,Kolkata Knight Riders won by 9 wickets,Mumbai Indians,,,0,127/0 (20.0 Ov),119/0 (17.4 Ov),211,2010-04-19 20:00:00,Kolkata,,,,,,,,115,115,115,0,16,Kolkata Knight Riders,17,Mumbai Indians,Asia/Kolkata,19 Apr 2010,23:00,T20,56,Brian Jerling,Brian Jerling,Brian Jerling,Kolkata Knight Riders won by 9 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,133/8 (20 Overs),133,8,20,6.65,135/1 (17.3 Overs),135,1,17.3,7.71,,,,,,,,,,,,,,,,,56th  T20I,,,56
10002,10172,2,T20,Post,2010-04-18,18 Apr 2010,Delhi Daredevils VS Deccan Chargers,20:00,14:30 GMT,2010-04-18,36,Deccan Chargers,14,Delhi Daredevils,DEC,DD,17,Arun Jaitley Stadium,Deccan Chargers won by 11 runs,Deccan Chargers,,,0,142/0 (20.0 Ov),129/0 (20.1 Ov),210,2010-04-18 20:00:00,Delhi,,,,,,,,115,115,115,0,14,Delhi Daredevils,36,Deccan Chargers,Asia/Kolkata,18 Apr 2010,23:00,T20,55,Brian Jerling,Brian Jerling,Brian Jerling,Deccan Chargers won by 11 runs,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,145/7 (20 Overs),145,7,20,7.25,134/7 (20 Overs),134,7,20,6.70,,,,,,,,,,,,,,,,,55th  T20I,,,55
10002,10171,2,T20,Post,2010-04-18,18 Apr 2010,Punjab Kings VS Chennai Super Kings,16:00,10:30 GMT,2010-04-18,15,Punjab Kings,13,Chennai Super Kings,PBKS,CSK,80,HPCA Stadium,Chennai Super Kings won by 6 wickets,Chennai Super Kings,,,0,187/0 (20.0 Ov),185/0 (19.5 Ov),209,2010-04-18 16:00:00,Dharamsala,,,,,,,,115,115,115,0,15,Punjab Kings,13,Chennai Super Kings,Asia/Kolkata,18 Apr 2010,23:00,T20,54,Brian Jerling,Brian Jerling,Brian Jerling,Chennai Super Kings won by 6 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,192/3 (20 Overs),192,3,20,9.60,195/4 (19.4 Overs),195,4,19.4,9.91,,,,,,,,,,,,,,,,,54th  T20I,,,54
10002,10170,2,T20,Post,2010-04-17,17 Apr 2010,Kolkata Knight Riders VS Rajasthan Royals,20:00,14:30 GMT,2010-04-17,18,Rajasthan Royals,16,Kolkata Knight Riders,RR,KKR,19,Eden Gardens,Kolkata Knight Riders won by 8 wickets,Rajasthan Royals,,,0,129/0 (20.0 Ov),126/0 (16.1 Ov),208,2010-04-17 20:00:00,Kolkata,,,,,,,,115,115,115,0,16,Kolkata Knight Riders,18,Rajasthan Royals,Asia/Kolkata,17 Apr 2010,23:00,T20,53,Brian Jerling,Brian Jerling,Brian Jerling,Kolkata Knight Riders won by 8 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,132/9 (20 Overs),132,9,20,6.60,133/2 (16.1 Overs),133,2,16.1,8.22,,,,,,,,,,,,,,,,,53rd  T20I,,,53
10002,10169,2,T20,Post,2010-04-17,17 Apr 2010,Royal Challengers Bangalore VS Mumbai Indians,16:00,10:30 GMT,2010-04-17,17,Mumbai Indians,19,Royal Challengers Bangalore,MI,RCB,70,M. Chinnaswamy Stadium,Mumbai Indians won by 57 runs,Mumbai Indians,,,0,176/0 (20.0 Ov),129/0 (20.0 Ov),207,2010-04-17 16:00:00,Bengaluru,,,,,,,,115,115,115,0,19,Royal Challengers Bangalore,17,Mumbai Indians,Asia/Kolkata,17 Apr 2010,23:00,T20,52,Brian Jerling,Brian Jerling,Brian Jerling,Mumbai Indians won by 57 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,191/4 (20 Overs),191,4,20,9.55,134/9 (20 Overs),134,9,20,6.70,,,,,,,,,,,,,,,,,52nd  T20I,,,52
10002,10168,2,T20,Post,2010-04-16,16 Apr 2010,Punjab Kings VS Deccan Chargers,20:00,14:30 GMT,2010-04-16,15,Punjab Kings,36,Deccan Chargers,PBKS,DEC,80,HPCA Stadium,Deccan Chargers won by 5 wickets,Deccan Chargers,,,0,166/0 (20.1 Ov),165/0 (19.1 Ov),206,2010-04-16 20:00:00,Dharamsala,,,,,,,,115,115,115,0,15,Punjab Kings,36,Deccan Chargers,Asia/Kolkata,16 Apr 2010,23:00,T20,51,Brian Jerling,Brian Jerling,Brian Jerling,Deccan Chargers won by 5 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,174/3 (20 Overs),174,3,20,8.70,178/5 (19.1 Overs),178,5,19.1,9.28,,,,,,,,,,,,,,,,,51st T20I,,,51
