CompetitionID,MatchID,MatchTypeID,MatchType,MatchStatus,MatchDate,MatchDateNew,MatchName,MatchTime,GMTMatchTime,GMTMatchDate,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,Flag,FirstBattingSummary,SecondBattingSummary,ClientMatchID,MATCH_COMMENCE_START_DATE,city,FlickrAlbumID,LiveStream,FBURL,T20ProMatchID,Temperature,WeatherIcon,TempUpdatedDate,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,timezone1,HomeTeamID,HomeTeamName,HomeTeamColor1,HomeTeamColor2,AwayTeamColor1,AwayTeamColor2,AwayTeamID,AwayTeamName,MatchEndDate,MatchEndTime,MatchTypeName,RowNo,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,VideoScorecard,TimeZone,CurrentStrikerID,CurrentStrikerName,StrikerRuns,StrikerBalls,StrikerFours,StrikerSixes,StrikerSR,StrikerImage,CurrentNonStrikerID,CurrentNonStrikerName,NonStrikerRuns,NonStrikerBalls,NonStrikerFours,NonStrikerSixes,NonStrikerSR,NonStrikerImage,CurrentBowlerID,CurrentBowlerName,BowlerOvers,BowlerRuns,BowlerMaidens,BowlerWickets,BowlerEconomy,BowlerSR,BowlerImage,ChasingText,MatchBreakComments,MatchProgress,CurrentInnings,1Summary,1FallScore,1FallWickets,1FallOvers,1RunRate,2Summary,2FallScore,2FallWickets,2FallOvers,2RunRate,3Summary,3FallScore,3FallWickets,3FallOvers,3RunRate,4Summary,4FallScore,4FallWickets,4FallOvers,4RunRate,DivisionID,SecondInningsFirstBattingID,SecondInningsFirstBattingName,SecondInningsSecondBattingID,SecondInningsSecondBattingName,WinningTeamID,MatchOrder,RevisedOver,RevisedTarget,MatchRow
10013,10880,2,T20,Post,2021-10-04,4 Oct 2021,Delhi Capitals VS Chennai Super Kings,18:00,18:00 GMT,2021-10-04,13,Chennai Super Kings,14,Delhi Capitals,CSK,DC,88,Dubai International Stadium,Delhi Capitals won by 3 wickets,Chennai Super Kings,,,0,,,32232,2021-10-04 18:00:00,Dubai,,,,,,,,122,163,175,0,Asia/Dubai,14,Delhi Capitals,,,,,13,Chennai Super Kings,4 Oct 2021,23:00,T20,50,Mark Eggleston,Sagara Gallage,Buddhi Pradhan,Delhi Capitals won by 3 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-dd.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,136/5 (20 Overs),136,5,20,6.80,139/7 (19.4 Overs),139,7,19.4,7.06,,,,,,,,,,,6,,,,,,50th  T20,,,50
10013,10882,2,T20,Post,2021-10-03,3 Oct 2021,Kolkata Knight Riders VS Sunrisers Hyderabad,18:00,18:00 GMT,2021-10-03,20,Sunrisers Hyderabad,16,Kolkata Knight Riders,SRH,KKR,88,Dubai International Stadium,Kolkata Knight Riders won by 6 wickets,Sunrisers Hyderabad,,,0,,,32231,2021-10-03 18:00:00,Dubai,,,,,,,,225,226,204,0,Asia/Dubai,16,Kolkata Knight Riders,,,,,20,Sunrisers Hyderabad,3 Oct 2021,23:00,T20,49,Bhanush Ali,Nigel Cowley,David Millns,Kolkata Knight Riders won by 6 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,115/8 (20 Overs),115,8,20,5.75,119/4 (19.4 Overs),119,4,19.4,6.05,,,,,,,,,,,6,,,,,,49th  T20,,,49
10013,10879,2,T20,Post,2021-10-03,3 Oct 2021,Royal Challengers Bangalore VS Punjab Kings,14:00,14:00 GMT,2021-10-03,19,Royal Challengers Bangalore,15,Punjab Kings,RCB,PBKS,86,Sharjah Cricket Stadium,Royal Challengers Bangalore won by 6 runs,Punjab Kings,,,0,,,32230,2021-10-03 14:00:00,Sharjah,,,,,,,,219,172,195,0,Asia/Dubai,19,Royal Challengers Bangalore,,,,,15,Punjab Kings,3 Oct 2021,23:00,T20,48,SJ Nogajski,Hannington Ochieng,NR Seetharam Prabhu,Royal Challengers Bangalore won by 6 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,164/7 (20 Overs),164,7,20,8.20,158/6 (20 Overs),158,6,20,7.90,,,,,,,,,,,6,,,,,,Final,,,48
10013,10878,2,T20,Post,2021-10-02,2 Oct 2021,Rajasthan Royals VS Chennai Super Kings,18:00,18:00 GMT,2021-10-02,13,Chennai Super Kings,18,Rajasthan Royals,CSK,RR,87,Zayed Cricket Stadium,Rajasthan Royals won by 7 wickets,Chennai Super Kings,,,0,,,32229,2021-10-02 18:00:00,Abu Dhabi,,,,,,,,183,154,180,0,Asia/Dubai,18,Rajasthan Royals,,,,,13,Chennai Super Kings,2 Oct 2021,23:00,T20,47,Jeff Evans,Ramani Batumalai,Sanjay Hazare,Rajasthan Royals won by 7 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,189/4 (20 Overs),189,4,20,9.45,190/3 (17.3 Overs),190,3,17.3,10.85,,,,,,,,,,,6,,,,,,2nd Semi-Final,,,47
10013,10877,2,T20,Post,2021-10-02,2 Oct 2021,Mumbai Indians VS Delhi Capitals,14:00,14:00 GMT,2021-10-02,17,Mumbai Indians,14,Delhi Capitals,MI,DC,86,Sharjah Cricket Stadium,Delhi Capitals won by 4 wickets,Delhi Capitals,,,0,,,32228,2021-10-02 14:00:00,Sharjah,,,,,,,,122,225,191,0,Asia/Dubai,17,Mumbai Indians,,,,,14,Delhi Capitals,2 Oct 2021,23:00,T20,46,Mark Eggleston,Bhanush Ali,Nanda Kishore,Delhi Capitals won by 4 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-dd.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,129/8 (20 Overs),129,8,20,6.45,132/6 (19.1 Overs),132,6,19.1,6.88,,,,,,,,,,,6,,,,,,1st Semi-Final,,,46
10013,10876,2,T20,Post,2021-10-01,1 Oct 2021,Kolkata Knight Riders VS Punjab Kings,18:00,18:00 GMT,2021-10-01,16,Kolkata Knight Riders,15,Punjab Kings,KKR,PBKS,88,Dubai International Stadium,Punjab Kings won by 5 wickets,Punjab Kings,,,0,,,32227,2021-10-01 18:00:00,Dubai,,,,,,,,172,219,226,0,Asia/Dubai,16,Kolkata Knight Riders,,,,,15,Punjab Kings,1 Oct 2021,23:00,T20,45,Hannington Ochieng,SJ Nogajski,Nigel Cowley,Punjab Kings won by 5 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,165/7 (20 Overs),165,7,20,8.25,168/5 (19.3 Overs),168,5,19.3,8.61,,,,,,,,,,,6,,,,,,45th  T20,,,45
10013,10874,2,T20,Post,2021-09-30,30 Sep 2021,Sunrisers Hyderabad VS Chennai Super Kings,18:00,18:00 GMT,2021-09-30,20,Sunrisers Hyderabad,13,Chennai Super Kings,SRH,CSK,86,Sharjah Cricket Stadium,Chennai Super Kings won by 6 wickets,Chennai Super Kings,,,0,,,32226,2021-09-30 18:00:00,Sharjah,,,,,,,,163,195,204,0,Asia/Dubai,20,Sunrisers Hyderabad,,,,,13,Chennai Super Kings,30 Sep 2021,23:00,T20,44,Sagara Gallage,NR Seetharam Prabhu,David Millns,Chennai Super Kings won by 6 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-srh.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,134/7 (20 Overs),134,7,20,6.70,139/4 (19.4 Overs),139,4,19.4,7.06,,,,,,,,,,,6,,,,,,44th  T20,,,44
10013,10875,2,T20,Post,2021-09-29,29 Sep 2021,Rajasthan Royals VS Royal Challengers Bangalore,18:00,18:00 GMT,2021-09-29,18,Rajasthan Royals,19,Royal Challengers Bangalore,RR,RCB,88,Dubai International Stadium,Royal Challengers Bangalore won by 7 wickets,Royal Challengers Bangalore,,,0,,,32225,2021-09-29 18:00:00,Dubai,,,,,,,,175,219,224,0,Asia/Dubai,18,Rajasthan Royals,,,,,19,Royal Challengers Bangalore,29 Sep 2021,23:00,T20,43,Buddhi Pradhan,SJ Nogajski,Push Kakr,Royal Challengers Bangalore won by 7 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,149/9 (20 Overs),149,9,20,7.45,153/3 (17.1 Overs),153,3,17.1,8.91,,,,,,,,,,,6,,,,,,43rd  T20,,,43
10013,10872,2,T20,Post,2021-09-28,28 Sep 2021,Mumbai Indians VS Punjab Kings,18:00,18:00 GMT,2021-09-28,15,Punjab Kings,17,Mumbai Indians,PBKS,MI,87,Zayed Cricket Stadium,Mumbai Indians won by 6 wickets,Punjab Kings,,,0,,,32224,2021-09-28 18:00:00,Abu Dhabi,,,,,,,,154,127,162,0,Asia/Dubai,17,Mumbai Indians,,,,,15,Punjab Kings,28 Sep 2021,23:00,T20,42,Ramani Batumalai,Ashraf Din,Morshed Ali Khan,Mumbai Indians won by 6 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,135/6 (20 Overs),135,6,20,6.75,137/4 (19 Overs),137,4,19,7.21,,,,,,,,,,,6,,,,,,42nd  T20,,,42
10013,10873,2,T20,Post,2021-09-28,28 Sep 2021,Kolkata Knight Riders VS Delhi Capitals,14:00,14:00 GMT,2021-09-28,14,Delhi Capitals,16,Kolkata Knight Riders,DC,KKR,86,Sharjah Cricket Stadium,Kolkata Knight Riders won by 3 wickets,Delhi Capitals,,,0,,,32223,2021-09-28 14:00:00,Sharjah,,,,,,,,204,163,195,0,Asia/Dubai,16,Kolkata Knight Riders,,,,,14,Delhi Capitals,28 Sep 2021,23:00,T20,41,David Millns,Sagara Gallage,NR Seetharam Prabhu,Kolkata Knight Riders won by 3 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-dd.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,127/9 (20 Overs),127,9,20,6.35,130/7 (18.2 Overs),130,7,18.2,7.09,,,,,,,,,,,6,,,,,,41st T20,,,41
