CompetitionID,MatchID,MatchTypeID,MatchType,MatchStatus,MatchDate,MatchDateNew,MatchName,MatchTime,GMTMatchTime,GMTMatchDate,FirstBattingTeamID,FirstBattingTeamName,SecondBattingTeamID,SecondBattingTeamName,FirstBattingTeamCode,SecondBattingTeamCode,GroundID,GroundName,Commentss,TossTeam,TossDetails,TossText,Flag,FirstBattingSummary,SecondBattingSummary,ClientMatchID,MATCH_COMMENCE_START_DATE,city,FlickrAlbumID,LiveStream,FBURL,T20ProMatchID,Temperature,WeatherIcon,TempUpdatedDate,GroundUmpire1ID,GroundUmpire2ID,GroundUmpire3ID,RefereeID,HomeTeamID,HomeTeamName,AwayTeamID,AwayTeamName,timezone1,MatchEndDate,MatchEndTime,MatchTypeName,RowNo,GroundUmpire1,GroundUmpire2,ThirdUmpire,Comments,HomeTeamLogo,AwayTeamLogo,MatchHomeTeamLogo,MatchAwayTeamLogo,VideoScorecard,TimeZone,CurrentStrikerID,CurrentStrikerName,StrikerRuns,StrikerBalls,StrikerFours,StrikerSixes,StrikerSR,StrikerImage,CurrentNonStrikerID,CurrentNonStrikerName,NonStrikerRuns,NonStrikerBalls,NonStrikerFours,NonStrikerSixes,NonStrikerSR,NonStrikerImage,CurrentBowlerID,CurrentBowlerName,BowlerOvers,BowlerRuns,BowlerMaidens,BowlerWickets,BowlerEconomy,BowlerSR,BowlerImage,ChasingText,MatchBreakComments,MatchProgress,CurrentInnings,1Summary,1FallScore,1FallWickets,1FallOvers,1RunRate,2Summary,2FallScore,2FallWickets,2FallOvers,2RunRate,3Summary,3FallScore,3FallWickets,3FallOvers,3RunRate,4Summary,4FallScore,4FallWickets,4FallOvers,4RunRate,DivisionID,SecondInningsFirstBattingID,SecondInningsFirstBattingName,SecondInningsSecondBattingID,SecondInningsSecondBattingName,WinningTeamID,MatchOrder,RevisedOver,RevisedTarget,MatchRow
10004,10326,2,T20,Post,2012-05-27,27 May 2012,Kolkata Knight Riders VS Chennai Super Kings,20:00,14:30 GMT,2012-05-27,13,Chennai Super Kings,16,Kolkata Knight Riders,CSK,KKR,73,M. A. Chidambaram Stadium,Kolkata Knight Riders won by 5 wickets,Chennai Super Kings,,,0,183/0 (20.2 Ov),184/0 (19.5 Ov),77,2012-05-27 20:00:00,Chennai,,,,,,,,124,117,156,0,16,Kolkata Knight Riders,13,Chennai Super Kings,Asia/Kolkata,27 May 2012,23:00,T20,75,Barry Dudleston,Cleotele,Adrian Holdstock,Kolkata Knight Riders won by 5 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,190/3 (20 Overs),190,3,20,9.50,192/5 (19.4 Overs),192,5,19.4,9.76,,,,,,,,,,,,,,,,,75th  T20I,,,75
10004,10325,2,T20,Post,2012-05-25,25 May 2012,Chennai Super Kings VS Delhi Daredevils,20:00,14:30 GMT,2012-05-25,13,Chennai Super Kings,14,Delhi Daredevils,CSK,DD,73,M. A. Chidambaram Stadium,Chennai Super Kings won by 86 runs,Delhi Daredevils,,,0,216/0 (20.0 Ov),125/0 (16.5 Ov),76,2012-05-25 20:00:00,Chennai,,,,,,,,144,117,118,0,13,Chennai Super Kings,14,Delhi Daredevils,Asia/Kolkata,25 May 2012,23:00,T20,74,B G Jerling,Cleotele,EH Mall,Chennai Super Kings won by 86 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,222/5 (20 Overs),222,5,20,11.10,136/10 (16.5 Overs),136,10,16.5,8.07,,,,,,,,,,,,,,,,,74th  T20I,,,74
10004,10324,2,T20,Post,2012-05-23,23 May 2012,Mumbai Indians VS Chennai Super Kings,20:00,14:30 GMT,2012-05-23,13,Chennai Super Kings,17,Mumbai Indians,CSK,MI,70,M. Chinnaswamy Stadium,Chennai Super Kings won by 38 runs,Chennai Super Kings,,,0,182/0 (20.0 Ov),138/0 (20.1 Ov),75,2012-05-23 20:00:00,Bengaluru,,,,,,,,124,120,145,0,17,Mumbai Indians,13,Chennai Super Kings,Asia/Kolkata,23 May 2012,23:00,T20,73,Barry Dudleston,TR Kashyappan,Premdip Chatterjee,Chennai Super Kings won by 38 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-csk.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,187/5 (20 Overs),187,5,20,9.35,149/9 (20 Overs),149,9,20,7.45,,,,,,,,,,,,,,,,,73rd  T20I,,,73
10004,10323,2,T20,Post,2012-05-22,22 May 2012,Delhi Daredevils VS Kolkata Knight Riders,20:00,14:30 GMT,2012-05-22,16,Kolkata Knight Riders,14,Delhi Daredevils,KKR,DD,0,,Kolkata Knight Riders won by 18 runs,Kolkata Knight Riders,,,0,158/0 (20.0 Ov),130/0 (20.0 Ov),74,2012-05-22 20:00:00,Pune,,,,,,,,144,117,152,0,14,Delhi Daredevils,16,Kolkata Knight Riders,Asia/Kolkata,22 May 2012,23:00,T20,72,B G Jerling,Cleotele,Vetri,Kolkata Knight Riders won by 18 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,162/4 (20 Overs),162,4,20,8.10,144/8 (20 Overs),144,8,20,7.20,,,,,,,,,,,,,,,,,72nd  T20I,,,72
10004,10322,2,T20,Post,2012-05-20,20 May 2012,Rajasthan Royals VS Mumbai Indians,20:00,14:30 GMT,2012-05-20,18,Rajasthan Royals,17,Mumbai Indians,RR,MI,20,Sawai Mansingh Stadium,Mumbai Indians won by 10 wickets,Mumbai Indians,,,0,148/0 (20.2 Ov),145/0 (18.1 Ov),73,2012-05-20 20:00:00,Jaipur,,,,,,,,120,150,151,0,18,Rajasthan Royals,17,Mumbai Indians,Asia/Kolkata,20 May 2012,23:00,T20,71,TR Kashyappan,Mark Benson,Brian Papworth,Mumbai Indians won by 10 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-mi.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,162/6 (20 Overs),162,6,20,8.10,163/0 (18 Overs),163,0,18,9.05,,,,,,,,,,,,,,,,,71st T20I,,,71
10004,10321,2,T20,Post,2012-05-20,20 May 2012,Deccan Chargers VS Royal Challengers Bangalore,16:00,10:30 GMT,2012-05-20,36,Deccan Chargers,19,Royal Challengers Bangalore,DEC,RCB,72,Rajiv Gandhi Intl. Cricket Stadium,Deccan Chargers won by 9 runs,Royal Challengers Bangalore,,,0,122/0 (20.0 Ov),120/0 (20.0 Ov),72,2012-05-20 16:00:00,Hyderabad,,,,,,,,127,117,153,0,36,Deccan Chargers,19,Royal Challengers Bangalore,Asia/Kolkata,20 May 2012,23:00,T20,70,Ashraf Din,Cleotele,Clifford Isaacs,Deccan Chargers won by 9 runs,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,132/7 (20 Overs),132,7,20,6.60,123/9 (20 Overs),123,9,20,6.15,,,,,,,,,,,,,,,,,70th  T20I,,,70
10004,10320,2,T20,Post,2012-05-19,19 May 2012,Pune Warriors India VS Kolkata Knight Riders,20:00,14:30 GMT,2012-05-19,16,Kolkata Knight Riders,78,Pune Warriors India,KKR,PWI,0,,Kolkata Knight Riders won by 34 runs,Kolkata Knight Riders,,,0,129/0 (20.2 Ov),92/0 (19.5 Ov),71,2012-05-19 20:00:00,Pune,,,,,,,,119,144,152,0,78,Pune Warriors India,16,Kolkata Knight Riders,Asia/Kolkata,19 May 2012,23:00,T20,69,Steve Bucknor,B G Jerling,Vetri,Kolkata Knight Riders won by 34 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/PWI.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/PWI.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-kkr.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,136/4 (20 Overs),136,4,20,6.80,102/8 (20 Overs),102,8,20,5.10,,,,,,,,,,,,,,,,,69th  T20I,,,69
10004,10319,2,T20,Post,2012-05-19,19 May 2012,Punjab Kings VS Delhi Daredevils,16:00,10:30 GMT,2012-05-19,15,Punjab Kings,14,Delhi Daredevils,PBKS,DD,80,HPCA Stadium,Delhi Daredevils won by 6 wickets,Delhi Daredevils,,,0,133/0 (20.0 Ov),136/0 (18.2 Ov),70,2012-05-19 16:00:00,Dharamsala,,,,,,,,124,130,154,0,15,Punjab Kings,14,Delhi Daredevils,Asia/Kolkata,19 May 2012,23:00,T20,68,Barry Dudleston,Keith Coburn,Ramani Batumalai,Delhi Daredevils won by 6 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/pk.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,141/8 (20 Overs),141,8,20,7.05,145/4 (18.2 Overs),145,4,18.2,7.90,,,,,,,,,,,,,,,,,68th  T20I,,,68
10004,10318,2,T20,Post,2012-05-18,18 May 2012,Deccan Chargers VS Rajasthan Royals,20:00,14:30 GMT,2012-05-18,18,Rajasthan Royals,36,Deccan Chargers,RR,DEC,72,Rajiv Gandhi Intl. Cricket Stadium,Deccan Chargers won by 5 wickets,Rajasthan Royals,,,0,119/0 (20.1 Ov),119/0 (18.4 Ov),69,2012-05-18 20:00:00,Hyderabad,,,,,,,,127,117,155,0,36,Deccan Chargers,18,Rajasthan Royals,Asia/Kolkata,18 May 2012,23:00,T20,67,Ashraf Din,Cleotele,Rashid Riaz,Deccan Chargers won by 5 wickets,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/teamlogos/DEC.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rr.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,126/8 (20 Overs),126,8,20,6.30,128/5 (18.4 Overs),128,5,18.4,6.85,,,,,,,,,,,,,,,,,67th  T20I,,,67
10004,10317,2,T20,Post,2012-05-17,17 May 2012,Delhi Daredevils VS Royal Challengers Bangalore,20:00,14:30 GMT,2012-05-17,19,Royal Challengers Bangalore,14,Delhi Daredevils,RCB,DD,17,Arun Jaitley Stadium,Royal Challengers Bangalore won by 21 runs,Royal Challengers Bangalore,,,0,211/0 (20.2 Ov),187/0 (20.0 Ov),68,2012-05-17 20:00:00,Delhi,,,,,,,,120,150,148,0,14,Delhi Daredevils,19,Royal Challengers Bangalore,Asia/Kolkata,17 May 2012,23:00,T20,66,TR Kashyappan,Mark Benson,Vipin Sindh,Royal Challengers Bangalore won by 21 runs,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://scores.iplt20.com/ipl/teamlogos/DD.png,https://livescores-bccitv.epicon.in/ipl/teamlogos/ipl-rcb.png,0,+9.5,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,,,,0,0,0,0,0.00,0.00,,,,,2,215/1 (20 Overs),215,1,20,10.75,194/9 (20 Overs),194,9,20,9.70,,,,,,,,,,,,,,,,,66th  T20I,,,66
