BowlerName,RightHandedBat,Nationality,TeamCode,TeamName,Matches,CompetitionID,Innings,TeamID,BowlerID,LegalBallsBowled,TotalRunsConceded,DotBallsBowled,DotBallPercent,ScoringBallsBowled,BowlingAverage,StrikeRate,BowlingSR,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Ones,Twos,Threes,Fours,Sixes,Wides,NoBalls,Byes,LegBye,Wickets,InningsWickets,MatchRuns,MatchWickets,BBIW,BBMW,Maidens,MaidenWickets,FourWickets,FiveWickets,TenWickets,Hattricks
Ashish Nehra,,,SRH,Sunrisers Hyderabad,75,,75,,0,,2149,660,,,24.70,18.41,18.41,,,8.05,267,,,,3,1,,,,,87,,,,4/10,4/10,1,,1,0,,0
Dhawal Kulkarni,,,MI,Mumbai Indians,92,,92,,178,,2474,744,,,28.77,20.78,20.78,,,8.31,297,,,,6,2,,,,,86,,,,4/14,4/14,8,,1,0,,0
Albie Morkel,,,RPS,,91,,87,,481,,2355,648,,,27.71,20.27,20.27,,,8.20,287,,,,61,55,,,,,85,,,,4/32,4/32,3,,1,0,,0
Pragyan Ojha,,,MI,Mumbai Indians,80,,78,,459,,1952,574,,,22.96,19.09,19.09,,,7.22,270,,,,0,0,,,,,85,,,,3/11,3/11,0,,0,0,,0
Ishant Sharma,,,DC,Delhi Capitals,101,,101,14,50,,2909,925,,,35.05,25.94,25.94,,,8.11,358,,,,34,5,,,,,83,,,,5/12,5/12,6,,0,1,,0
Imran Tahir,,,CSK,Chennai Super Kings,59,,59,,96,,1703,443,,,20.77,16.05,16.05,,,7.76,219,,,,5,0,,,,,82,,,,4/12,4/12,1,,3,0,,0
Irfan Pathan,,,GL,,103,,101,,458,,2649,838,,,33.11,25.54,25.54,,,7.78,340,,,,87,37,,,,,80,,,,3/24,3/24,10,,0,0,,0
Mohammed Siraj,,,RCB,Royal Challengers Bangalore,79,,79,19,63,,2327,721,,,29.83,20.95,20.95,,,8.54,272,,,,99,45,,,,,78,,,,4/21,4/21,4,,2,0,,0
Morne Morkel,,,KKR,Kolkata Knight Riders,70,,70,,0,,2089,708,,,27.13,21.16,21.16,,,7.69,271,,,,11,5,,,,,77,,,,4/20,4/20,3,,1,0,,0
Lakshmipathy Balaji,,,PBKS,Punjab Kings,73,,73,,0,,2028,538,,,26.68,19.88,19.88,,,8.05,251,,,,2,1,,,,,76,,,,5/24,5/24,2,,3,1,,1
Munaf Patel,,,GL,,63,,63,,460,,1698,592,,,22.95,18.31,18.31,,,7.52,225,,,,5,0,,,,,74,,,,5/21,5/21,5,,2,1,,0
Deepak Chahar,,,CSK,Chennai Super Kings,73,,73,13,91,,2019,664,,,28.04,21.22,21.22,,,7.93,254,,,,33,17,,,,,72,,,,4/13,4/13,6,,2,0,,0
Mitchell McClenaghan,,,MI,Mumbai Indians,56,,56,,0,,1803,513,,,25.39,17.94,17.94,,,8.49,212,,,,5,7,,,,,71,,,,4/21,4/21,1,,1,0,,0
Kuldeep Yadav,,,DC,Delhi Capitals,73,,71,14,14,,2016,452,,,28.39,20.96,20.96,,,8.13,247,,,,48,40,,,,,71,,,,4/14,4/14,1,,3,0,,0
Krunal Pandya,,,LSG,Lucknow Super Giants,113,,105,77,17,,2351,642,,,33.59,27.49,27.49,,,7.33,320,,,,154,65,,,,,70,,,,3/14,3/14,1,,0,0,,0
Kieron Pollard,,,MI,Mumbai Indians,189,,107,17,166,,2180,407,,,31.59,21.57,21.57,,,8.79,247,,,,222,220,,,,,69,,,,4/44,4/44,0,,1,0,,0
Karn Sharma,,,RCB,Royal Challengers Bangalore,74,,73,19,98,,1833,447,,,26.57,19.58,19.58,,,8.14,223,,,,31,31,,,,,69,,,,4/16,4/16,1,,2,0,,0
Ashok Dinda,,,RPS,,78,,75,,0,,2071,623,,,30.46,22.21,22.21,,,8.23,251,,,,2,0,,,,,68,,,,4/18,4/18,3,,1,0,,0
Siddharth Trivedi,,,RR,Rajasthan Royals,76,,75,,0,,1904,494,,,29.29,23.17,23.17,,,7.59,251,,,,3,1,,,,,65,,,,4/25,4/25,2,,1,0,,0
