PLAYER,NATIONALITY,TYPE,BASE PRICE
Suresh Raina,Indian,Batsman,"2,00,00,000"
Steve Smith,Overseas,Batsman,"2,00,00,000"
Shakib Al Hasan,Overseas,All-Rounder,"2,00,00,000"
Adil Rashid,Overseas,Bowler,"2,00,00,000"
Imran Tahir,Overseas,Bowler,"2,00,00,000"
Mujeeb Zadran,Overseas,Bowler,"2,00,00,000"
Adam Zampa,Overseas,Bowler,"2,00,00,000"
James Vince,Overseas,Batsman,"2,00,00,000"
Marchant De Lange,Overseas,Bowler,"2,00,00,000"
Saqib Mahmood,Overseas,Bowler,"2,00,00,000"
Ashton Agar,Overseas,All-Rounder,"2,00,00,000"
Craig Overton,Overseas,All-Rounder,"2,00,00,000"
Amit Mishra,Indian,Bowler,"1,50,00,000"
Aaron Finch,Overseas,Batsman,"1,50,00,000"
Dawid Malan,Overseas,Batsman,"1,50,00,000"
Eoin  Morgan,Overseas,Batsman,"1,50,00,000"
Ishant Sharma,Indian,Bowler,"1,50,00,000"
Chris Lynn,Overseas,Batsman,"1,50,00,000"
Usman Khawaja,Overseas,Batsman,"1,50,00,000"
Lewis Gregory,Overseas,All-Rounder,"1,50,00,000"
Kane Richardson,Overseas,Bowler,"1,50,00,000"
Colin Munro,Overseas,All-Rounder,"1,50,00,000"
Marnus Labuschagne,Overseas,Batsman,"1,00,00,000"
Piyush Chawla,Indian,Bowler,"1,00,00,000"
Tabraiz Shamsi,Overseas,Bowler,"1,00,00,000"
Joshua Philippe,Overseas,Wicket Keeper,"1,00,00,000"
Andrew Tye,Overseas,Bowler,"1,00,00,000"
Rilee Rossouw,Overseas,Batsman,"1,00,00,000"
Roston Chase,Overseas,All-Rounder,"1,00,00,000"
Moises Henriques,Overseas,All-Rounder,"1,00,00,000"
Kedar Jadhav,Indian,All-Rounder,"1,00,00,000"
Colin  De Grandhomme,Overseas,All-Rounder,"1,00,00,000"
James Faulkner,Overseas,All-Rounder,"1,00,00,000"
Darcy Short,Overseas,All-Rounder,"1,00,00,000"
Sheldon Cottrell,Overseas,Bowler,"75,00,000"
Reece Topley,Overseas,Bowler,"75,00,000"
Todd Astle,Overseas,Bowler,"75,00,000"
Martin Guptill,Overseas,Batsman,"75,00,000"
Ben Cutting,Overseas,All-Rounder,"75,00,000"
Scott Kuggeleijn,Overseas,All-Rounder,"75,00,000"
Dhawal Kulkarni,Indian,Bowler,"75,00,000"
Darren Bravo,Overseas,Batsman,"75,00,000"
Carlos Brathwaite,Overseas,All-Rounder,"75,00,000"
Keemo Paul,Overseas,All-Rounder,"75,00,000"
Billy Stanlake,Overseas,Bowler,"75,00,000"
Cheteshwar  Pujara,Indian,Batsman,"50,00,000"
Saurabh Tiwary,Indian,Batsman,"50,00,000"
Qais Ahmad,Overseas,Bowler,"50,00,000"
Ish Sodhi,Overseas,Bowler,"50,00,000"
Najibullah Zadran,Overseas,Batsman,"50,00,000"
Charith Asalanka,Overseas,All-Rounder,"50,00,000"
George Garton,Overseas,All-Rounder,"50,00,000"
Litton Das,Overseas,Wicket Keeper,"50,00,000"
Niroshan Dickwella,Overseas,Wicket Keeper,"50,00,000"
Andre Fletcher,Overseas,Wicket Keeper,"50,00,000"
Rahmanullah Gurbaz,Overseas,Wicket Keeper,"50,00,000"
Shai Hope,Overseas,Wicket Keeper,"50,00,000"
Heinrich Klaasen,Overseas,Wicket Keeper,"50,00,000"
Ben Mcdermott,Overseas,Wicket Keeper,"50,00,000"
Kusal Mendis,Overseas,Wicket Keeper,"50,00,000"
Kusal Perera,Overseas,Wicket Keeper,"50,00,000"
Sandeep Warrier,Indian,Bowler,"50,00,000"
Akila Dhananjaya,Overseas,Bowler,"50,00,000"
Zahir Khan,Overseas,Bowler,"50,00,000"
Keshav Maharaj,Overseas,Bowler,"50,00,000"
Waqar Salamkheil,Overseas,Bowler,"50,00,000"
Rahul Sharma,Indian,Bowler,"50,00,000"
Hayden Walsh,Overseas,Bowler,"50,00,000"
Brandon King,Overseas,Batsman,"50,00,000"
Janneman Malan,Overseas,Batsman,"50,00,000"
Paul Stirling,Overseas,Batsman,"50,00,000"
Hanuma Vihari,Indian,Batsman,"50,00,000"
Hazratullah Zazai,Overseas,Batsman,"50,00,000"
Akeal Hosein,Overseas,All-Rounder,"50,00,000"
Karim Janat,Overseas,All-Rounder,"50,00,000"
Pawan Negi,Indian,All-Rounder,"50,00,000"
Taskin Ahmed,Overseas,Bowler,"50,00,000"
Naveen  Ul Haq,Overseas,Bowler,"50,00,000"
David Wiese,Overseas,All-Rounder,"50,00,000"
Shamrah Brooks,Overseas,Batsman,"50,00,000"
