PLAYER,TYPE,BASE PRICE
Michael Hussey,Batsman,"2,00,00,000"
Brad Haddin,Wicket Keeper,"1,50,00,000"
Tillakaratne Dilshan,All-Rounder,"1,50,00,000"
Cameron White,Batsman,"1,50,00,000"
James Pattinson,Bowler,"1,50,00,000"
Mahela Jayawardena,Batsman,"1,50,00,000"
David Hussey,Batsman,"1,00,00,000"
Usman Khawaja,Batsman,"1,00,00,000"
Owais Shah,Batsman,"1,00,00,000"
Chris Jordan,All-Rounder,"1,00,00,000"
Nathan Lyon,Bowler,"1,00,00,000"
Mthokozisi Shezi,Bowler,"1,00,00,000"
Shaun Tait,Bowler,"1,00,00,000"
Adam Voges,Batsman,"1,00,00,000"
Ravi Bopara,All-Rounder,"1,00,00,000"
Hashim Amla,Batsman,"1,00,00,000"
Rilee Rossouw,Batsman,"1,00,00,000"
Joe Burns,Batsman,"1,00,00,000"
George Bailey,Batsman,"1,00,00,000"
Manoj Tiwary,All-Rounder,"1,00,00,000"
Pragyan Ojha,Bowler,"50,00,000"
Robin Peterson,All-Rounder,"50,00,000"
Subramaniam Badrinath,Batsman,"50,00,000"
Tamim Iqbal,Batsman,"50,00,000"
Marlon Samuels,Batsman,"50,00,000"
Munaf Patel,Bowler,"50,00,000"
Shannon Gabriel,Bowler,"50,00,000"
James Neesham,All-Rounder,"50,00,000"
Jackson Bird,Bowler,"50,00,000"
Wayne Parnell,All-Rounder,"50,00,000"
Nuwan Kulasekara,Bowler,"50,00,000"
Henry Davids,All-Rounder,"50,00,000"
Martin Guptill,Batsman,"50,00,000"
Johan Botha,All-Rounder,"50,00,000"
Richard Levi,Batsman,"50,00,000"
Vernon Philander,All-Rounder,"50,00,000"
Ajantha Mendis,Bowler,"50,00,000"
Jeevan Mendis,All-Rounder,"50,00,000"
Dilruwan Perera,All-Rounder,"50,00,000"
Ashton Agar,All-Rounder,"50,00,000"
Sachithra Senanayaka,Bowler,"50,00,000"
Darren Bravo,Batsman,"50,00,000"
Fidel Edwards,Bowler,"50,00,000"
Darren Sammy,All-Rounder,"50,00,000"
Jerome Taylor,Bowler,"50,00,000"
Nic Maddinson,Batsman,"50,00,000"
Cameron Boyce,Bowler,"50,00,000"
Nathan McCullum,All-Rounder,"50,00,000"
Cheteshwar Pujara,Batsman,"50,00,000"
Sean Abbott,All-Rounder,"50,00,000"
Hardus Viljoen,Bowler,"30,00,000"
Michael Klinger,Batsman,"30,00,000"
Rahul Sharma,Bowler,"30,00,000"
Johnson Charles,Wicket Keeper,"30,00,000"
Mushfiqur Rahim,Wicket Keeper,"30,00,000"
Shane Dowrich,Wicket Keeper,"30,00,000"
Parvinder Awana,Bowler,"30,00,000"
Shehan Jayasuriya,All-Rounder,"30,00,000"
Narsingh Deonarine,All-Rounder,"30,00,000"
Soumya Sarkar,All-Rounder,"30,00,000"
Dasun Shanka,All-Rounder,"30,00,000"
Milinda Siriwardana,All-Rounder,"30,00,000"
George Worker,All-Rounder,"30,00,000"
Taskin Ahmed,Bowler,"30,00,000"
Dushmantha Chameera,Bowler,"30,00,000"
Aiden Blizzard,Batsman,"30,00,000"
Abhinav Mukund,Batsman,"30,00,000"
Dean Elgar,Batsman,"30,00,000"
Lahiru Thirimanne,Batsman,"30,00,000"
Grant Elliott,All-Rounder,"30,00,000"
Rayad Emrit,All-Rounder,"30,00,000"
Antony Dhas,All-Rounder,"30,00,000"
Krismar Santokie,Bowler,"30,00,000"
Juan Theron,All-Rounder,"30,00,000"
Abhishek Nayar,All-Rounder,"30,00,000"
Isuru Udana,All-Rounder,"30,00,000"
Pankaj Singh,Bowler,"30,00,000"
Sudeep Tyagi,Bowler,"30,00,000"
Reeza Hendricks,Batsman,"30,00,000"
Ben Laughlin,Bowler,"30,00,000"
Ben Dunk,Wicket Keeper,"30,00,000"
Kevon Cooper,All-Rounder,"30,00,000"
Mithun Manhas,Batsman,"30,00,000"
Dilshan Munaweera,All-Rounder,"30,00,000"
Morne van Wyk,Wicket Keeper,"30,00,000"
Michael Beer,Bowler,"30,00,000"
Doug Bracewell,All-Rounder,"30,00,000"
Anton Devcich,All-Rounder,"30,00,000"
Seekkuge Prasanna,All-Rounder,"30,00,000"
Tino Best,Bowler,"30,00,000"
Veerasammy Permaul,Bowler,"30,00,000"
