PLAYER,TYPE,BASE PRICE
Ishant Sharma,Bowler,"2,00,00,000"
Jason Holder,All-Rounder,"1,50,00,000"
Brad Haddin,Wicket Keeper,"1,50,00,000"
Nathan Lyon,Bowler,"1,50,00,000"
Jonny Bairstow,Wicket Keeper,"1,50,00,000"
Kyle Abbott,Bowler,"1,50,00,000"
Marlon Samuels,Batsman,"1,00,00,000"
Alex Hales,Batsman,"1,00,00,000"
Andile Phehlukwayo,All-Rounder,"1,00,00,000"
Grant Elliott,All-Rounder,"1,00,00,000"
Nic Maddinson,Batsman,"50,00,000"
Michael Klinger,Batsman,"50,00,000"
Cheteshwar Pujara,Batsman,"50,00,000"
Thisara Perera,All-Rounder,"50,00,000"
Mohammad Shahzad,Wicket Keeper,"50,00,000"
Kusal Janith Perera,Wicket Keeper,"50,00,000"
Callum Ferguson,Batsman,"50,00,000"
Muhammad Yasir Arafat,All-Rounder,"50,00,000"
Farveez Maharoof,All-Rounder,"50,00,000"
Ross Taylor,Batsman,"50,00,000"
Irfan Pathan,All-Rounder,"50,00,000"
Colin Munro,All-Rounder,"50,00,000"
Dinesh Chandimal,Wicket Keeper,"50,00,000"
James Neesham,All-Rounder,"50,00,000"
Wayne Parnell,All-Rounder,"50,00,000"
Mitchell Santner,All-Rounder,"50,00,000"
Jerome Taylor,Bowler,"50,00,000"
Suranga Lakmal,Bowler,"50,00,000"
Brad Hogg,Bowler,"50,00,000"
Imran Tahir,Bowler,"50,00,000"
Evin Lewis,Batsman,"50,00,000"
Unmukt Chand,Batsman,"30,00,000"
Abhinav Mukund,Batsman,"30,00,000"
Tom Cooper,All-Rounder,"30,00,000"
Ben Dwarshuis,Bowler,"30,00,000"
Farhaan Behardien,All-Rounder,"30,00,000"
Dawlat Zadran,Bowler,"30,00,000"
Parveez Rasool,All-Rounder,"30,00,000"
David Wiese,All-Rounder,"30,00,000"
Ramesh Mendis,All-Rounder,"30,00,000"
Anamul Haque Bijoy,Wicket Keeper,"30,00,000"
Niroshan Dickwella,Wicket Keeper,"30,00,000"
P Malinda Pushpakumara,All-Rounder,"30,00,000"
Shane Dorwich,Wicket Keeper,"30,00,000"
Neil Broom,Batsman,"30,00,000"
Tom Bruce,Batsman,"30,00,000"
Pankaj Singh,Bowler,"30,00,000"
Joe Burns,Batsman,"30,00,000"
Rudra Pratap Singh,Bowler,"30,00,000"
Theunis De Bruyn,Batsman,"30,00,000"
Fawad Ahmed,Bowler,"30,00,000"
Michael Beer,Bowler,"30,00,000"
Akila Dananjaya,Bowler,"30,00,000"
Sam Heazlett,Batsman,"30,00,000"
Anton Devcich,All-Rounder,"30,00,000"
Tamim Iqbal,Batsman,"30,00,000"
Rayad Emrit,All-Rounder,"30,00,000"
Kusal Mendis,Batsman,"30,00,000"
Jonathan Carter,All-Rounder,"30,00,000"
Colin De Grandhomme,All-Rounder,"30,00,000"
Johan Botha,All-Rounder,"30,00,000"
Faiz Fazal,Batsman,"30,00,000"
Dhananjaya Silva,All-Rounder,"30,00,000"
Jeevan Mendis,All-Rounder,"30,00,000"
Rahul Sharma,Bowler,"30,00,000"
Thikshila De Silva,All-Rounder,"30,00,000"
Nathan McCullum,All-Rounder,"30,00,000"
Seekkuge Prasanna,All-Rounder,"30,00,000"
Sean Abbott,All-Rounder,"30,00,000"
Mehedi Hasan Miraz,All-Rounder,"30,00,000"
Angelo Perera,All-Rounder,"30,00,000"
Shabbir Rahman Roman,All-Rounder,"30,00,000"
Dasun Shanka,All-Rounder,"30,00,000"
Dwaine Pretorius,All-Rounder,"30,00,000"
Mohammad Mahmudullah,All-Rounder,"30,00,000"
Jesse Ryder,All-Rounder,"30,00,000"
Abhishek Nayar,All-Rounder,"30,00,000"
Joginder Sharma,All-Rounder,"30,00,000"
Johnson Charles,Wicket Keeper,"30,00,000"
Taskin Ahmed,Bowler,"30,00,000"
Ben Dunk,Wicket Keeper,"30,00,000"
Andre Fletcher,Wicket Keeper,"30,00,000"
Dushmantha Chameera,Bowler,"30,00,000"
Jack Wildermuth,All-Rounder,"30,00,000"
Sheldon Cottrell,Bowler,"30,00,000"
Alex Ross,Batsman,"30,00,000"
Miguel Cummins,Bowler,"30,00,000"
Mitchell Swepson,Bowler,"30,00,000"
Krismar Santokie,Bowler,"30,00,000"
Parvinder Awana,Bowler,"30,00,000"
Ben Wheeler,Bowler,"30,00,000"
Shannon Gabriel,Bowler,"30,00,000"
Robbie Frylinck,All-Rounder,"30,00,000"
