PLAYER,TYPE,BASE PRICE
Jon-Jon Trevor Smuts,All-Rounder,"50,00,000"
Ashley Nurse,All-Rounder,"50,00,000"
Scott Kuggeleijn,All-Rounder,"50,00,000"
Dean Elgar,Batsman,"50,00,000"
Robbie Frylinck,All-Rounder,"50,00,000"
Wiaan Mulder,All-Rounder,"50,00,000"
Neil Wagner,Bowler,"50,00,000"
Shapoor Zadran,Bowler,"50,00,000"
Vaughn Van Jaarsveld,All-Rounder,"50,00,000"
Abhimanyu Mithun,Bowler,"50,00,000"
Rayad Emrit,All-Rounder,"50,00,000"
Mohammad Mahmudullah,All-Rounder,"50,00,000"
Najibullah Zadran,Batsman,"50,00,000"
Sheldon Cottrell,Bowler,"50,00,000"
Matt Henry,Bowler,"50,00,000"
Nuwan Kulasekara,Bowler,"50,00,000"
Suranga Lakmal,Bowler,"50,00,000"
Manpreet Gony,Bowler,"50,00,000"
Isuru Udana,All-Rounder,"50,00,000"
Pankaj Singh,Bowler,"50,00,000"
Sudeep Tyagi,Bowler,"50,00,000"
Thomas Helm,Bowler,"40,00,000"
Rajat Bhatia,All-Rounder,"40,00,000"
Kevon Cooper,All-Rounder,"40,00,000"
Mitchell Swepson,Bowler,"40,00,000"
Tom Cooper,Batsman,"40,00,000"
Eklavya Dwivedi,Wicket Keeper,"40,00,000"
Michael Neser,All-Rounder,"40,00,000"
Iqbal Abdullah,Bowler,"30,00,000"
Christiaan Jonker,Batsman,"30,00,000"
Ben McDermott,Wicket Keeper,"30,00,000"
Roshon Primus,All-Rounder,"30,00,000"
Gurvinder Singh,Bowler,"30,00,000"
Vishnu Solanki,Batsman,"30,00,000"
Alex Ross,Batsman,"30,00,000"
Daniel Hughes,Batsman,"30,00,000"
Ishwar Chandra Pandey,Bowler,"25,00,000"
Manprit Juneja,Batsman,"20,00,000"
Vyshak Vijay Kumar,All-Rounder,"20,00,000"
Junior Dala,Bowler,"20,00,000"
Jaydev Shah,All-Rounder,"20,00,000"
Karan Thakur,Bowler,"20,00,000"
Mayank Siddana,Batsman,"20,00,000"
Anurag Verma,Bowler,"20,00,000"
Shashank Singh,All-Rounder,"20,00,000"
Lizaad Williams,Bowler,"20,00,000"
Ankush Bains,Wicket Keeper,"20,00,000"
Tanveer Ulhaq,Bowler,"20,00,000"
Kushang Patel,Bowler,"20,00,000"
Armaan Jaffer,Batsman,"20,00,000"
Aman Khan,All-Rounder,"20,00,000"
Diwesh Pathania,All-Rounder,"20,00,000"
Shamss Mulani,All-Rounder,"20,00,000"
C.M. Gautam,Wicket Keeper,"20,00,000"
Shelly Shaurya,Bowler,"20,00,000"
A. Aswin Crist,Bowler,"20,00,000"
Salman Nizar,All-Rounder,"20,00,000"
Aaron Summers,Bowler,"20,00,000"
Royston Dias,Bowler,"20,00,000"
Dafedar Khizar Anwar,All-Rounder,"20,00,000"
Kartik Tyagi,Bowler,"20,00,000"
Shubham Ranjane,All-Rounder,"20,00,000"
Sidhant Dobal,All-Rounder,"20,00,000"
Vinod Kumar C.V.,All-Rounder,"20,00,000"
Thomas Kaber,All-Rounder,"20,00,000"
Tejas Singh Baroka,Bowler,"20,00,000"
Akhil Arvind Herwadkar,All-Rounder,"20,00,000"
Shamar Springer,All-Rounder,"20,00,000"
Ashok Menaria,All-Rounder,"20,00,000"
Jack Wildermuth,All-Rounder,"20,00,000"
Odean Smith,All-Rounder,"20,00,000"
Yogesh Nagar,All-Rounder,"20,00,000"
Milind Kumar,All-Rounder,"20,00,000"
Shubham Agrawal,All-Rounder,"20,00,000"
Yomahesh Kumar,All-Rounder,"20,00,000"
Abu Nechim Ahmed,Bowler,"20,00,000"
Vivek Singh,All-Rounder,"20,00,000"
Mohammed Bilal,All-Rounder,"20,00,000"
Arun Chaprana,All-Rounder,"20,00,000"
Rajat Paliwal,All-Rounder,"20,00,000"
Abhimanyu Rana,All-Rounder,"20,00,000"
Rahul Shukla,Bowler,"20,00,000"
Sarang Rawat,All-Rounder,"20,00,000"
Bhargav Bhatt,Bowler,"20,00,000"
Fabid Farook Ahmed,All-Rounder,"20,00,000"
Arjun Sharma,All-Rounder,"20,00,000"
Akash Sudan,All-Rounder,"20,00,000"
Shadab Jakati,Bowler,"20,00,000"
Shivam Chauhan,Batsman,"20,00,000"
Sandeep Bavanaka,All-Rounder,"20,00,000"
Sarabjit Ladda,Bowler,"20,00,000"
Karan Kaila,All-Rounder,"20,00,000"
Gaurav Gambir,All-Rounder,"20,00,000"
Ankit Kaushik,All-Rounder,"20,00,000"
Patrick Kruger,All-Rounder,"20,00,000"
Sohraab Dhaliwal,All-Rounder,"20,00,000"
Aditya Sarvate,All-Rounder,"20,00,000"
Amish Sidhu,All-Rounder,"20,00,000"
Shadley Van Schalkwyk,All-Rounder,"20,00,000"
Pravin Tambe,Bowler,"20,00,000"
Vignesh Moorthy,All-Rounder,"20,00,000"
Arjun Nair,All-Rounder,"20,00,000"
Ankeet Bawane,Batsman,"20,00,000"
Nikhil Shankar Naik,Wicket Keeper,"20,00,000"
Smit Patel,Wicket Keeper,"20,00,000"
Ajit Chahal,Bowler,"20,00,000"
K.B Arun Karthik,Wicket Keeper,"20,00,000"
Deepak Chaudhary,Bowler,"20,00,000"
Pradeep Dadhe,Bowler,"20,00,000"
Domnic Joseph Muthuswamy,Bowler,"20,00,000"
Babasafi Pathan,Bowler,"20,00,000"
Shivam Dubey,All-Rounder,"20,00,000"
Hanuma Vihari,All-Rounder,"20,00,000"
Puneet Datey,All-Rounder,"20,00,000"
Pradeep Thippeswamy,Bowler,"20,00,000"
Kuldip Yadav,Bowler,"20,00,000"
Kona Srikar Bharat,Wicket Keeper,"20,00,000"
Ninad Rathva,All-Rounder,"20,00,000"
K.C. Cariappa,Bowler,"20,00,000"
Siddhant Sharma,All-Rounder,"20,00,000"
Mihir Hirwani,Bowler,"20,00,000"
Mrinank Singh,All-Rounder,"20,00,000"
Akshay Wakhare,Bowler,"20,00,000"
Manjeetkumar Chaudhary,Bowler,"20,00,000"
Mahesh Rawat,Wicket Keeper,"20,00,000"
Gitansh Khera,Wicket Keeper,"20,00,000"
Manan Sharma,All-Rounder,"20,00,000"
Chintan Gaja,All-Rounder,"20,00,000"
Utkarsh Singh,All-Rounder,"20,00,000"
Amit Mishra,All-Rounder,"20,00,000"
Jitesh Sharma,Wicket Keeper,"20,00,000"
Jalaj Saxena,All-Rounder,"20,00,000"
Lukman Iqbal Meriwala,Bowler,"20,00,000"
Vishnu Vinod,Wicket Keeper,"20,00,000"
Vikas Tokas,Bowler,"20,00,000"
Yuvraj Chudasama,Bowler,"20,00,000"
Shreekant Wagh,All-Rounder,"20,00,000"
Ronit More,Bowler,"20,00,000"
Sumit Ruikar,All-Rounder,"20,00,000"
Veer Pratap Singh,Bowler,"20,00,000"
Ashish Reddy,All-Rounder,"20,00,000"
Virat Singh,Batsman,"20,00,000"
Varun Khanna,Bowler,"20,00,000"
Kuldeep Hooda,All-Rounder,"20,00,000"
Shaurya Sanandia,All-Rounder,"20,00,000"
Pawan Suyal,Bowler,"20,00,000"
Vaibhav Rawal,All-Rounder,"20,00,000"
Sandeep Warrier,Bowler,"20,00,000"
J Suchith,Bowler,"20,00,000"
Ashish Hooda,Bowler,"20,00,000"
Pankaj Jaswal,All-Rounder,"20,00,000"
Anustup Majumdar,All-Rounder,"20,00,000"
R. Sai Kishore,Bowler,"20,00,000"
Rahil S Shah,Bowler,"20,00,000"
Harmeet Singh,Bowler,"20,00,000"
Marcus Harris,Batsman,"20,00,000"
Rassie Van der Dussen,Batsman,"20,00,000"
Rajesh Bishnoi Sr,Batsman,"20,00,000"
Paras Dogra,Batsman,"20,00,000"
Sheldon Jackson,Wicket Keeper,"20,00,000"
Swapnil Singh,All-Rounder,"20,00,000"
Ishwar Chaudhary,Bowler,"20,00,000"
D.B Ravi Teja,Batsman,"20,00,000"
Paul Valthaty,Batsman,"20,00,000"
Kedar Devdhar,Wicket Keeper,"20,00,000"
Himmat Singh,All-Rounder,"20,00,000"
Amandeep Khare,Batsman,"20,00,000"
Writtick Chatterjee,All-Rounder,"20,00,000"
Chris Green,All-Rounder,"20,00,000"
Ryan Ninan,All-Rounder,"20,00,000"
Rohan Prem,All-Rounder,"20,00,000"
Puneed Datey,All-Rounder,"20,00,000"
Parikshit Valsangkar,Bowler,"20,00,000"
R. Sanjay Yadav,All-Rounder,"20,00,000"
Imtiaz Ahmed,All-Rounder,"20,00,000"
Atit Sheth,All-Rounder,"20,00,000"
Ankit Lamba,Batsman,"20,00,000"
Amit Mishra,Bowler,"20,00,000"
Sarthak Ranjan,Batsman,"20,00,000"
Cheepurupalli Stephen,Bowler,"20,00,000"
Dinesh Salunkhe,All-Rounder,"20,00,000"
Shivam Sharma,All-Rounder,"20,00,000"
Priyank Panchal,Batsman,"20,00,000"
Rajwinder Singh,Bowler,"20,00,000"
Shubek Gill,Bowler,"20,00,000"
Pratham Singh,Batsman,"20,00,000"
Indrajith Baba,All-Rounder,"20,00,000"
Anmolpreet Singh,Batsman,"20,00,000"
Sagar Trivedi,All-Rounder,"20,00,000"
Vinay Choudhary,Bowler,"20,00,000"
Anuj Rawat,Wicket Keeper,"20,00,000"
Amit Verma,All-Rounder,"20,00,000"
Ruturaj Gaikwad,Batsman,"20,00,000"
Akash Parkar,All-Rounder,"20,00,000"
Shubham Singh Rohilla,Batsman,"20,00,000"
Ankit Soni,Bowler,"20,00,000"
Lalit Yadav,Bowler,"20,00,000"
Harvik Desai,Wicket Keeper,"20,00,000"
Anmol Malhotra,Wicket Keeper,"20,00,000"
Dhruv Raval,Wicket Keeper,"20,00,000"
Rohith Ravikumar,Wicket Keeper,"20,00,000"
Mohammad Nazim Siddiqui,Wicket Keeper,"20,00,000"
Chama Milind,Bowler,"20,00,000"
Mayank Sidhu,Wicket Keeper,"20,00,000"
Umar Nazir Mir,Bowler,"20,00,000"
Sandeep Kumar Tomar,Wicket Keeper,"20,00,000"
Yarra Raj,Bowler,"20,00,000"
Oshane Thomas,Bowler,"20,00,000"
Athisayaraj V,Bowler,"20,00,000"
Akash Bhandari,All-Rounder,"20,00,000"
Zeeshan Ansari,Bowler,"20,00,000"
Siddharth Desai,Bowler,"20,00,000"
Jiyas K,Bowler,"20,00,000"
Pratyush Singh,All-Rounder,"20,00,000"
Alexandar Rama Doss,Bowler,"20,00,000"
Himanshu Rana,Batsman,"20,00,000"
Akshath Reddy,Batsman,"20,00,000"
R Samarth,Batsman,"20,00,000"
Nathu Singh,Bowler,"20,00,000"
Shivil Kaushik,Bowler,"20,00,000"
Mohammed Asaduddin,Batsman,"20,00,000"
Abhinav Manohar,Batsman,"20,00,000"
Rohan Marwaha,Batsman,"20,00,000"
Saurabh Kumar,All-Rounder,"20,00,000"
Rajat Patidar,Batsman,"20,00,000"
Praveen Dubey,All-Rounder,"20,00,000"
Yash Sehrawat,Batsman,"20,00,000"
Kunal Chandela,All-Rounder,"20,00,000"
Aamir Gani,All-Rounder,"20,00,000"
Pulkit Narang,All-Rounder,"20,00,000"
Riyan Parag,All-Rounder,"20,00,000"
Baltej Dhanda,Bowler,"20,00,000"
Karanveer Singh,All-Rounder,"20,00,000"
Armaan Jain,Bowler,"20,00,000"
Sumeet Verma,All-Rounder,"20,00,000"
Mukesh Kumar Singh,Bowler,"20,00,000"
Arshdeep Singh,Bowler,"20,00,000"
Cameron Gannon,All-Rounder,"20,00,000"
Sadiq Hassan Kirmani,Wicket Keeper,"20,00,000"
Ravi Chauhan,Batsman,"20,00,000"
Jaskaranvir Singh Sohi,Wicket Keeper,"20,00,000"
Samit Gohil,Batsman,"20,00,000"
Akshay Karnewar,All-Rounder,"20,00,000"
Rishi Arothe,Bowler,"20,00,000"
Ramandeep Singh,Batsman,"20,00,000"
Abhijeet Tomar,Batsman,"20,00,000"
Jiwanjot Singh Chauhan,Batsman,"20,00,000"
Abhimanyu Easwaran,Batsman,"20,00,000"
Abhishek Gupta,Wicket Keeper,"20,00,000"
Chirag Gandhi,Batsman,"20,00,000"
Hamza Tariq,Wicket Keeper,"20,00,000"
Rahul Yadav,Wicket Keeper,"20,00,000"
Kyle Mayers,Wicket Keeper,"20,00,000"
Govinda Poddar,All-Rounder,"20,00,000"
Ravi Kiran Majeti,Bowler,"20,00,000"
Ishan Porel,Bowler,"20,00,000"
Rajesh Sharma,All-Rounder,"20,00,000"
Aditya Thakare,Bowler,"20,00,000"
Subodh Bhati,Bowler,"20,00,000"
Mohan Prasath,Bowler,"20,00,000"
Antony Dhas,All-Rounder,"20,00,000"
Abhishek Sakuja,Bowler,"20,00,000"
Javed Khan,Bowler,"20,00,000"
Ashok Sandhu,Bowler,"20,00,000"
Kishore Pramod Kamath,All-Rounder,"20,00,000"
Tushar Deshpande,Bowler,"20,00,000"
Jaskaran Singh,Bowler,"20,00,000"
Prasidh Krishna,Bowler,"20,00,000"
Nikhil Gangta,All-Rounder,"20,00,000"
Jay Gokul Bista,All-Rounder,"20,00,000"
Hiten Dalal,Batsman,"20,00,000"
Sumanth Bodapati,All-Rounder,"20,00,000"
Deepak Punia,All-Rounder,"20,00,000"
Baba Aparajith,All-Rounder,"20,00,000"
Unmukt Chand,Batsman,"20,00,000"
Milind Tandon,All-Rounder,"20,00,000"
Rajneesh Gurbani,Bowler,"20,00,000"
