PLAYER,NATIONALITY,TYPE,BASE PRICE
Akshat Raghuwanshi,Indian,Batter,"20,00,000"
Himanshu Rana,Indian,Batter,"20,00,000"
Shoun Roger,Indian,Batter,"20,00,000"
Virat Singh,Indian,Batter,"20,00,000"
Gerald Coetzee,Overseas,All-Rounder,"20,00,000"
Evan Jones,Overseas,All-Rounder,"20,00,000"
Abid Mushtaq,Indian,All-Rounder,"20,00,000"
Suryansh Shedge,Indian,All-Rounder,"20,00,000"
Jagadeesha Suchith,Indian,All-Rounder,"20,00,000"
Ricky Bhui,Indian,Wicket-Keeper,"20,00,000"
Baba Indrajith,Indian,Wicket-Keeper,"20,00,000"
Sheldon Jackson,Indian,Wicket-Keeper,"20,00,000"
Aryan Juyal,Indian,Wicket-Keeper,"20,00,000"
Kirant Shinde,Indian,Wicket-Keeper,"20,00,000"
Luvnith Sisodia,Indian,Wicket-Keeper,"20,00,000"
Vishnu Solanki,Indian,Wicket-Keeper,"20,00,000"
Ravi Kumar,Indian,Bowler,"20,00,000"
Sushant Mishra,Indian,Bowler,"20,00,000"
Arzan Nagwaswalla,Indian,Bowler,"20,00,000"
Ishan Porel,Indian,Bowler,"20,00,000"
Akash Singh,Indian,Bowler,"20,00,000"
Basil Thampi,Indian,Bowler,"20,00,000"
Paul Van Meekeren,Overseas,Bowler,"20,00,000"
Vyshak Vijay Kumar,Indian,Bowler,"20,00,000"
S.Ajith Ram,Indian,Bowler,"20,00,000"
Satyajeet Bachhav,Indian,Bowler,"20,00,000"
Tejas Baroka,Indian,Bowler,"20,00,000"
Yuvraj Chudasama,Indian,Bowler,"20,00,000"
Peter Hatzoglou,Overseas,Bowler,"20,00,000"
Karthik Meiyappan,Overseas,Bowler,"20,00,000"
Shivam Sharma,Indian,Bowler,"20,00,000"
Priyansh Arya,Indian,Batter,"20,00,000"
Matthew Breetzke,Overseas,Batter,"20,00,000"
Shivam Chauhan,Indian,Batter,"20,00,000"
Rahul Gahlaut,Indian,Batter,"20,00,000"
Sudip Gharami,Indian,Batter,"20,00,000"
C. Hari Nishaanth,Indian,Batter,"20,00,000"
Amandeep Khare,Indian,Batter,"20,00,000"
Bhanu Pania,Indian,Batter,"20,00,000"
Ekant Sen,Indian,Batter,"20,00,000"
Akash Singh,Indian,Batter,"20,00,000"
Himanshu Bisht,Indian,All-Rounder,"20,00,000"
Mickil Jaiswal,Indian,All-Rounder,"20,00,000"
G.Aniketh Reddy,Indian,All-Rounder,"20,00,000"
Atit Sheth,Indian,All-Rounder,"20,00,000"
M. Siddharth,Indian,All-Rounder,"20,00,000"
Tanay Thyagarajann,Indian,All-Rounder,"20,00,000"
Sumeet Verma,Indian,All-Rounder,"20,00,000"
Sanjay Yadav,Indian,All-Rounder,"20,00,000"
Ajitesh Guruswamy,Indian,Wicket-Keeper,"20,00,000"
Yash Kothari,Indian,Wicket-Keeper,"20,00,000"
Suresh Kumar,Indian,Wicket-Keeper,"20,00,000"
Kumar Kushagra,Indian,Wicket-Keeper,"20,00,000"
Anmol Malhotra,Indian,Wicket-Keeper,"20,00,000"
Robin Minz,Indian,Wicket-Keeper,"20,00,000"
Agniv Pan,Indian,Wicket-Keeper,"20,00,000"
Priyesh Patel,Indian,Wicket-Keeper,"20,00,000"
Mitesh Patel,Indian,Wicket-Keeper,"20,00,000"
Abishek Porel,Indian,Wicket-Keeper,"20,00,000"
Bharat Sharma,Indian,Wicket-Keeper,"20,00,000"
Vivek Singh,Indian,Wicket-Keeper,"20,00,000"
Abhijeet Tomar,Indian,Wicket-Keeper,"20,00,000"
Basit Bashir,Indian,Bowler,"20,00,000"
Nandre Burger,Overseas,Bowler,"20,00,000"
Rasikh Dar,Indian,Bowler,"20,00,000"
Sakib Hussain,Indian,Bowler,"20,00,000"
Waseem Khanday,Indian,Bowler,"20,00,000"
Ravi Kiran Majeti,Indian,Bowler,"20,00,000"
Lukman Hussain Meriwala,Indian,Bowler,"20,00,000"
Anuj Raj,Indian,Bowler,"20,00,000"
Ankit Singh Rajpoot,Indian,Bowler,"20,00,000"
Prince Yadav,Indian,Bowler,"20,00,000"
Prithviraj Yarra,Indian,Bowler,"20,00,000"
Mushtaq Beg,Indian,Bowler,"20,00,000"
Rocky Bhasker,Indian,Bowler,"20,00,000"
Sanjith Devaraj,Indian,Bowler,"20,00,000"
Allah Mohammad,Overseas,Bowler,"20,00,000"
Lalit Mohan,Indian,Bowler,"20,00,000"
Bhuwan Rohilla,Indian,Bowler,"20,00,000"
Aman Sharma,Indian,Bowler,"20,00,000"
Manav Suthar,Indian,Bowler,"20,00,000"
Anirudh Balachander,Indian,Batter,"20,00,000"
Gourav Choudhary,Indian,Batter,"20,00,000"
Saurav Chuahan,Indian,Batter,"20,00,000"
Kumar Deobrat,Indian,Batter,"20,00,000"
Chirag Gandhi,Indian,Batter,"20,00,000"
Arman Jaffer,Indian,Batter,"20,00,000"
Madhav Kaushik,Indian,Batter,"20,00,000"
Priyank Panchal,Indian,Batter,"20,00,000"
Ayush Pandey,Indian,Batter,"20,00,000"
Rohan Patil,Indian,Batter,"20,00,000"
Sanjay Ramaswamy,Indian,Batter,"20,00,000"
Siddharth Yadav,Indian,Batter,"20,00,000"
Prayas Barman,Indian,All-Rounder,"20,00,000"
Rahul Buddhi,Indian,All-Rounder,"20,00,000"
Vaisakh Chandran,Indian,All-Rounder,"20,00,000"
Writtick Chatterjee,Indian,All-Rounder,"20,00,000"
Prashant Chopra,Indian,All-Rounder,"20,00,000"
Harsh Dubey,Indian,All-Rounder,"20,00,000"
Tanush Kotian,Indian,All-Rounder,"20,00,000"
Ninad Rathva,Indian,All-Rounder,"20,00,000"
B. Surya,Indian,All-Rounder,"20,00,000"
Shivank Vashisth,Indian,All-Rounder,"20,00,000"
Ankush Bains,Indian,Wicket-Keeper,"20,00,000"
