PLAYER,TYPE,BASE PRICE
Tillakaratne Dilshan,All-Rounder,"2,00,00,000"
Angelo Mathews,All-Rounder,"2,00,00,000"
Praveen Kumar,Bowler,"2,00,00,000"
Alex Hales,Batsman,"2,00,00,000"
Marlon Samuels,Batsman,"2,00,00,000"
Brett Lee,Bowler,"2,00,00,000"
Samit Patel,All-Rounder,"2,00,00,000"
Mahela Jayawardena,Batsman,"2,00,00,000"
Craig Kieswetter,Wicket Keeper,"1,50,00,000"
Cameron White,Batsman,"1,50,00,000"
Luke Wright,All-Rounder,"1,50,00,000"
Rangana Herath,Bowler,"1,50,00,000"
Brad Hogg,Bowler,"1,50,00,000"
Rikki Clarke,All-Rounder,"1,50,00,000"
Matthew Wade,Wicket Keeper,"1,00,00,000"
David Hussey,All-Rounder,"1,00,00,000"
Azhar Mahmood,All-Rounder,"1,00,00,000"
Nathan McCullum,Bowler,"1,00,00,000"
Robin Peterson,Bowler,"1,00,00,000"
Subramaniam Badrinath,Batsman,"1,00,00,000"
Ian Bell,Batsman,"1,00,00,000"
Ravi Bopara,All-Rounder,"1,00,00,000"
Daniel Christian,All-Rounder,"1,00,00,000"
RP Singh,Bowler,"1,00,00,000"
Nathan Lyon,Bowler,"1,00,00,000"
Imran Tahir,Bowler,"1,00,00,000"
Adam Voges,Batsman,"1,00,00,000"
Michael Klinger,Batsman,"1,00,00,000"
Johan Botha,All-Rounder,"1,00,00,000"
Jesse Ryder,All-Rounder,"1,00,00,000"
Sachithra Senanayaka,All-Rounder,"1,00,00,000"
Fidel Edwards,Bowler,"1,00,00,000"
Manpreet Gony,Bowler,"1,00,00,000"
Clinton McKay,Bowler,"1,00,00,000"
Phillip Hughes,Batsman,"1,00,00,000"
Vernon Philander,All-Rounder,"1,00,00,000"
Ryan McLaren,Bowler,"1,00,00,000"
Dirk Nannes,Bowler,"1,00,00,000"
Shaun Tait,Bowler,"1,00,00,000"
Robert Quiney,Batsman,"1,00,00,000"
Kemar Roach,Bowler,"1,00,00,000"
Kyle Mills,Bowler,"1,00,00,000"
Kusal Janith Perera,Wicket Keeper,"50,00,000"
Ajantha Mendis,Bowler,"50,00,000"
Darren Bravo,Batsman,"50,00,000"
Martin Guptill,Batsman,"50,00,000"
Tamim Iqbal,Batsman,"50,00,000"
Lendl Simmons,Batsman,"50,00,000"
Prasanna Jayawardene,Wicket Keeper,"50,00,000"
Tim Paine,Wicket Keeper,"50,00,000"
Munaf Patel,Bowler,"50,00,000"
Herschelle Gibbs,Batsman,"50,00,000"
Neil McKenzie,Batsman,"50,00,000"
Ben Rohrer,Batsman,"50,00,000"
Hamish Rutherford,Batsman,"50,00,000"
James Franklin,All-Rounder,"50,00,000"
Nicky Boje,Bowler,"50,00,000"
Travis Birt,Batsman,"50,00,000"
Dean Elgar,Batsman,"50,00,000"
Richard Levi,Batsman,"50,00,000"
Luke Pomersbach,Batsman,"50,00,000"
Kieran Powell,Batsman,"50,00,000"
Lahiru Thirimanna,Batsman,"50,00,000"
Vaughn Van Jaarsveld,Batsman,"50,00,000"
Christopher Barnwell,All-Rounder,"50,00,000"
Dimitri Mascarenhas,All-Rounder,"50,00,000"
Jeevan Mendis,All-Rounder,"50,00,000"
Jackson Bird,Bowler,"50,00,000"
Doug Bollinger,Bowler,"50,00,000"
Abhimanyu Mithun,Bowler,"50,00,000"
Callum Ferguson,Batsman,"50,00,000"
Dilshan Munaweera,Batsman,"50,00,000"
Sheldon Cottrell,Bowler,"50,00,000"
Jade Dernbach,Bowler,"50,00,000"
Nuwan Kulasekara,Bowler,"50,00,000"
Shaminda Eranga,Bowler,"50,00,000"
Rory Kleinveldt,Bowler,"50,00,000"
Suranga Lakmal,Bowler,"50,00,000"
Rilee Rossouw,Batsman,"30,00,000"
Hanuma Vihari,Batsman,"30,00,000"
Mahesh Rawat,Wicket Keeper,"30,00,000"
Nitin Saini,Wicket Keeper,"30,00,000"
