PLAYER,TYPE,BASE PRICE
Adam Zampa,Bowler,"1,50,00,000"
Vinay Kumar,Bowler,"1,00,00,000"
James Pattinson,Bowler,"1,00,00,000"
Liam Plunkett,Bowler,"1,00,00,000"
Martin Guptill,Batsman,"1,00,00,000"
Evin Lewis,Batsman,"1,00,00,000"
Yusuf Pathan,All-Rounder,"1,00,00,000"
Colin Munro,All-Rounder,"1,00,00,000"
Mustafizur Rahman,Bowler,"1,00,00,000"
Tim Southee,Bowler,"1,00,00,000"
Jason Holder,All-Rounder,"75,00,000"
Colin De Grandhomme,All-Rounder,"75,00,000"
Ben Cutting,All-Rounder,"75,00,000"
Sean Abbott,Bowler,"75,00,000"
Mushfiqur Rahim,Wicket Keeper,"75,00,000"
Ish Sodhi,Bowler,"75,00,000"
Kesrick Williams,Bowler,"50,00,000"
Colin Ingram,Batsman,"50,00,000"
Cheteshwar Pujara,Batsman,"50,00,000"
Hanuma Vihari,Batsman,"50,00,000"
Stuart Binny,All-Rounder,"50,00,000"
Manoj Tiwary,Batsman,"50,00,000"
Carlos Brathwaite,All-Rounder,"50,00,000"
Adam Milne,Bowler,"50,00,000"
Rishi Dhawan,All-Rounder,"50,00,000"
Shai Hope,Wicket Keeper,"50,00,000"
Heinrich Klaasen,Wicket Keeper,"50,00,000"
Anrich Nortje,Bowler,"50,00,000"
Naman Ojha,Wicket Keeper,"50,00,000"
Kusal Janith Perera,Wicket Keeper,"50,00,000"
Andile Phehlukwayo,All-Rounder,"50,00,000"
Barinder Singh Sran,Bowler,"50,00,000"
Mark Wood,Bowler,"50,00,000"
Matt Henry,Bowler,"50,00,000"
Alzarri Joseph,Bowler,"50,00,000"
Zahir Khan Pakteen,Bowler,"50,00,000"
Hayden Walsh,Bowler,"50,00,000"
Riley Meredith,Bowler,"40,00,000"
Noor Ahmad,Bowler,"30,00,000"
Pravin Dubey,All-Rounder,"20,00,000"
Shams Mulani,All-Rounder,"20,00,000"
Sumit Kumar,All-Rounder,"20,00,000"
Aryan Juyal,Wicket Keeper,"20,00,000"
Lalit Yadav,Bowler,"20,00,000"
Kuldeep Sen,Bowler,"20,00,000"
Harpreet Bhatia,Batsman,"20,00,000"
Rohan Kadam,Batsman,"20,00,000"
Manjot Kalra,Batsman,"20,00,000"
Shahrukh Khan,All-Rounder,"20,00,000"
George Garton,All-Rounder,"20,00,000"
Daniel Sams,All-Rounder,"20,00,000"
Rahul Shukla,Bowler,"20,00,000"
Ankush Bains,Wicket Keeper,"20,00,000"
Kona Srikar Bharat,Wicket Keeper,"20,00,000"
Yudhvir Charak,All-Rounder,"20,00,000"
Kedar Devdhar,Wicket Keeper,"20,00,000"
Vishnu Vinod,Wicket Keeper,"20,00,000"
Sujit Nayak,All-Rounder,"20,00,000"
Nathan Ellis,Bowler,"20,00,000"
Vaibhav Arora,Bowler,"20,00,000"
Saurabh Dubey,Bowler,"20,00,000"
Kulwant Khejroliya,Bowler,"20,00,000"
K.C Cariappa,Bowler,"20,00,000"
Midhun Sudhesan,All-Rounder,"20,00,000"
Ayush Badoni,All-Rounder,"20,00,000"
Angelo Mathews,All-Rounder,"2,00,00,000"
Kyle Abbott,Bowler,"1,50,00,000"
Shaun Marsh,Batsman,"1,50,00,000"
David Willey,All-Rounder,"1,50,00,000"
Matthew Wade,Wicket Keeper,"1,00,00,000"
Ashton Agar,All-Rounder,"1,00,00,000"
Moises Henriques,All-Rounder,"1,00,00,000"
D'Arcy Short,All-Rounder,"1,00,00,000"
Alex Hales,Batsman,"1,00,00,000"
Rilee Rossouw,Batsman,"1,00,00,000"
Thisara Perera,All-Rounder,"1,00,00,000"
Ashton Turner,All-Rounder,"75,00,000"
Saqib Mahmood,Bowler,"75,00,000"
Lendl Simmons,Batsman,"75,00,000"
David Wiese,All-Rounder,"75,00,000"
Marchant De Lange,Bowler,"75,00,000"
Corey Anderson,All-Rounder,"75,00,000"
Dan Christian,All-Rounder,"75,00,000"
Mohammad Mahmudullah,All-Rounder,"75,00,000"
Wiaan Mulder,All-Rounder,"50,00,000"
Dasun Shanaka,All-Rounder,"50,00,000"
Jon-Jon Trevor Smuts,All-Rounder,"50,00,000"
Ashoke Dinda,Bowler,"50,00,000"
Dushmantha Chameera,Bowler,"50,00,000"
Obed McCoy,Bowler,"50,00,000"
