PLAYER,TYPE,BASE PRICE
Tim Ludeman,Wicket Keeper,"30,00,000"
Adam Zampa,All-Rounder,"30,00,000"
Nicholas Winter,Bowler,"20,00,000"
Marcus Harris,Batsman,"20,00,000"
Craig Simmons,Batsman,"20,00,000"
Ronsford Beaton,Bowler,"20,00,000"
Dwaine Pretorius,All-Rounder,"20,00,000"
Debabrata Das,Batsman,"20,00,000"
Amit Paunikar,Wicket Keeper,"20,00,000"
Pradeep Sangwan,Bowler,"20,00,000"
Krishnakant Upadhyay,Bowler,"20,00,000"
Shadab Jakati,Bowler,"20,00,000"
James Perison,Wicket Keeper,"20,00,000"
Rajagopal Sathish,All-Rounder,"20,00,000"
Ashish Hooda,Bowler,"10,00,000"
Pankaj Jaswal,Bowler,"10,00,000"
Baltej Singh,Bowler,"10,00,000"
Jaskaran Singh,Bowler,"10,00,000"
Jaydev Gokul Bista,Batsman,"10,00,000"
Sudip Chatterjee,Batsman,"10,00,000"
Prashant Chopra,Batsman,"10,00,000"
Mukul Dagar,Batsman,"10,00,000"
Nikhil Gangta,Batsman,"10,00,000"
Hendrick Van der Dussen,Batsman,"10,00,000"
Jagrit Anand,All-Rounder,"10,00,000"
Rohit Dahiya,All-Rounder,"10,00,000"
Cameron Delport,All-Rounder,"10,00,000"
Swarupam Purkaystha,All-Rounder,"10,00,000"
Vijay Shankar,All-Rounder,"10,00,000"
Bipul Sharma,All-Rounder,"10,00,000"
Kshitiz Sharma,All-Rounder,"10,00,000"
Swapnil Singh,All-Rounder,"10,00,000"
Ishwar Chaudhary,Bowler,"10,00,000"
Arup Das,Bowler,"10,00,000"
Shahnawaz Hussain,Bowler,"10,00,000"
Javed Khan,Bowler,"10,00,000"
Sagar Mangalorkar,Bowler,"10,00,000"
Babashafi Khan Pathan,Bowler,"10,00,000"
Shelly Shaurya,Bowler,"10,00,000"
Maninder Singh,Bowler,"10,00,000"
Siddarth Trivedi,Bowler,"10,00,000"
Arjit Gupta,Batsman,"10,00,000"
Sagan Kamat,Batsman,"10,00,000"
Bhargav Merai,Batsman,"10,00,000"
K. Bharath Shankar,Batsman,"10,00,000"
Rinku Singh,Batsman,"10,00,000"
Robin Singh Bist,Batsman,"10,00,000"
Praful Waghela,Batsman,"10,00,000"
Saurabh Pradeep Wawaskar,Batsman,"10,00,000"
Tanmay Agarwal,All-Rounder,"10,00,000"
Amogh Sunil Desai,All-Rounder,"10,00,000"
B Indrajith,All-Rounder,"10,00,000"
David Keelan Mathias,All-Rounder,"10,00,000"
Abhishek Raut,All-Rounder,"10,00,000"
Rituraj Singh,All-Rounder,"10,00,000"
Varun Sood,All-Rounder,"10,00,000"
Paul Valthaty,All-Rounder,"10,00,000"
Amit Verma,All-Rounder,"10,00,000"
Manjeet Kumar Chaudhary,Bowler,"10,00,000"
Puneed Datey,Bowler,"10,00,000"
Gauresh Gawas,Bowler,"10,00,000"
Avesh Khan,Bowler,"10,00,000"
M. Ravi Kiran,Bowler,"10,00,000"
Mohammed Mudhasir,Bowler,"10,00,000"
Saurabh Naresh Netravalkar,Bowler,"10,00,000"
Anupam Amrut Sanklecha,Bowler,"10,00,000"
Mehjoor Sofi,Bowler,"10,00,000"
Kshemal Waingankar,Bowler,"10,00,000"
Sandipan Das,All-Rounder,"10,00,000"
Dheeraj Goswami,All-Rounder,"10,00,000"
Vishal Kushwah,All-Rounder,"10,00,000"
Anustup Majumdar,All-Rounder,"10,00,000"
Jamaluddin Syed Mohammad,All-Rounder,"10,00,000"
Wilkin Mota,All-Rounder,"10,00,000"
Krunal Pandya,All-Rounder,"10,00,000"
Raiphi Vincent Gomez,All-Rounder,"10,00,000"
Shreekant Wagh,All-Rounder,"10,00,000"
Vijaykumar Yo Mahesh,All-Rounder,"10,00,000"
Imtiyaz Ahmed,Bowler,"10,00,000"
Palani Amarnath,Bowler,"10,00,000"
Jagjot Gill,Bowler,"10,00,000"
Poonam Poonia,Bowler,"10,00,000"
Pratik Sinha,Bowler,"10,00,000"
Cheepurupalli Stephen,Bowler,"10,00,000"
Saurabh Bandekar,All-Rounder,"10,00,000"
Samiullah Beigh,All-Rounder,"10,00,000"
Kumar Deobrat,All-Rounder,"10,00,000"
Rahul Dewan,All-Rounder,"10,00,000"
Raghav Dhawan,All-Rounder,"10,00,000"
Abhimanyu Khod,All-Rounder,"10,00,000"
Chirag Khurana,All-Rounder,"10,00,000"
Priyank Panchal,All-Rounder,"10,00,000"
Rohan Prem,All-Rounder,"10,00,000"
Samarth Singh,All-Rounder,"10,00,000"
Saly Vishwanadh,All-Rounder,"10,00,000"
Jaskarandeep Singh Buttar,All-Rounder,"10,00,000"
Shasikant Kadam,All-Rounder,"10,00,000"
M. Shahruk Khan,All-Rounder,"10,00,000"
Ankit Kushwah,All-Rounder,"10,00,000"
Pradeep Sachan,All-Rounder,"10,00,000"
Jatin Saxena,All-Rounder,"10,00,000"
Shubham Sharma,All-Rounder,"10,00,000"
Ankit Shastri,All-Rounder,"10,00,000"
Rohan Shrivastava,All-Rounder,"10,00,000"
Vinay Choudary,All-Rounder,"10,00,000"
CHathuranga De Silva,All-Rounder,"10,00,000"
Swapnil Gugale,All-Rounder,"10,00,000"
Chirag Jani,All-Rounder,"10,00,000"
Karan Kalia,All-Rounder,"10,00,000"
Melu Kranthi Kumar,All-Rounder,"10,00,000"
Selvam Suresh Kumar,All-Rounder,"10,00,000"
Arib Nandi,All-Rounder,"10,00,000"
Akash Parkar,All-Rounder,"10,00,000"
Ankit Soni,All-Rounder,"10,00,000"
Avinash Yadav,All-Rounder,"10,00,000"
Sachin Rana,All-Rounder,"10,00,000"
Akshath Reddy,Batsman,"10,00,000"
Rajesh Bishnoi,All-Rounder,"10,00,000"
Paras Dogra,Batsman,"10,00,000"
Mohnish Mishra,Batsman,"10,00,000"
Yogesh Nagar,Batsman,"10,00,000"
Tirumalasetti Suman,Batsman,"10,00,000"
Davy Jacobs,Wicket Keeper,"10,00,000"
K.B Arun Karthik,Wicket Keeper,"10,00,000"
Smit Patel,Wicket Keeper,"10,00,000"
Robbie Frylinck,All-Rounder,"10,00,000"
Jesal Karia,All-Rounder,"10,00,000"
Ashok Menaria,All-Rounder,"10,00,000"
Shrikant Mundhe,All-Rounder,"10,00,000"
Ram Dayal Punia,All-Rounder,"10,00,000"
Amit Mishra,Bowler,"10,00,000"
HS Sharath,Bowler,"10,00,000"
Rahul Shukla,Bowler,"10,00,000"
Aravind Sreenath,Bowler,"10,00,000"
Basil Thamhy,Bowler,"10,00,000"
Bhargav Bhatt,Bowler,"10,00,000"
Mihir HIrwani,Bowler,"10,00,000"
Sarabjit Ladda,Bowler,"10,00,000"
Ali Murtaza,Bowler,"10,00,000"
Rahil S Shah,Bowler,"10,00,000"
Swapnil Asnodkar,Batsman,"10,00,000"
Sachin Baby,Batsman,"10,00,000"
Udit Birla,Batsman,"10,00,000"
Arindam Ghosh,Batsman,"10,00,000"
Ishank Jaggi,All-Rounder,"10,00,000"
Manprit Juneja,Batsman,"10,00,000"
Abrar Anjum Kazi,All-Rounder,"10,00,000"
Taruwar Kohli,Batsman,"10,00,000"
Milind Kumar,Batsman,"10,00,000"
Avi Barot,Wicket Keeper,"10,00,000"
Ian Coster,Wicket Keeper,"10,00,000"
Gitansh Khera,Wicket Keeper,"10,00,000"
Abdul Ahad Malek,Wicket Keeper,"10,00,000"
Dhwanil Patel,Wicket Keeper,"10,00,000"
Mahesh Rawat,Wicket Keeper,"10,00,000"
Jitesh Sharma,Wicket Keeper,"10,00,000"
Umang Sharma,Wicket Keeper,"10,00,000"
Rush Kalaria,All-Rounder,"10,00,000"
Darshan Misal,All-Rounder,"10,00,000"
Biplab Samantray,All-Rounder,"10,00,000"
Manan Ajay Sharma,All-Rounder,"10,00,000"
Harmeet Singh,All-Rounder,"10,00,000"
Harpreet Singh,All-Rounder,"10,00,000"
Amit Yadav,All-Rounder,"10,00,000"
Harmeet Singh Bansal,Bowler,"10,00,000"
Deepak Chahar,Bowler,"10,00,000"
Aniket Choudhary,Bowler,"10,00,000"
Lukman Iqbal Meriwala,Bowler,"10,00,000"
Umar Nazir,Bowler,"10,00,000"
Prasanth Parameswaran,Bowler,"10,00,000"
Anand Rajan,Bowler,"10,00,000"
Ankit Singh Rajpoot,Bowler,"10,00,000"
Navdeep Saini,Bowler,"10,00,000"
Vikas Tokas,Bowler,"10,00,000"
Yuvraj Chudasama,Bowler,"10,00,000"
Udit Patel,Bowler,"10,00,000"
Samar Quadri,Bowler,"10,00,000"
Lakshan Sandakan,Bowler,"10,00,000"
Gurvinder Singh,Bowler,"10,00,000"
Rajwinder Singh,Bowler,"10,00,000"
Bharat Solanki,Bowler,"10,00,000"
Ankeet Bawane,All-Rounder,"10,00,000"
Akhil Arvind Herwadkar,Batsman,"10,00,000"
Shubham Khajuria,Batsman,"10,00,000"
Evin Lewis,Batsman,"10,00,000"
Prashant Naik,Batsman,"10,00,000"
Sujit Nayak,Batsman,"10,00,000"
R Samarth,Batsman,"10,00,000"
Virat Singh,Batsman,"10,00,000"
Akash Bhandari,All-Rounder,"10,00,000"
Kuldeep Hooda,All-Rounder,"10,00,000"
Sunil N Raju,All-Rounder,"10,00,000"
Amitoze Singh,All-Rounder,"10,00,000"
Gurinder Singh,All-Rounder,"10,00,000"
Prathamesh Ganesh Dake,Bowler,"10,00,000"
Ryan Duffield,Bowler,"10,00,000"
Samad Fallah,Bowler,"10,00,000"
