Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Morne Morkel,False,,DC,Delhi Capitals,16,16,453,154,18.12,15.12,7.19,63,0,0,25,4/20,4/20,1,1,0,378
Sunil Narine,False,,KKR,Kolkata Knight Riders,15,15,324,164,13.5,14.79,5.47,59,2,0,24,5/19,5/19,1,1,1,354
Lasith Malinga,False,,MI,Mumbai Indians,14,14,350,145,15.9,15.13,6.3,55,4,3,22,5/13,5/13,1,1,0,330
Umesh Yadav,False,,DC,Delhi Capitals,17,17,453,145,23.84,19.26,7.42,61,0,0,19,4/24,4/24,2,0,0,366
Vinay Kumar,False,,RCB,Royal Challengers Bangalore,15,14,480,123,25.26,17.63,8.59,56,3,2,19,4/40,4/40,0,0,0,336
Dale Steyn,False,,DEC,Deccan Chargers,12,12,285,138,15.83,15.55,6.1,46,0,1,18,3/11,3/11,2,0,0,276
Parvinder Awana,False,,PBKS,Punjab Kings,12,12,372,112,21.88,16.58,7.91,47,0,0,17,4/34,4/34,0,1,0,282
Zaheer Khan,False,,RCB,Royal Challengers Bangalore,16,15,453,146,26.64,21.17,7.55,60,1,0,17,4/17,4/17,1,0,0,360
Kieron Pollard,False,,MI,Mumbai Indians,14,14,350,85,21.87,16.43,7.98,44,15,14,16,4/44,4/44,0,1,0,264
Piyush Chawla,False,,PBKS,Punjab Kings,16,16,419,124,26.18,21.37,7.35,57,9,4,16,4/17,4/17,1,0,0,342
Dwayne Bravo,False,,CSK,Chennai Super Kings,19,18,461,110,30.73,23.06,7.99,57,20,20,15,4/22,4/22,0,0,0,342
Jacques Kallis,False,,KKR,Kolkata Knight Riders,17,16,403,112,26.86,21.6,7.46,54,34,10,15,3/13,3/13,0,0,0,324
Munaf Patel,False,,MI,Mumbai Indians,12,12,367,123,24.46,18.66,7.86,46,0,0,15,5/21,5/21,2,2,0,276
Muttiah Muralitharan,False,,RCB,Royal Challengers Bangalore,10,10,260,82,17.33,16.0,6.5,40,0,0,15,3/11,3/11,0,0,0,240
Azhar Mahmood,False,,PBKS,Punjab Kings,11,11,329,95,23.5,18.28,7.71,42,16,8,14,3/20,3/20,0,0,0,252
Ben Hilfenhaus,False,,CSK,Chennai Super Kings,9,9,233,103,16.64,14.57,6.85,34,0,0,14,3/27,3/27,2,0,0,204
Ravichandran Ashwin,False,,CSK,Chennai Super Kings,19,18,432,141,30.85,28.21,6.56,66,2,0,14,4/34,4/34,0,0,0,396
