Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Imran Tahir,False,,CSK,Chennai Super Kings,17,17,431,149,16.57,14.84,6.69,64,0,0,26,4/12,4/12,1,2,0,384
Kagiso Rabada,False,,DC,Delhi Capitals,12,12,368,113,14.72,11.28,7.82,47,0,1,25,4/21,4/21,0,2,0,282
Deepak Chahar,False,,CSK,Chennai Super Kings,17,17,482,190,21.9,17.59,7.47,64,1,0,22,4/13,4/13,2,0,0,384
Shreyas Gopal,False,,RR,Rajasthan Royals,14,14,347,107,17.35,14.4,7.22,48,8,1,20,4/16,4/16,1,0,0,288
Mohammad Shami,False,,PBKS,Punjab Kings,14,14,469,119,24.68,17.05,8.68,54,0,0,19,3/15,3/15,0,0,0,324
Khaleel Ahmed,False,,SRH,Sunrisers Hyderabad,9,9,287,87,15.1,11.0,8.23,35,0,0,19,3/21,3/21,0,0,0,210
Jasprit Bumrah,False,,MI,Mumbai Indians,16,16,409,169,21.52,19.47,6.63,61,0,0,19,4/14,4/14,1,0,0,366
Yuzvendra Chahal,False,,RCB,Royal Challengers Bangalore,14,14,386,117,21.44,16.44,7.82,49,0,0,18,4/25,4/25,1,1,0,294
Rashid Khan,False,,SRH,Sunrisers Hyderabad,15,15,377,166,22.17,21.17,6.28,60,2,2,17,3/19,3/19,1,0,0,360
Lasith Malinga,False,,MI,Mumbai Indians,12,12,438,91,27.37,16.81,9.76,45,0,0,16,5/13,5/13,0,2,0,270
Harbhajan Singh,False,,CSK,Chennai Super Kings,11,11,312,117,19.5,16.5,7.09,44,0,0,16,5/18,5/18,1,0,0,264
Ravichandran Ashwin,False,,PBKS,Punjab Kings,14,14,400,100,26.66,22.0,7.27,55,3,3,15,4/34,4/34,0,0,0,330
Ravindra Jadeja,False,,CSK,Chennai Super Kings,16,16,343,128,22.86,21.6,6.35,54,7,4,15,5/16,5/16,1,0,0,324
Hardik Pandya,False,,MI,Mumbai Indians,16,16,390,94,27.85,18.21,9.17,42,28,29,14,3/20,3/20,0,0,0,252
Chris Morris,False,,DC,Delhi Capitals,9,9,306,68,23.53,15.23,9.27,33,1,2,13,4/23,4/23,0,0,0,198
Rahul Chahar,False,,MI,Mumbai Indians,13,13,308,125,23.69,21.69,6.55,47,2,0,13,4/27,4/27,0,0,0,282
Ishant Sharma,False,,DC,Delhi Capitals,13,13,349,122,26.84,21.23,7.58,46,1,1,13,5/12,5/12,1,0,0,276
Bhuvneshwar Kumar,False,,SRH,Sunrisers Hyderabad,15,15,461,168,35.46,27.23,7.81,59,1,0,13,5/19,5/19,1,0,0,354
Krunal Pandya,False,,MI,Mumbai Indians,16,16,335,94,27.91,23.0,7.28,46,18,5,12,3/14,3/14,0,0,0,276
Sandeep Sharma,False,,SRH,Sunrisers Hyderabad,11,11,352,82,29.33,21.33,8.25,42,1,0,12,4/20,4/20,0,0,0,252
Dwayne Bravo,False,,CSK,Chennai Super Kings,12,12,330,74,30.0,22.45,8.01,41,6,3,11,4/22,4/22,0,0,0,246
Amit Mishra,False,,DC,Delhi Capitals,11,11,270,83,24.54,21.81,6.75,40,2,0,11,5/17,5/17,0,0,0,240
Andre Russell,False,,KKR,Kolkata Knight Riders,14,12,287,61,26.09,16.45,9.51,30,31,52,11,5/15,5/15,0,0,0,180
Navdeep Saini,False,,RCB,Royal Challengers Bangalore,13,13,397,141,36.09,26.18,8.27,48,0,0,11,2/24,2/24,0,0,0,288
Jofra Archer,False,,RR,Mumbai Indians,11,11,291,121,26.45,23.45,6.76,43,4,4,11,3/15,3/15,2,0,0,258
Sam Curran,False,,PBKS,Punjab Kings,9,9,323,60,32.3,19.8,9.78,33,13,3,10,4/11,4/11,0,1,0,198
Axar Patel,False,,DC,Delhi Capitals,14,14,364,110,36.4,30.6,7.13,51,10,3,10,4/21,4/21,0,0,0,306
Piyush Chawla,False,,KKR,Kolkata Knight Riders,13,13,399,87,39.9,26.7,8.96,44,4,2,10,4/17,4/17,0,0,0,264
Sunil Narine,False,,KKR,Kolkata Knight Riders,12,12,347,96,34.7,26.6,7.82,44,17,9,10,5/19,5/19,1,0,0,264
Jaydev Unadkat,False,,RR,Mumbai Indians,11,11,398,58,39.8,22.4,10.66,37,0,0,10,5/25,5/25,0,0,0,222
Keemo Paul,False,,DC,Delhi Capitals,8,8,237,54,26.33,18.11,8.72,27,1,1,9,3/17,3/17,0,0,0,162
Shardul Thakur,False,,CSK,Chennai Super Kings,10,9,281,65,35.12,22.5,9.36,30,1,1,8,3/19,3/19,0,0,0,180
