Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Pragyan Ojha,False,,DEC,Deccan Chargers,16,16,429,134,20.42,16.8,7.29,59,0,0,21,3/11,3/11,0,0,0,354
Harbhajan Singh,False,,MI,Mumbai Indians,15,14,377,102,22.17,18.88,7.04,53,12,5,17,5/18,5/18,1,0,0,318
Anil Kumble,False,,RCB,Royal Challengers Bangalore,16,16,407,151,23.94,22.35,6.42,63,0,0,17,5/5,5/5,0,1,0,378
Amit Mishra,False,,DC,Delhi Capitals,14,14,363,131,21.35,18.7,6.84,53,1,0,17,5/17,5/17,0,0,0,318
Vinay Kumar,False,,RCB,Royal Challengers Bangalore,14,14,396,101,24.75,17.31,8.57,46,1,0,16,4/40,4/40,0,1,0,276
Zaheer Khan,False,,MI,Mumbai Indians,14,14,376,107,25.06,19.33,7.77,48,3,1,15,4/17,4/17,1,0,0,288
Dale Steyn,False,,RCB,Royal Challengers Bangalore,15,15,406,164,27.06,23.6,6.88,59,2,0,15,3/11,3/11,1,0,0,354
Irfan Pathan,False,,PBKS,Punjab Kings,14,14,426,98,28.4,18.53,9.19,46,21,10,15,3/24,3/24,0,0,0,276
Kieron Pollard,False,,MI,Mumbai Indians,14,12,274,58,18.26,14.8,7.4,37,23,17,15,4/44,4/44,0,0,0,222
Lasith Malinga,False,,MI,Mumbai Indians,13,13,344,116,22.93,19.6,7.02,49,0,0,15,5/13,5/13,0,1,0,294
Muttiah Muralitharan,False,,CSK,Chennai Super Kings,12,12,329,121,21.93,19.2,6.85,48,0,0,15,3/11,3/11,0,0,0,288
Ryan Harris,False,,DEC,Deccan Chargers,8,8,233,82,16.64,13.14,7.59,30,2,2,14,4/34,4/34,0,0,0,180
Ravichandran Ashwin,False,,CSK,Chennai Super Kings,12,12,293,125,22.53,22.15,6.1,48,2,0,13,4/34,4/34,1,0,0,288
RP Singh,False,,DEC,Deccan Chargers,12,12,370,99,28.46,19.38,8.8,42,0,0,13,4/22,4/22,0,0,0,252
Jacques Kallis,False,,RCB,Royal Challengers Bangalore,16,16,476,118,36.61,26.3,8.35,57,67,9,13,3/13,3/13,1,0,0,342
Shadab Jakati,False,,CSK,Chennai Super Kings,11,11,291,82,22.38,17.53,7.65,38,0,0,13,4/22,4/22,1,0,0,228
Piyush Chawla,False,,PBKS,Punjab Kings,14,14,367,94,30.58,24.5,7.48,49,7,0,12,4/17,4/17,0,0,0,294
Doug Bollinger,False,,CSK,Chennai Super Kings,8,8,207,94,17.25,15.5,6.67,31,1,1,12,4/13,4/13,2,1,0,186
Andrew Symonds,False,,DEC,Deccan Chargers,16,16,372,107,31.0,26.5,7.01,53,35,18,12,3/21,3/21,0,0,0,318
Siddharth Trivedi,False,,RR,Rajasthan Royals,11,10,260,69,23.63,19.36,7.32,35,3,1,11,4/25,4/25,0,0,0,210
Shane Warne,False,,RR,Rajasthan Royals,14,14,381,94,34.63,27.27,7.62,50,0,0,11,4/21,4/21,0,1,0,300
Albie Morkel,False,,CSK,Chennai Super Kings,14,14,405,97,36.81,26.0,8.49,47,10,13,11,4/32,4/32,1,0,0,282
Shaun Tait,False,,RR,Rajasthan Royals,8,8,264,70,26.4,18.7,8.47,31,0,1,10,3/13,3/13,0,0,0,186
Praveen Kumar,False,,RCB,Royal Challengers Bangalore,12,12,380,110,38.0,27.0,8.44,45,0,0,10,3/18,3/18,0,0,0,270
Murali Kartik,False,,KKR,Kolkata Knight Riders,10,10,253,77,28.11,26.0,6.48,39,2,0,9,3/17,3/17,0,0,0,234
Pradeep Sangwan,False,,DC,Delhi Capitals,8,8,258,71,28.66,20.66,8.32,31,0,0,9,3/18,3/18,0,0,0,186
Ashok Dinda,False,,KKR,Kolkata Knight Riders,7,7,152,64,16.88,15.44,6.56,23,0,0,9,4/18,4/18,0,0,0,138
Shane Bond,False,,KKR,Kolkata Knight Riders,8,8,224,75,24.88,20.66,7.22,31,0,0,9,2/24,2/24,1,0,0,186
Chaminda Vaas,False,,DEC,Deccan Chargers,6,6,139,63,15.44,14.66,6.31,22,1,1,9,3/21,3/21,2,0,0,132
Harmeet Singh Bansal,False,,DEC,Deccan Chargers,8,8,174,60,21.75,18.0,7.25,24,0,0,8,3/24,3/24,0,0,0,144
MF Maharoof,False,,DC,Delhi Capitals,7,7,206,54,25.75,18.0,8.58,24,2,2,8,3/34,3/34,0,0,0,144
Angelo Mathews,False,,KKR,Kolkata Knight Riders,14,12,314,58,39.25,28.12,8.37,37,18,8,8,4/19,4/19,0,1,0,222
Dilhara Fernando,False,,MI,Mumbai Indians,5,5,138,50,19.71,16.28,7.26,19,0,0,7,4/18,4/18,0,0,0,114
Ishant Sharma,False,,KKR,Kolkata Knight Riders,7,7,236,54,33.71,21.42,9.44,25,0,0,7,5/12,5/12,0,0,0,150
Lakshmipathy Balaji,False,,CSK,Chennai Super Kings,7,7,207,50,29.57,20.0,8.87,23,1,1,7,5/24,5/24,0,0,0,138
Dirk Nannes,False,,DC,Delhi Capitals,9,9,224,93,32.0,29.42,6.52,34,0,0,7,3/27,3/27,0,0,0,204
Juan Theron,False,,PBKS,Punjab Kings,7,7,187,44,31.16,24.0,7.79,24,0,0,6,2/17,2/17,0,0,0,144
Shane Watson,False,,RR,Rajasthan Royals,6,6,184,61,30.66,22.0,8.36,22,18,9,6,4/29,4/29,0,0,0,132
Umesh Yadav,False,,DC,Delhi Capitals,7,7,184,55,30.66,24.0,7.66,24,0,0,6,4/24,4/24,0,0,0,144
Jaskaran Singh,False,,DEC,Deccan Chargers,6,6,139,31,23.16,14.0,9.92,14,0,0,6,2/18,2/18,0,0,0,84
Ashish Nehra,False,,DC,Delhi Capitals,4,4,96,37,16.0,14.0,6.85,14,2,1,6,4/10,4/10,0,0,0,84
Shalabh Srivastava,False,,PBKS,Punjab Kings,8,8,255,54,42.5,27.0,9.44,27,0,0,6,2/20,2/20,0,0,0,162
Suresh Raina,False,,CSK,Chennai Super Kings,16,12,178,41,29.66,23.83,7.46,24,45,22,6,2/0,2/0,0,0,0,144
Rahul Sharma,False,,DEC,Deccan Chargers,6,6,167,40,33.4,24.8,8.08,20,3,1,5,3/13,3/13,0,0,0,120
Ravi Bopara,False,,PBKS,Punjab Kings,10,5,127,21,25.4,15.6,9.76,13,25,3,5,3/31,3/31,0,0,0,78
Thilan Thushara,False,,CSK,Chennai Super Kings,4,4,101,38,20.2,17.4,6.96,14,0,0,5,2/16,2/16,0,0,0,84
Aditya Dole,False,,RR,Rajasthan Royals,3,3,112,21,22.4,13.2,10.18,11,3,1,5,2/36,2/36,0,0,0,66
Yusuf Pathan,False,,RR,Rajasthan Royals,14,11,246,60,49.2,40.8,7.23,34,22,24,5,3/20,3/20,0,0,0,204
Paul Collingwood,False,,DC,Delhi Capitals,8,6,101,24,20.2,17.8,6.8,15,9,13,5,2/19,2/19,0,0,0,90
