Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Parveez Rasool,False,,SRH,Sunrisers Hyderabad,2,2,31,12,31.0,30.0,6.2,5,0,0,1,1/20,1/20,0,0,0,30
Shardul Thakur,False,,PBKS,Punjab Kings,1,1,38,5,38.0,18.0,12.66,3,1,0,1,3/19,3/19,0,0,0,18
Hardik Pandya,False,,MI,Mumbai Indians,9,8,176,29,176.0,102.0,10.35,17,9,8,1,3/20,3/20,0,0,0,102
Ishant Sharma,False,,SRH,Sunrisers Hyderabad,4,4,159,30,159.0,84.0,11.35,14,0,0,1,5/12,5/12,0,0,0,84
Ronit More,False,,CSK,Chennai Super Kings,2,2,59,4,59.0,35.0,10.11,6,0,0,1,1/31,1/31,0,0,0,36
Rishi Dhawan,False,,PBKS,Punjab Kings,5,5,110,20,110.0,72.0,9.16,12,2,2,1,2/14,2/14,0,0,0,72
Johan Botha,False,,KKR,Kolkata Knight Riders,4,4,81,19,81.0,60.0,8.1,10,5,1,1,3/6,3/6,0,0,0,60
Rahul Tewatia,False,,RR,Rajasthan Royals,1,1,31,6,31.0,18.0,10.33,3,0,0,1,3/18,3/18,0,0,0,18
Juan Theron,False,,RR,Rajasthan Royals,1,1,40,4,40.0,24.0,10.0,4,0,0,1,2/17,2/17,0,0,0,24
Karanveer Singh,False,,PBKS,Punjab Kings,4,4,157,22,157.0,84.0,11.21,14,1,0,1,4/54,4/54,0,0,0,84
KC Cariappa,False,,KKR,Kolkata Knight Riders,1,1,28,3,28.0,12.0,14.0,2,0,0,1,2/16,2/16,0,0,0,12
Pat Cummins,False,,KKR,Kolkata Knight Riders,3,3,97,22,97.0,60.0,9.7,10,0,0,1,4/34,4/34,0,0,0,60
