Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Sohail Tanvir,False,,RR,Rajasthan Royals,11,11,266,122,12.09,11.22,6.46,41,3,1,22,6/14,6/14,0,1,1,246
Shane Warne,False,,RR,Rajasthan Royals,15,15,404,108,21.26,16.42,7.76,52,7,2,19,4/21,4/21,1,0,0,312
Shanthakumaran Sreesanth,False,,PBKS,Punjab Kings,15,15,442,133,23.26,16.15,8.63,51,0,0,19,3/29,3/29,0,0,0,306
Piyush Chawla,False,,PBKS,Punjab Kings,15,15,389,112,22.88,16.52,8.3,47,10,3,17,4/17,4/17,0,0,0,282
Albie Morkel,False,,CSK,Chennai Super Kings,13,13,399,100,23.47,16.94,8.31,48,18,14,17,4/32,4/32,0,1,0,288
Shane Watson,False,,RR,Rajasthan Royals,15,15,383,158,22.52,19.11,7.07,54,47,19,17,4/29,4/29,0,0,0,324
Manpreet Gony,False,,CSK,Chennai Super Kings,16,16,443,157,26.05,21.17,7.38,60,2,3,17,3/31,3/31,3,0,0,360
Yo Mahesh,False,,DC,Delhi Capitals,11,11,370,94,23.12,15.81,8.77,42,0,0,16,4/36,4/36,0,1,0,252
Irfan Pathan,False,,PBKS,Punjab Kings,14,14,350,153,23.33,21.2,6.6,53,9,6,15,3/24,3/24,2,0,0,318
RP Singh,False,,DEC,Deccan Chargers,14,14,442,122,29.46,20.53,8.61,51,2,1,15,4/22,4/22,1,0,0,306
MF Maharoof,False,,DC,Delhi Capitals,10,10,249,84,16.6,14.4,6.91,36,10,7,15,3/34,3/34,0,0,0,216
Munaf Patel,False,,RR,Rajasthan Royals,15,15,420,141,30.0,23.57,7.63,55,0,0,14,5/21,5/21,1,0,0,330
Zaheer Khan,False,,RCB,Royal Challengers Bangalore,11,11,357,100,27.46,19.38,8.5,42,4,0,13,4/17,4/17,0,0,0,252
Siddharth Trivedi,False,,RR,Rajasthan Royals,15,15,399,104,30.69,22.15,8.31,48,0,0,13,4/25,4/25,0,0,0,288
Ashish Nehra,False,,MI,Mumbai Indians,14,14,348,121,29.0,22.41,7.76,45,0,0,12,4/10,4/10,0,0,0,270
Glenn McGrath,False,,DC,Delhi Capitals,14,14,357,154,29.75,27.0,6.61,54,1,0,12,4/29,4/29,2,1,0,324
Umar Gul,False,,KKR,Kolkata Knight Riders,6,6,184,51,15.33,11.25,8.17,22,1,5,12,4/23,4/23,1,1,0,132
Lakshmipathy Balaji,False,,CSK,Chennai Super Kings,9,9,286,60,26.0,18.0,8.66,33,0,0,11,5/24,5/24,0,0,1,198
Shaun Pollock,False,,MI,Mumbai Indians,13,13,301,131,27.36,25.09,6.54,46,12,8,11,3/12,3/12,1,0,0,276
Amit Mishra,False,,DC,Delhi Capitals,6,6,142,41,12.9,10.81,7.15,20,3,0,11,5/17,5/17,0,0,1,120
Dwayne Bravo,False,,MI,Mumbai Indians,9,9,232,66,21.09,15.54,8.14,28,19,5,11,4/22,4/22,1,0,0,168
Muttiah Muralitharan,False,,CSK,Chennai Super Kings,15,15,404,129,36.72,31.63,6.96,58,0,0,11,3/11,3/11,0,0,0,348
Dhawal Kulkarni,False,,MI,Mumbai Indians,10,10,236,77,21.45,16.09,8.0,29,0,0,11,4/14,4/14,0,0,0,174
Vikram Singh,False,,PBKS,Punjab Kings,13,13,420,95,38.18,26.18,8.75,48,1,0,11,3/29,3/29,0,0,0,288
Pragyan Ojha,False,,DEC,Deccan Chargers,13,12,284,71,25.81,20.18,7.67,37,0,0,11,3/11,3/11,0,0,0,222
Praveen Kumar,False,,RCB,Royal Challengers Bangalore,13,13,366,109,33.27,24.36,8.19,44,10,6,11,3/18,3/18,1,0,0,264
Dilhara Fernando,False,,MI,Mumbai Indians,5,5,160,51,16.0,12.0,8.0,20,0,0,10,4/18,4/18,0,1,0,120
Dale Steyn,False,,RCB,Royal Challengers Bangalore,10,10,252,116,25.2,22.8,6.63,38,0,0,10,3/11,3/11,0,0,0,228
Shahid Afridi,False,,DEC,Deccan Chargers,10,10,225,57,25.0,20.0,7.5,30,7,6,9,3/28,3/28,0,0,0,180
Ajit Agarkar,False,,KKR,Kolkata Knight Riders,9,9,207,66,25.87,19.5,7.96,26,5,2,8,3/25,3/25,0,0,0,156
Mohammad Asif,False,,DC,Delhi Capitals,8,8,296,64,37.0,24.0,9.25,32,0,0,8,2/19,2/19,0,0,0,192
Joginder Sharma,False,,CSK,Chennai Super Kings,8,7,239,43,29.87,18.5,9.68,24,1,1,8,2/27,2/27,0,0,0,144
Ashok Dinda,False,,KKR,Kolkata Knight Riders,13,12,258,112,32.25,28.5,6.78,38,0,0,8,4/18,4/18,0,0,0,228
Yusuf Pathan,False,,RR,Rajasthan Royals,16,13,230,60,28.75,21.12,8.16,28,43,25,8,3/20,3/20,0,0,0,168
Ishant Sharma,False,,KKR,Kolkata Knight Riders,13,13,331,114,41.37,32.37,7.66,43,1,0,8,5/12,5/12,1,0,0,258
James Hopes,False,,PBKS,Punjab Kings,11,11,276,54,39.42,24.0,9.85,28,27,8,7,2/2,2/2,0,0,0,168
Palani Amarnath,False,,CSK,Chennai Super Kings,6,6,236,32,33.71,18.85,10.72,22,0,0,7,2/29,2/29,0,0,0,132
Anil Kumble,False,,RCB,Royal Challengers Bangalore,10,10,304,85,43.42,32.85,7.93,38,1,0,7,5/5,5/5,0,0,0,228
Makhaya Ntini,False,,CSK,Chennai Super Kings,9,9,242,99,34.57,30.0,6.91,35,2,0,7,4/21,4/21,2,1,0,210
Laxmi Ratan Shukla,False,,KKR,Kolkata Knight Riders,13,9,124,18,20.66,12.0,10.33,12,17,5,6,3/25,3/25,0,0,0,72
Rajat Bhatia,False,,DC,Delhi Capitals,9,9,183,48,30.5,22.0,8.31,22,2,2,6,4/15,4/15,0,0,0,132
Sourav Ganguly,False,,KKR,Kolkata Knight Riders,13,7,128,46,21.33,20.0,6.4,20,33,15,6,2/21,2/21,0,0,0,120
Rohan Raje,False,,MI,Mumbai Indians,6,6,137,29,27.4,19.6,8.38,16,1,0,5,2/16,2/16,0,0,0,96
Harbhajan Singh,False,,MI,Mumbai Indians,3,3,82,16,16.4,12.0,8.2,10,1,3,5,5/18,5/18,0,0,0,60
Dwayne Smith,False,,MI,Mumbai Indians,4,4,83,25,16.6,13.2,7.54,11,5,1,5,4/8,4/8,0,0,0,66
Shoaib Akhtar,False,,KKR,Kolkata Knight Riders,3,3,54,23,10.8,8.4,7.71,7,0,0,5,4/11,4/11,0,1,0,42
Chaminda Vaas,False,,DEC,Deccan Chargers,5,5,145,41,29.0,20.4,8.52,17,0,1,5,3/21,3/21,0,0,0,102
Vinay Kumar,False,,RCB,Royal Challengers Bangalore,8,8,182,59,36.4,27.6,7.91,23,2,1,5,4/40,4/40,0,0,0,138
Pradeep Sangwan,False,,DC,Delhi Capitals,7,7,215,47,43.0,28.8,8.95,24,0,0,5,3/18,3/18,0,0,0,144
Brett Lee,False,,PBKS,Punjab Kings,4,4,112,45,28.0,24.0,7.0,16,2,1,4,3/15,3/15,0,0,0,96
Sanath Jayasuriya,False,,MI,Mumbai Indians,14,8,159,36,39.75,31.5,7.57,21,58,31,4,3/14,3/14,1,0,0,126
Sanjay Bangar,False,,DEC,Deccan Chargers,11,9,219,55,54.75,37.5,8.76,25,1,3,4,2/34,2/34,0,0,0,150
Jacques Kallis,False,,RCB,Royal Challengers Bangalore,11,11,311,55,77.75,51.5,9.05,34,23,4,4,3/13,3/13,0,0,0,204
Paidikalva Vijaykumar,False,,DEC,Deccan Chargers,9,9,199,63,49.75,38.0,7.85,25,0,0,4,1/17,1/17,0,0,0,150
Scott Styris,False,,DEC,Deccan Chargers,8,8,199,61,66.33,54.0,7.37,27,9,2,3,3/32,3/32,0,0,0,162
Virender Sehwag,False,,DC,Delhi Capitals,14,7,133,18,44.33,22.0,12.09,11,46,21,3,2/18,2/18,0,0,0,66
Yuvraj Singh,False,,PBKS,Punjab Kings,15,6,83,14,27.66,18.0,9.22,9,24,19,3,4/29,4/29,0,0,0,54
Murali Kartik,False,,KKR,Kolkata Knight Riders,6,5,127,31,42.33,29.33,8.65,14,3,0,3,3/17,3/17,0,0,0,84
Ramesh Powar,False,,PBKS,Punjab Kings,5,5,91,30,30.33,24.0,7.58,12,4,1,3,2/11,2/11,0,0,0,72
Jacob Oram,False,,CSK,Chennai Super Kings,4,4,149,32,49.66,32.0,9.31,16,1,1,3,3/32,3/32,0,0,0,96
Gajendra Singh,False,,RR,Rajasthan Royals,4,4,141,25,47.0,28.0,10.07,14,0,0,3,1/33,1/33,0,0,0,84
