Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Harshal Patel,False,,RCB,Royal Challengers Bangalore,15,15,459,122,14.34,10.56,8.14,56,6,2,32,5/27,5/27,0,1,1,336
Avesh Khan,False,,DC,Delhi Capitals,16,16,450,156,18.75,15.25,7.37,61,1,0,24,3/13,3/13,0,0,0,366
Jasprit Bumrah,False,,MI,Mumbai Indians,14,14,410,142,19.52,15.71,7.45,55,2,0,21,4/14,4/14,0,0,0,330
Shardul Thakur,False,,CSK,Chennai Super Kings,16,16,527,137,25.09,17.09,8.8,60,0,0,21,3/19,3/19,1,0,0,360
Mohammad Shami,False,,PBKS,Punjab Kings,14,14,395,145,20.78,16.63,7.5,52,0,0,19,3/15,3/15,1,0,0,312
Rashid Khan,False,,SRH,Sunrisers Hyderabad,14,14,375,130,20.83,18.66,6.69,56,9,2,18,3/19,3/19,0,0,0,336
Arshdeep Singh,False,,PBKS,Punjab Kings,12,12,342,88,19.0,13.77,8.27,41,0,0,18,5/32,5/32,0,0,1,246
Varun Chakaravarthy,False,,KKR,Kolkata Knight Riders,17,17,448,149,24.88,22.66,6.58,68,0,0,18,5/20,5/20,0,0,0,408
Yuzvendra Chahal,False,,RCB,Royal Challengers Bangalore,15,15,374,127,20.77,17.66,7.05,53,0,0,18,4/25,4/25,1,0,0,318
Jason Holder,False,,SRH,Sunrisers Hyderabad,8,8,247,75,15.43,11.93,7.75,32,2,6,16,4/52,4/52,0,1,0,192
Sunil Narine,False,,KKR,Kolkata Knight Riders,14,14,361,131,22.56,21.0,6.44,56,3,5,16,5/19,5/19,0,1,0,336
Chris Morris,False,,RR,Rajasthan Royals,11,11,376,91,25.06,16.4,9.17,41,2,5,15,4/23,4/23,0,1,0,246
Axar Patel,False,,DC,Delhi Capitals,12,12,306,99,20.4,18.4,6.65,46,2,1,15,4/21,4/21,0,0,0,276
Kagiso Rabada,False,,DC,Delhi Capitals,15,15,456,135,30.4,22.4,8.14,56,2,0,15,4/21,4/21,1,0,0,336
Chetan Sakariya,False,,RR,Rajasthan Royals,14,14,426,113,30.42,22.28,8.19,52,2,0,14,3/31,3/31,1,0,0,312
Deepak Chahar,False,,CSK,Chennai Super Kings,15,15,451,132,32.21,23.14,8.35,54,0,0,14,4/13,4/13,1,2,0,324
Dwayne Bravo,False,,CSK,Chennai Super Kings,11,11,263,73,18.78,14.42,7.81,33,3,4,14,4/22,4/22,0,0,0,198
Mustafizur Rahman,False,,RR,Rajasthan Royals,14,14,436,113,31.14,22.21,8.41,52,0,1,14,3/16,3/16,0,0,0,312
Ravindra Jadeja,False,,CSK,Chennai Super Kings,16,16,346,104,26.61,22.61,7.06,49,19,9,13,5/16,5/16,1,0,0,294
Lockie Ferguson,False,,KKR,Kolkata Knight Riders,8,8,224,76,17.23,13.84,7.46,30,1,1,13,3/15,3/15,0,0,0,180
Trent Boult,False,,MI,Mumbai Indians,14,14,406,138,31.23,23.69,7.9,51,0,0,13,4/18,4/18,1,0,0,306
Rahul Chahar,False,,MI,Mumbai Indians,11,11,318,93,24.46,19.84,7.39,43,1,0,13,4/27,4/27,0,1,0,258
Ravi Bishnoi,False,,PBKS,Punjab Kings,9,9,222,84,18.5,17.5,6.34,35,0,0,12,3/24,3/24,0,0,0,210
Anrich Nortje,False,,DC,Delhi Capitals,8,8,187,84,15.58,15.16,6.16,30,0,0,12,3/33,3/33,1,0,0,180
Prasidh Krishna,False,,KKR,Kolkata Knight Riders,10,10,351,102,29.25,19.25,9.11,38,0,0,12,4/30,4/30,0,0,0,228
Shivam Mavi,False,,KKR,Kolkata Knight Riders,9,9,233,91,21.18,17.54,7.24,32,2,2,11,4/21,4/21,0,1,0,192
Josh Hazlewood,False,,CSK,Chennai Super Kings,9,9,293,87,26.63,19.09,8.37,35,0,0,11,3/24,3/24,0,0,0,210
Mohammed Siraj,False,,RCB,Royal Challengers Bangalore,15,15,353,147,32.09,28.36,6.78,52,1,1,11,4/32,4/32,1,0,0,312
Andre Russell,False,,KKR,Kolkata Knight Riders,10,8,188,39,17.09,10.36,9.89,19,14,14,11,5/15,5/15,0,0,1,114
Pat Cummins,False,,KKR,Kolkata Knight Riders,7,7,237,60,26.33,17.88,8.83,27,5,8,9,4/34,4/34,0,0,0,162
Sam Curran,False,,CSK,Chennai Super Kings,9,9,328,76,36.44,22.0,9.93,33,5,3,9,4/11,4/11,0,0,0,198
Kyle Jamieson,False,,RCB,Royal Challengers Bangalore,9,9,269,70,29.88,18.66,9.6,28,5,3,9,3/41,3/41,0,0,0,168
Rahul Tewatia,False,,RR,Rajasthan Royals,14,13,340,50,42.5,27.75,9.18,37,11,6,8,3/18,3/18,0,0,0,222
Siddarth Kaul,False,,SRH,Sunrisers Hyderabad,8,8,247,70,35.28,25.71,8.23,30,1,0,7,4/29,4/29,1,0,0,180
Nathan Coulter-Nile,False,,MI,Mumbai Indians,5,5,127,53,18.14,17.14,6.35,20,0,0,7,4/14,4/14,0,1,0,120
