Name,RightHandedBat,Nationality,TeamCode,TeamName,Matches,Innings,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled
Bhuvneshwar Kumar,False,,SRH,Sunrisers Hyderabad,17,17,490,156,21.3,17.21,7.42,66,6,1,23,5/19,5/19,3,1,0,396
Yuzvendra Chahal,False,,RCB,Royal Challengers Bangalore,13,13,401,100,19.09,14.04,8.15,49,0,0,21,4/25,4/25,0,1,0,294
Shane Watson,False,,RCB,Royal Challengers Bangalore,16,16,485,121,24.25,16.95,8.58,56,14,12,20,4/29,4/29,0,1,0,336
Dhawal Kulkarni,False,,GL,Gujarat Lions,14,14,364,130,20.22,16.33,7.42,49,2,0,18,4/14,4/14,4,1,0,294
Mitchell McClenaghan,False,,MI,Mumbai Indians,14,14,436,128,25.64,18.82,8.17,53,2,3,17,4/21,4/21,0,1,0,318
Dwayne Bravo,False,,GL,Gujarat Lions,15,15,494,93,29.05,19.76,8.82,56,11,1,17,4/22,4/22,0,1,0,336
Mustafizur Rahman,False,,SRH,Sunrisers Hyderabad,16,16,421,137,24.76,21.52,6.9,61,0,0,17,3/16,3/16,1,0,0,366
Jasprit Bumrah,False,,MI,Mumbai Indians,14,14,406,108,27.06,20.8,7.8,52,1,0,15,4/14,4/14,0,0,0,312
Sandeep Sharma,False,,PBKS,Punjab Kings,14,14,366,127,24.4,20.0,7.32,50,0,0,15,4/20,4/20,1,0,0,300
Andre Russell,False,,KKR,Kolkata Knight Riders,12,12,291,90,19.4,14.6,7.97,36,10,15,15,5/15,5/15,0,1,0,216
Barinder Sran,False,,SRH,Sunrisers Hyderabad,14,14,413,107,29.5,21.21,8.34,49,0,0,14,3/28,3/28,0,0,0,294
Axar Patel,False,,PBKS,Punjab Kings,14,14,388,91,29.84,22.07,8.11,48,4,8,13,4/21,4/21,0,1,0,288
Mohit Sharma,False,,PBKS,Punjab Kings,14,14,407,97,31.3,22.38,8.39,48,3,1,13,4/14,4/14,0,0,0,288
Chris Morris,False,,DC,Delhi Capitals,12,12,308,103,23.69,20.3,7.0,44,15,12,13,4/23,4/23,0,0,0,264
Amit Mishra,False,,DC,Delhi Capitals,14,14,344,94,26.46,21.23,7.47,46,0,0,13,5/17,5/17,0,1,0,276
Adam Zampa,False,,RPS,Rising Pune Supergiant,5,5,115,32,9.58,8.5,6.76,17,0,0,12,6/19,6/19,0,0,1,102
Moises Henriques,False,,SRH,Sunrisers Hyderabad,17,17,415,89,34.58,26.0,7.98,52,15,6,12,3/12,3/12,0,0,0,312
Sreenath Aravind,False,,RCB,Royal Challengers Bangalore,9,9,216,65,19.63,15.9,7.4,29,0,0,11,4/14,4/14,0,0,0,174
Sunil Narine,False,,KKR,Kolkata Knight Riders,11,11,304,110,27.63,23.36,7.09,43,0,0,11,5/19,5/19,0,0,0,258
Ashok Dinda,False,,RPS,Rising Pune Supergiant,9,9,231,84,21.0,16.63,7.57,30,0,0,11,4/18,4/18,2,0,0,180
Piyush Chawla,False,,KKR,Kolkata Knight Riders,12,11,273,81,24.81,19.27,7.72,35,4,0,11,4/17,4/17,0,0,0,210
Chris Jordan,False,,RCB,Royal Challengers Bangalore,9,9,258,49,23.45,15.27,9.21,28,0,0,11,4/11,4/11,0,1,0,168
Zaheer Khan,False,,DC,Delhi Capitals,12,12,337,111,33.7,26.2,7.71,43,1,0,10,4/17,4/17,1,0,0,258
Morne Morkel,False,,KKR,Kolkata Knight Riders,10,10,297,89,29.7,21.3,8.36,35,0,0,10,4/20,4/20,0,0,0,210
Umesh Yadav,False,,KKR,Kolkata Knight Riders,9,9,234,46,23.4,15.6,9.0,26,0,1,10,4/24,4/24,0,0,0,156
Ravichandran Ashwin,False,,RPS,Rising Pune Supergiant,14,14,319,93,31.9,26.4,7.25,44,3,1,10,4/34,4/34,0,1,0,264
Tim Southee,False,,MI,Mumbai Indians,11,11,329,99,36.55,28.66,7.65,43,1,2,9,3/24,3/24,0,0,0,258
Thisara Perera,False,,RPS,Rising Pune Supergiant,12,11,326,56,36.22,22.11,9.82,33,7,11,9,3/20,3/20,0,0,0,198
Praveen Kumar,False,,GL,Gujarat Lions,16,16,401,132,44.55,34.33,7.78,51,4,0,9,3/18,3/18,2,0,0,306
Ashish Nehra,False,,SRH,Sunrisers Hyderabad,8,8,199,72,22.11,17.33,7.65,26,0,0,9,4/10,4/10,1,0,0,156
Harbhajan Singh,False,,MI,Mumbai Indians,14,14,392,83,43.55,32.66,8.0,49,11,2,9,5/18,5/18,0,0,0,294
Dwayne Smith,False,,GL,Gujarat Lions,12,8,153,40,19.12,13.5,8.5,18,35,16,8,4/8,4/8,0,1,0,108
Ravindra Jadeja,False,,GL,Gujarat Lions,15,14,311,73,38.87,30.12,7.74,40,14,4,8,5/16,5/16,0,0,0,240
Marcus Stoinis,False,,PBKS,Punjab Kings,7,7,194,39,24.25,17.25,8.43,23,13,4,8,4/15,4/15,0,1,0,138
Kane Richardson,False,,RCB,Royal Challengers Bangalore,4,4,136,34,19.42,12.0,9.71,14,0,0,7,3/13,3/13,0,0,0,84
Carlos Brathwaite,False,,DC,Delhi Capitals,8,8,185,41,26.42,19.85,7.98,23,6,8,7,3/43,3/43,0,0,0,138
Murugan Ashwin,False,,RPS,Rising Pune Supergiant,10,10,241,55,34.42,24.42,8.45,28,0,0,7,3/21,3/21,0,0,0,168
Shivil Kaushik,False,,GL,Gujarat Lions,7,7,192,48,32.0,23.0,8.34,23,0,0,6,3/20,3/20,0,0,0,138
