MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
74.0,Final,Gujarat Titans VS Rajasthan Royals,Rajasthan Royals,Gujarat Titans Won by 7  Wickets (Winners),Gujarat Titans,Rajasthan Royals,130/9 (20.0 Overs),RR,Rajasthan Royals,,,133/3 (18.1 Overs),GT,Gujarat Titans,Narendra Modi Stadium,Ahmedabad,2022-05-29T20:00:00,20:00,29 May 2022,23:30,Gujarat Titans
73.0,Qualifier 2,Rajasthan Royals VS Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals Won by 7 Wickets (Qualified),Rajasthan Royals,Royal Challengers Bangalore,157/8 (20.0 Overs),RCB,Royal Challengers Bangalore,,,161/3 (18.1 Overs),RR,Rajasthan Royals,Narendra Modi Stadium,Ahmedabad,2022-05-27T19:30:00,19:30,27 May 2022,23:30,Rajasthan Royals
72.0,Eliminator,Lucknow Super Giants VS Royal Challengers Bangalore,Lucknow Super Giants,Royal Challengers Bangalore Won by 14 Runs (Qualified),Lucknow Super Giants,Royal Challengers Bangalore,207/4 (20.0 Overs),RCB,Royal Challengers Bangalore,,,193/6 (20.0 Overs),LSG,Lucknow Super Giants,Eden Gardens,Kolkata,2022-05-25T19:30:00,19:30,25 May 2022,23:30,Royal Challengers Bangalore
71.0,Qualifier 1,Gujarat Titans VS Rajasthan Royals,Gujarat Titans,Gujarat Titans Won by 7  Wickets (Qualified),Gujarat Titans,Rajasthan Royals,188/6 (20.0 Overs),RR,Rajasthan Royals,,,191/3 (19.3 Overs),GT,Gujarat Titans,Eden Gardens,Kolkata,2022-05-24T19:30:00,19:30,24 May 2022,23:30,Gujarat Titans
70.0,70th  T20I,Sunrisers Hyderabad VS Punjab Kings,Sunrisers Hyderabad,Punjab Kings Won by 5  Wickets ,Sunrisers Hyderabad,Punjab Kings,157/8 (20.0 Overs),SRH,Sunrisers Hyderabad,,,160/5 (15.1 Overs),PBKS,Punjab Kings,Wankhede Stadium,Mumbai,2022-05-22T19:30:00,19:30,22 May 2022,23:30,Punjab Kings
69.0,69th  T20I,Mumbai Indians VS Delhi Capitals,Mumbai Indians,Mumbai Indians Won by 5  Wickets ,Mumbai Indians,Delhi Capitals,159/7 (20.0 Overs),DC,Delhi Capitals,,,160/5 (19.1 Overs),MI,Mumbai Indians,Wankhede Stadium,Mumbai,2022-05-21T19:30:00,19:30,21 May 2022,23:30,Mumbai Indians
68.0,68th  T20I,Rajasthan Royals VS Chennai Super Kings,Chennai Super Kings,Rajasthan Royals Won by 5  Wickets ,Rajasthan Royals,Chennai Super Kings,150/6 (20.0 Overs),CSK,Chennai Super Kings,,,151/5 (19.4 Overs),RR,Rajasthan Royals,Brabourne - CCI,Mumbai,2022-05-20T19:30:00,19:30,20 May 2022,23:30,Rajasthan Royals
67.0,67th  T20I,Royal Challengers Bangalore VS Gujarat Titans,Gujarat Titans,Royal Challengers Bangalore Won by 8  Wickets ,Royal Challengers Bangalore,Gujarat Titans,168/5 (20.0 Overs),GT,Gujarat Titans,,,170/2 (18.4 Overs),RCB,Royal Challengers Bangalore,Wankhede Stadium,Mumbai,2022-05-19T19:30:00,19:30,19 May 2022,23:30,Royal Challengers Bangalore
66.0,66th  T20I,Kolkata Knight Riders VS Lucknow Super Giants,Lucknow Super Giants,Lucknow Super Giants Won by 2 Runs ,Kolkata Knight Riders,Lucknow Super Giants,210/0 (20.0 Overs),LSG,Lucknow Super Giants,,,208/8 (20.0 Overs),KKR,Kolkata Knight Riders,DY Patil Stadium,NAVI MUMBAI,2022-05-18T19:30:00,19:30,18 May 2022,23:30,Lucknow Super Giants
65.0,65th  T20I,Mumbai Indians VS Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad Won by 3  Runs ,Mumbai Indians,Sunrisers Hyderabad,193/6 (20.0 Overs),SRH,Sunrisers Hyderabad,,,190/7 (20.0 Overs),MI,Mumbai Indians,Wankhede Stadium,Mumbai,2022-05-17T19:30:00,19:30,17 May 2022,23:30,Sunrisers Hyderabad
