MatchRow,MatchOrder,MatchName,TossTeam,Comments,HomeTeamName,AwayTeamName,1Summary,FirstBattingTeamCode,FirstBattingTeamName,RevisedOver,RevisedTarget,2Summary,SecondBattingTeamCode,SecondBattingTeamName,GroundName,city,MATCH_COMMENCE_START_DATE,MatchTime,MatchEndDate,MatchEndTime,Winner
74,74th  T20I,Chennai Super Kings VS Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings won by 58 runs,Chennai Super Kings,Royal Challengers Bangalore,205/5 (20 Overs),CSK,Chennai Super Kings,,,147/8 (20 Overs),RCB,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Chennai,2011-05-28 20:00:00,20:00,28 May 2011,23:00,Chennai Super Kings
73,73rd  T20I,Royal Challengers Bangalore VS Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore won by 43 runs,Royal Challengers Bangalore,Mumbai Indians,185/4 (20 Overs),RCB,Royal Challengers Bangalore,,,142/8 (20 Overs),MI,Mumbai Indians,M. A. Chidambaram Stadium,Chennai,2011-05-27 20:00:00,20:00,27 May 2011,23:00,Royal Challengers Bangalore
72,72nd  T20I,Kolkata Knight Riders VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 4 wickets,Kolkata Knight Riders,Mumbai Indians,147/7 (20 Overs),KKR,Kolkata Knight Riders,,,148/6 (19.2 Overs),MI,Mumbai Indians,Wankhede Stadium,Mumbai,2011-05-25 20:00:00,20:00,25 May 2011,23:00,Mumbai Indians
71,71st T20I,Royal Challengers Bangalore VS Chennai Super Kings,Chennai Super Kings,Chennai Super Kings won by 6 wickets,Royal Challengers Bangalore,Chennai Super Kings,175/4 (20 Overs),RCB,Royal Challengers Bangalore,,,177/4 (19.4 Overs),CSK,Chennai Super Kings,Wankhede Stadium,Mumbai,2011-05-24 20:00:00,20:00,24 May 2011,23:00,Chennai Super Kings
70,70th  T20I,Kolkata Knight Riders VS Mumbai Indians,Mumbai Indians,Mumbai Indians won by 5 wickets,Kolkata Knight Riders,Mumbai Indians,175/7 (20 Overs),KKR,Kolkata Knight Riders,,,178/5 (20 Overs),MI,Mumbai Indians,Eden Gardens,Kolkata,2011-05-22 20:00:00,20:00,22 May 2011,23:00,Mumbai Indians
69,69th  T20I,Royal Challengers Bangalore VS Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore won by 8 wickets,Royal Challengers Bangalore,Chennai Super Kings,128/8 (20 Overs),CSK,Chennai Super Kings,,,129/2 (18 Overs),RCB,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Bengaluru,2011-05-22 16:00:00,16:00,22 May 2011,23:00,Royal Challengers Bangalore
68,68th  T20I,Delhi Daredevils VS Pune Warriors India,Pune Warriors India,No result,Delhi Daredevils,Pune Warriors India,56/3 (10.1 Overs),DD,Delhi Daredevils,,,,PWI,Pune Warriors India,Arun Jaitley Stadium,Delhi,2011-05-21 20:00:00,20:00,21 May 2011,23:00,
67,67th  T20I,Punjab Kings VS Deccan Chargers,Deccan Chargers,Deccan Chargers won by 82 runs,Punjab Kings,Deccan Chargers,198/2 (20 Overs),DEC,Deccan Chargers,,,116/10 (19 Overs),PBKS,Punjab Kings,HPCA Stadium,Dharamsala,2011-05-21 16:00:00,16:00,21 May 2011,23:00,Deccan Chargers
66,66th  T20I,Mumbai Indians VS Rajasthan Royals,Rajasthan Royals,Rajasthan Royals won by 10 wickets,Mumbai Indians,Rajasthan Royals,133/5 (20 Overs),MI,Mumbai Indians,,,134/0 (13.1 Overs),RR,Rajasthan Royals,Wankhede Stadium,Mumbai,2011-05-20 20:00:00,20:00,20 May 2011,23:00,Rajasthan Royals
65,65th  T20I,Pune Warriors India VS Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders won by 7 wickets,Pune Warriors India,Kolkata Knight Riders,118/7 (20 Overs),PWI,Pune Warriors India,,,119/3 (16.4 Overs),KKR,Kolkata Knight Riders,DY Patil Stadium,NAVI MUMBAI,2011-05-19 20:00:00,20:00,19 May 2011,23:00,Kolkata Knight Riders
