Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Robin Uthappa,11-11-1985,660.0,479.0,137.78,74.0,18.0,15.0,1.0,5.0,0.0,83*,44.0,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,16.0,16.0,Indian,True
Dwayne Smith,12-4-1983,566.0,416.0,136.05,50.0,34.0,16.0,0.0,5.0,0.0,79,35.37,West Indies,rhb,95.0,15.0,23.75,15.0,9.5,10,50.0,34.0,4.0,4/8,4/8,0.0,0.0,0.0,60.0,CSK,Chennai Super Kings,16.0,16.0,Overseas,True
Glenn Maxwell,14-10-1988,552.0,294.0,187.75,48.0,36.0,16.0,0.0,4.0,0.0,95,34.5,Australia,rhb,132.0,14.0,132.0,66.0,12.0,11,48.0,36.0,1.0,2/15,2/15,0.0,0.0,0.0,66.0,PBKS,Punjab Kings,16.0,16.0,Overseas,True
David Warner,27-10-1986,528.0,375.0,140.8,39.0,24.0,11.0,3.0,6.0,0.0,90,48.0,Australia,lhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,14.0,14.0,Overseas,False
Suresh Raina,27-11-1986,523.0,358.0,146.08,51.0,19.0,13.0,3.0,5.0,0.0,87,40.23,India,lhb,134.0,34.0,134.0,108.0,7.44,18,51.0,19.0,1.0,2/0,2/0,0.0,0.0,0.0,108.0,CSK,Chennai Super Kings,16.0,16.0,Indian,False
Virender Sehwag,20-10-1978,455.0,315.0,144.44,56.0,18.0,17.0,0.0,1.0,1.0,122,26.76,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,17.0,17.0,Indian,True
David Miller,10-6-1989,446.0,299.0,149.16,34.0,21.0,10.0,6.0,3.0,0.0,66,44.6,South Africa,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,16.0,16.0,Overseas,False
JP Duminy,14-4-1984,410.0,305.0,134.42,22.0,20.0,8.0,6.0,2.0,0.0,67*,51.25,South Africa,lhb,240.0,60.0,80.0,66.0,7.27,33,22.0,20.0,3.0,4/17,4/17,0.0,0.0,0.0,198.0,DC,Delhi Capitals,14.0,14.0,Overseas,False
Brendon McCullum,27-9-1981,405.0,333.0,121.62,32.0,19.0,13.0,1.0,3.0,0.0,71*,31.15,New Zealand,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,14.0,14.0,Overseas,True
Manish Pandey,10-9-1989,401.0,340.0,117.94,35.0,10.0,13.0,3.0,2.0,0.0,94,30.84,India,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,16.0,16.0,Indian,True
AB de Villiers,17-2-1984,395.0,249.0,158.63,26.0,24.0,11.0,2.0,3.0,0.0,89*,35.9,South Africa,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,13.0,14.0,Overseas,True
Lendl Simmons,25-1-1985,394.0,291.0,135.39,43.0,14.0,7.0,1.0,3.0,1.0,100*,56.28,West Indies,rhb,34.0,2.0,34.0,18.0,11.33,3,43.0,14.0,1.0,1/34,1/34,0.0,0.0,0.0,18.0,MI,Mumbai Indians,8.0,8.0,Overseas,True
Rohit Sharma,30-4-1987,390.0,302.0,129.13,31.0,16.0,13.0,2.0,3.0,0.0,59*,30.0,India,rhb,26.0,4.0,26.0,18.0,8.66,3,31.0,16.0,1.0,4/6,4/6,0.0,0.0,0.0,18.0,MI,Mumbai Indians,15.0,15.0,Indian,True
Shikhar Dhawan,5-12-1985,377.0,319.0,118.18,49.0,7.0,13.0,1.0,2.0,0.0,64*,29.0,India,lhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,14.0,14.0,Indian,False
