Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Shubman Gill,8-9-1999,890.0,564.0,157.8,85.0,33.0,15.0,2.0,4.0,3.0,129,59.33,India,rhb,,,,,,,,,,,,,,,,GT,Gujarat Titans,17.0,17.0,Indian,True
Faf Du Plessis,13-7-1984,730.0,475.0,153.68,60.0,36.0,13.0,1.0,8.0,0.0,84,56.15,South Africa,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,14.0,14.0,Overseas,True
Devon Conway,8-7-1991,672.0,481.0,139.7,77.0,18.0,13.0,2.0,6.0,0.0,92*,51.69,New Zealand,lhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,15.0,16.0,Overseas,False
Virat Kohli,5-11-1988,639.0,457.0,139.82,65.0,16.0,12.0,2.0,6.0,2.0,101*,53.25,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,14.0,14.0,Indian,True
Yashasvi Jaiswal,28-12-2001,625.0,382.0,163.61,82.0,26.0,13.0,1.0,5.0,1.0,124,48.08,India,lhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,14.0,14.0,Indian,False
Suryakumar Yadav,14-9-1990,605.0,334.0,181.13,65.0,28.0,14.0,2.0,5.0,1.0,103*,43.21,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,16.0,16.0,Indian,True
Ruturaj Gaikwad,31-1-1997,590.0,400.0,147.5,46.0,30.0,14.0,1.0,4.0,0.0,92,42.14,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,15.0,16.0,Indian,True
David Warner,27-10-1986,516.0,392.0,131.63,69.0,10.0,14.0,0.0,6.0,0.0,86,36.86,Australia,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,14.0,14.0,Overseas,False
Rinku Singh,12-10-1997,474.0,317.0,149.52,31.0,29.0,8.0,6.0,4.0,0.0,67*,59.25,India,lhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,14.0,14.0,Indian,False
Ishan Kishan,18-7-1998,454.0,318.0,142.76,54.0,18.0,15.0,0.0,3.0,0.0,75,30.27,India,lhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,15.0,15.0,Indian,False
Cameron Green,3-6-1999,452.0,282.0,160.28,40.0,22.0,9.0,7.0,2.0,1.0,100*,50.22,Australia,rhb,361.0,88.0,60.16,38.0,9.5,38.0,31.0,20.0,6.0,41/2,41/2,0.0,0.0,0.0,228.0,MI,Mumbai Indians,16.0,16.0,Overseas,True
Heinrich Klaasen,30-7-1991,448.0,253.0,177.07,32.0,25.0,9.0,2.0,2.0,1.0,104,49.78,South Africa,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,11.0,12.0,Overseas,True
Shivam Dube,26-6-1993,418.0,264.0,158.33,12.0,35.0,11.0,3.0,3.0,0.0,52,38.00,India,lhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,14.0,16.0,Indian,False
Nitish Rana,27-12-1993,413.0,293.0,140.95,39.0,20.0,13.0,1.0,3.0,0.0,75,31.77,India,lhb,75.0,18.0,25.0,17.66,8.49,8.5,7.0,3.0,3.0,17/2,17/2,0.0,0.0,0.0,53.0,KKR,Kolkata Knight Riders,14.0,14.0,Indian,False
Marcus Stoinis,16-8-1989,408.0,272.0,150.0,28.0,27.0,13.0,2.0,3.0,0.0,89*,31.38,Australia,rhb,100.0,23.0,20.0,13.0,9.23,10.5,8.0,5.0,5.0,20/2,20/2,0.0,0.0,0.0,65.0,LSG,Lucknow Super Giants,15.0,15.0,Overseas,True
Venkatesh Iyer,25-12-1994,404.0,277.0,145.84,32.0,21.0,14.0,0.0,2.0,1.0,104,28.86,India,lhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,14.0,14.0,Indian,False
Glenn Maxwell,14-10-1988,400.0,218.0,183.48,29.0,31.0,12.0,2.0,5.0,0.0,77,33.33,Australia,rhb,94.0,19.0,31.33,20.66,9.09,10.2,4.0,7.0,3.0,3/1,3/1,0.0,0.0,0.0,62.0,RCB,Royal Challengers Bangalore,14.0,14.0,Overseas,True
Jos Buttler,8-9-1990,392.0,282.0,139.0,42.0,14.0,14.0,0.0,4.0,0.0,95,28.00,England,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,14.0,14.0,Overseas,True
Kyle Mayers,8-9-1992,379.0,263.0,144.1,38.0,22.0,13.0,0.0,4.0,0.0,73,29.15,West Indies,lhb,,,,,,,,,,,,,,,,LSG,Lucknow Super Giants,13.0,13.0,Overseas,False
Shikhar Dhawan,5-12-1985,373.0,261.0,142.91,49.0,12.0,9.0,2.0,3.0,0.0,99*,41.44,India,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,11.0,11.0,Indian,False
Wriddhiman Saha,24-10-1984,371.0,287.0,129.26,47.0,8.0,16.0,1.0,2.0,0.0,81,23.19,India,rhb,,,,,,,,,,,,,,,,GT,Gujarat Titans,17.0,17.0,Indian,True
Sanju Samson,11-11-1994,362.0,236.0,153.38,25.0,24.0,12.0,2.0,3.0,0.0,66*,30.17,India,rhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,14.0,14.0,Indian,True
Sai Sudharsan,15-10-2001,362.0,256.0,141.4,33.0,12.0,7.0,1.0,3.0,0.0,96,51.71,India,lhb,,,,,,,,,,,,,,,,GT,Gujarat Titans,8.0,8.0,Indian,False
Nicholas Pooran,2-10-1995,358.0,207.0,172.94,26.0,26.0,12.0,3.0,2.0,0.0,62,29.83,West Indies,lhb,,,,,,,,,,,,,,,,LSG,Lucknow Super Giants,15.0,15.0,Overseas,False
Simran Singh,10-8-2000,358.0,238.0,150.42,38.0,19.0,14.0,0.0,1.0,1.0,103,25.57,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,14.0,14.0,Indian,True
Hardik Pandya,11-10-1993,346.0,253.0,136.75,26.0,15.0,11.0,4.0,2.0,0.0,66,31.45,India,rhb,228.0,63.0,76.0,50.0,9.12,25.0,29.0,11.0,3.0,10/1,10/1,0.0,0.0,0.0,150.0,GT,Gujarat Titans,15.0,16.0,Indian,True
Tilak Varma,8-11-2002,343.0,209.0,164.11,26.0,23.0,8.0,3.0,1.0,0.0,84*,42.88,India,lhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,11.0,11.0,Indian,False
Rohit Sharma,30-4-1987,332.0,250.0,132.8,35.0,17.0,16.0,0.0,2.0,0.0,65,20.75,India,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,16.0,16.0,Indian,True
Ajinkya Rahane,6-6-1988,326.0,189.0,172.48,24.0,16.0,10.0,1.0,2.0,0.0,71*,32.60,India,rhb,,,,,,,,,,,,,,,,CSK,Chennai Super Kings,11.0,14.0,Indian,True
Jitesh Sharma,22-10-1993,309.0,198.0,156.06,22.0,21.0,13.0,1.0,0.0,0.0,49*,23.77,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,14.0,14.0,Indian,True
Vijay Shankar,26-1-1991,301.0,188.0,160.1,27.0,15.0,8.0,2.0,3.0,0.0,63*,37.63,India,rhb,,,,,,,,,,,,,,,,GT,Gujarat Titans,10.0,14.0,Indian,True
Shimron Hetmyer,26-12-1996,300.0,197.0,152.28,12.0,23.0,8.0,5.0,1.0,0.0,56*,37.50,West Indies,lhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,13.0,14.0,Overseas,False
Jason Roy,21-7-1990,285.0,188.0,151.59,36.0,12.0,8.0,0.0,2.0,0.0,61,35.63,England,rhb,,,,,,,,,,,,,,,,KKR,Kolkata Knight Riders,8.0,8.0,Overseas,True
Axar Patel,20-1-1994,283.0,203.0,139.4,21.0,15.0,10.0,3.0,1.0,0.0,54,28.30,India,lhb,338.0,105.0,30.72,25.63,7.19,47.0,23.0,15.0,11.0,13/2,13/2,0.0,0.0,0.0,282.0,DC,Delhi Capitals,13.0,14.0,Indian,False
Liam Livingstone,4-8-1993,279.0,171.0,163.15,20.0,19.0,8.0,1.0,2.0,0.0,94,34.88,England,rhb,94.0,5.0,47.0,21.0,13.42,7.0,15.0,2.0,2.0,19/1,19/1,0.0,0.0,0.0,42.0,PBKS,Punjab Kings,9.0,9.0,Overseas,True
Sam Curran,3-6-1998,276.0,203.0,135.96,20.0,13.0,10.0,3.0,1.0,0.0,55,27.60,England,lhb,489.0,85.0,48.9,28.7,10.22,47.5,50.0,21.0,10.0,31/3,31/3,0.0,0.0,0.0,287.0,PBKS,Punjab Kings,13.0,14.0,Overseas,False
K L Rahul,18-4-1992,274.0,242.0,113.22,28.0,4.0,8.0,1.0,2.0,0.0,74,34.25,India,rhb,,,,,,,,,,,,,,,,LSG,Lucknow Super Giants,9.0,9.0,Indian,True
Rahul Tripathi,2-3-1991,273.0,213.0,128.16,29.0,10.0,12.0,1.0,1.0,0.0,74*,22.75,India,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,13.0,13.0,Indian,True
Mayank Agarwal,16-2-1991,270.0,210.0,128.57,29.0,6.0,10.0,0.0,1.0,0.0,83,27.00,India,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,10.0,10.0,Indian,True
Devdutt Padikkal,7-7-2000,261.0,200.0,130.5,31.0,6.0,10.0,1.0,2.0,0.0,52,26.10,India,lhb,,,,,,,,,,,,,,,,RR,Rajasthan Royals,11.0,11.0,Indian,False
David Miller,10-6-1989,259.0,178.0,145.5,18.0,13.0,8.0,5.0,0.0,0.0,46,32.38,South Africa,lhb,,,,,,,,,,,,,,,,GT,Gujarat Titans,13.0,16.0,Overseas,False
Aiden Markram,4-10-1994,248.0,197.0,125.88,18.0,8.0,11.0,2.0,1.0,0.0,50,22.55,South Africa,rhb,70.0,12.0,70.0,49.0,8.57,8.1,8.0,1.0,1.0,24/1,24/1,0.0,0.0,0.0,49.0,SRH,Sunrisers Hyderabad,13.0,13.0,Overseas,True
Nehal Wadera,4-9-2000,241.0,166.0,145.18,23.0,12.0,9.0,1.0,2.0,0.0,64,26.78,India,lhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,10.0,14.0,Indian,False
Ayush Badoni,3-12-1999,238.0,172.0,138.37,13.0,12.0,10.0,2.0,1.0,0.0,59*,23.80,India,rhb,,,,,,,,,,,,,,,,LSG,Lucknow Super Giants,12.0,15.0,Indian,True
Tim David,16-3-1996,231.0,146.0,158.21,12.0,15.0,9.0,6.0,0.0,0.0,45*,25.67,Australia,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,15.0,16.0,Overseas,True
