Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
David Warner,27-10-1986,692.0,481.0,143.86,57.0,21.0,10.0,2.0,8.0,1.0,100*,69.2,Australia,lhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,12.0,12.0,Overseas,False
KL Rahul,18-4-1992,593.0,438.0,135.38,49.0,25.0,11.0,3.0,6.0,1.0,100*,53.9,India,rhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,14.0,14.0,Indian,True
Quinton de Kock,17-12-1992,529.0,398.0,132.91,45.0,25.0,15.0,1.0,4.0,0.0,81,35.26,South Africa,lhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,16.0,16.0,Overseas,False
Shikhar Dhawan,5-12-1985,521.0,384.0,135.67,64.0,11.0,15.0,1.0,5.0,0.0,97*,34.73,India,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,16.0,16.0,Indian,False
Andre Russell,29-4-1988,510.0,249.0,204.81,31.0,52.0,9.0,4.0,4.0,0.0,80*,56.66,West Indies,rhb,287.0,61.0,26.09,16.45,9.51,30,31.0,52.0,11.0,5/15,5/15,0.0,0.0,0.0,180.0,KKR,Kolkata Knight Riders,13.0,14.0,Overseas,True
Chris Gayle,21-9-1979,490.0,319.0,153.6,45.0,34.0,12.0,1.0,4.0,0.0,99*,40.83,West Indies,lhb,,,,,,,,,,,,,,,,PBKS,Punjab Kings,13.0,13.0,Overseas,False
Rishabh Pant,4-10-1997,488.0,300.0,162.66,37.0,27.0,13.0,3.0,3.0,0.0,78*,37.53,India,lhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,16.0,16.0,Indian,False
Virat Kohli,5-11-1988,464.0,328.0,141.46,46.0,13.0,14.0,0.0,2.0,1.0,100,33.14,India,rhb,,,,,,,,,,,,,,,,RCB,Royal Challengers Bangalore,14.0,14.0,Indian,True
Shreyas Iyer,6-12-1994,463.0,386.0,119.94,41.0,14.0,15.0,1.0,3.0,0.0,67,30.86,India,rhb,,,,,,,,,,,,,,,,DC,Delhi Capitals,16.0,16.0,Indian,True
Jonny Bairstow,26-9-1989,445.0,283.0,157.24,48.0,18.0,8.0,2.0,2.0,1.0,114,55.62,England,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,10.0,10.0,Overseas,True
