Name,PlayerDOB,TotalRuns,Balls,StrikeRate,Fours,Sixes,Outs,NotOuts,FiftyPlusRuns,Centuries,HighestScore,BattingAverage,Nation,BattingStyle,TotalRunsConceded,DotBallsBowled,BowlingAverage,BowlingStrikeRate,EconomyRate,OversBowled,FoursConceded,SixesConceded,Wickets,BBIW,BBMW,Maidens,FourWickets,FiveWickets,BallsBowled,TeamCode,TeamName,Innings,Matches,Nationality,RightHandedBat
Vinay Kumar,12-2-1984,13.0,12.0,108.33,0.0,1.0,1.0,1.0,0.0,0.0,12,13.0,India,rhb,64.0,25.0,21.33,18.0,7.11,9,0.0,1.0,3.0,4/40,4/40,1.0,0.0,0.0,54.0,MI,Mumbai Indians,2.0,3.0,Indian,True
KC Cariappa,13-4-1994,13.0,11.0,118.18,0.0,1.0,1.0,1.0,0.0,0.0,12*,13.0,India,rhb,159.0,35.0,53.0,34.0,9.35,17,0.0,1.0,3.0,2/16,2/16,0.0,0.0,0.0,102.0,PBKS,Punjab Kings,2.0,5.0,Indian,True
Kyle Abbott,18-6-1987,13.0,8.0,162.5,0.0,1.0,1.0,2.0,0.0,0.0,12*,13.0,South Africa,rhb,177.0,28.0,88.5,48.0,11.06,16,0.0,1.0,2.0,1/38,1/38,0.0,0.0,0.0,96.0,PBKS,Punjab Kings,3.0,5.0,Overseas,True
Irfan Pathan,27-10-1984,11.0,13.0,84.61,0.0,0.0,3.0,0.0,0.0,0.0,7,3.66,India,lhb,,,,,,,,,,,,,,,,RPS,Rising Pune Supergiant,3.0,4.0,Indian,False
Parveez Rasool,13-2-1989,10.0,9.0,111.11,1.0,0.0,1.0,0.0,0.0,0.0,10,10.0,India,rhb,129.0,22.0,129.0,84.0,9.21,14,1.0,0.0,1.0,1/20,1/20,0.0,0.0,0.0,84.0,RCB,Royal Challengers Bangalore,1.0,4.0,Indian,True
Nathan Coulter-Nile,11-10-1987,9.0,14.0,64.28,1.0,0.0,0.0,2.0,0.0,0.0,7*,0.0,Australia,rhb,114.0,37.0,38.0,30.0,7.6,15,1.0,0.0,3.0,4/14,4/14,0.0,0.0,0.0,90.0,DC,Delhi Capitals,2.0,4.0,Overseas,True
Umesh Yadav,25-10-1987,9.0,5.0,180.0,0.0,1.0,1.0,1.0,0.0,0.0,7*,9.0,India,rhb,234.0,46.0,23.4,15.6,9.0,26,0.0,1.0,10.0,4/24,4/24,0.0,0.0,0.0,156.0,KKR,Kolkata Knight Riders,2.0,9.0,Indian,True
Lendl Simmons,25-1-1985,8.0,8.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,8,8.0,West Indies,rhb,,,,,,,,,,,,,,,,MI,Mumbai Indians,1.0,1.0,Overseas,True
Aditya Tare,7-11-1987,8.0,15.0,53.33,1.0,0.0,2.0,0.0,0.0,0.0,8,4.0,India,rhb,,,,,,,,,,,,,,,,SRH,Sunrisers Hyderabad,2.0,3.0,Indian,True
Jasprit Bumrah,6-12-1993,8.0,11.0,72.72,1.0,0.0,1.0,1.0,0.0,0.0,6,8.0,India,rhb,406.0,108.0,27.06,20.8,7.8,52,1.0,0.0,15.0,4/14,4/14,0.0,0.0,0.0,312.0,MI,Mumbai Indians,2.0,14.0,Indian,True
